Point in Time[s],Utilization of Active Resource[]
491.7558867104857,1.0
494.667083203336,1.0
494.7558867104857,1.0
494.8446902176354,1.0
496.7558867104857,0.0
496.97524768017877,1.0
499.97524768017877,0.0
503.4058437591937,1.0
504.4058437591937,0.0
522.5177384802324,1.0
525.5177384802324,0.0
526.9389379633927,1.0
528.9389379633927,0.0
545.2471660690504,1.0
548.2471660690504,0.0
549.6444613454786,1.0
550.6444613454786,0.0
556.4910438956822,1.0
557.4910438956822,0.0
575.3501099525009,1.0
577.1714036358326,1.0
578.3501099525009,1.0
579.5288162691693,1.0
580.3501099525009,0.0
