Point in Time[s],State of Active Resource[]
0.1554968516059908,1
0.19064757508261215,2
0.21242463826168934,3
3.155496851605991,3
3.2124246382616892,2
4.190647575082612,2
5.190647575082612,1
5.746747045125694,2
6.1554968516059905,2
6.564246658086287,1
8.15549685160599,0
8.802654413149703,1
9.802654413149703,0
9.847654413149705,1
12.847654413149705,0
14.218388698454829,1
15.218388698454829,0
17.026089900237366,1
17.263737362451014,2
17.848820238010106,3
19.026089900237366,3
19.141921737799155,4
20.78844243802372,4
21.803386336880386,5
22.258253538030523,5
23.297030804774316,5
23.6704419217478,4
24.62103177060239,3
25.498656083941025,2
25.691456050007673,1
26.020262331402975,2
26.026089900237366,2
26.031917469071757,1
26.302901167009825,2
26.87295682121918,3
28.026089900237366,3
28.302901167009825,3
29.017873339905147,2
29.587928994114503,1
30.026089900237366,0
30.622528395705675,1
31.622528395705675,0
32.284265712411504,1
35.284265712411504,0
36.36074951031664,1
36.62707975309502,2
39.36074951031664,2
39.67700404279105,3
40.52962273229579,4
42.09441926753826,4
42.831716834228786,5
43.30312687991186,5
43.57576463798015,6
44.22762826245055,6
44.576606119505996,6
44.77677441581116,5
46.04550328128419,6
46.10842562970306,6
46.12101009938684,5
49.29410131866593,6
50.080063719117575,7
50.16685197280149,7
50.341402103628596,7
50.3849585010471,6
50.4699585010471,7
51.45444143484688,7
51.6185219238135,6
54.00218014291322,5
54.7035313663224,4
54.737688630596146,3
55.19280743985231,4
55.42549521032472,5
55.43402017964007,5
55.51442442623599,5
55.536656730213814,4
56.12947869423818,5
59.215039743830125,5
59.98643000622812,4
60.53893924895248,3
62.97278885647115,2
64.59286358092008,3
65.19031171533273,3
65.48903578253905,2
65.82991137250687,1
67.36074951031664,0
68.97524654516003,1
69.97524654516003,0
77.49778231279865,1
80.49778231279865,0
94.54503168060415,1
95.54503168060415,0
98.25180569354147,1
100.25180569354147,0
114.87133386741536,1
116.87133386741536,0
119.67030561147709,1
121.67030561147709,0
127.76903992360599,1
128.53031079665288,2
128.769039923606,2
129.0077690505591,1
130.769039923606,0
147.96668162332804,1
148.83687426447617,2
150.96668162332804,2
152.83687426447617,1
152.96668162332804,0
155.4263731578233,1
156.84393693710916,2
157.4263731578233,2
158.00880937853742,1
158.4263731578233,0
165.59905525594115,1
168.59905525594115,0
176.91325897752426,1
177.91325897752426,0
180.99012423188273,1
181.4330889412767,2
181.99012423188273,2
182.54715952248876,1
183.99012423188273,0
189.15334990588042,1
190.35142001766343,2
191.15334990588042,2
191.9552797940974,1
193.15334990588042,0
197.67756973854668,1
199.01611701437034,2
199.67756973854668,2
200.33902246272302,1
201.5524050904487,2
202.67756973854668,2
203.80273438664466,1
204.67756973854668,0
207.9659714356262,1
210.75637312530074,2
210.9659714356262,2
211.17556974595163,1
212.9659714356262,0
220.10862381386477,1
221.10862381386477,0
256.75412760685117,1
257.75412760685117,0
285.54671425057785,1
287.54671425057785,0
298.79543463356305,1
300.79543463356305,0
302.59251751528234,1
303.9766187430925,2
304.59251751528234,2
305.2084162874722,1
305.6225175152823,2
305.71690968050183,3
306.59251751528234,3
307.56251751528237,3
308.48532143267266,2
310.5453214326726,1
311.59251751528234,0
322.63950184130323,1
323.63950184130323,0
323.865747579782,1
325.865747579782,0
344.8277084279915,1
346.8277084279915,0
354.4050006633696,1
357.4050006633696,0
365.5791003968503,1
367.5791003968503,0
374.81917168027206,1
376.81917168027206,0
378.34499208359506,1
379.34499208359506,0
382.23035847207257,1
385.23035847207257,0
385.46808337803145,1
387.46808337803145,0
387.9662233808893,1
390.9662233808893,0
402.72207420877845,1
404.72207420877845,0
426.7983885643771,1
427.7983885643771,0
435.71171546485607,1
435.9277066652684,2
436.71171546485607,2
437.49572426444377,1
438.71171546485607,0
452.1182653714707,1
453.175197349222,2
455.1182653714707,2
457.06133339371945,1
458.1182653714707,0
462.1178582532258,1
463.3532206937184,2
463.9201587036664,3
465.1178582532258,3
466.88249581273317,3
468.36366436726655,2
469.261650726161,3
470.8343892482518,3
471.62075850929716,2
472.18769651924515,1
472.6915969073912,2
473.1178582532258,2
473.5441195990603,1
474.1178582532258,0
486.51185035968024,1
489.51185035968024,0
495.05286732242064,1
497.05286732242064,0
532.0884785583141,1
533.0884785583141,0
547.6144613454786,1
549.6144613454786,0
564.3695780157948,1
566.3695780157948,0
590.2536994171894,1
591.2536994171894,0
598.475583616282,1
