Point in Time[s],State of Active Resource[]
0.07742463826168931,1
0.095,2
0.11742463826168931,2
0.13855412635815428,3
0.13984927652337864,3
0.1404968516059908,2
0.17564757508261217,1
0.19742463826168932,0
5.691747045125695,1
5.731747045125695,0
8.747654413149704,1
8.787654413149703,0
9.781302507425726,1
9.821302507425726,0
14.16338869845483,1
14.203388698454829,0
16.971089900237367,1
17.011089900237366,0
17.208737362451014,1
17.248737362451013,0
17.793820238010106,1
17.833820238010105,0
19.086921737799155,1
19.126921737799154,0
21.748386336880387,1
21.788386336880386,0
25.965262331402975,1
26.005262331402974,0
26.247901167009825,1
26.287901167009824,0
26.81795682121918,1
26.85795682121918,0
30.567528395705676,1
30.607528395705675,0
32.229265712411504,1
32.2692657124115,0
36.30574951031664,1
36.34574951031664,0
36.57207975309502,1
36.61207975309502,0
39.62200404279105,1
39.66200404279105,0
40.47462273229579,1
40.51462273229579,0
42.776716834228786,1
42.816716834228785,0
43.52076463798015,1
43.56076463798015,0
45.99050328128419,1
46.03050328128419,0
49.23910131866593,1
49.27910131866593,0
50.025063719117576,1
50.065063719117575,0
50.4149585010471,1
50.4549585010471,0
55.13780743985231,1
55.17780743985231,0
55.37049521032472,1
55.41049521032472,0
56.07447869423818,1
56.11447869423818,0
61.2445989799372,1
61.2845989799372,0
62.87528570741048,1
62.915285707410476,0
64.53786358092007,1
64.57786358092008,0
65.54813632273567,1
65.58813632273568,0
67.17403506046446,1
67.21403506046447,0
68.92024654516003,1
68.96024654516003,0
74.25643133157368,1
74.29643133157369,0
76.51349282739531,1
76.55349282739532,0
77.44278231279864,1
77.48278231279865,0
77.58128373861715,1
77.62128373861715,0
79.01824000832477,1
79.05824000832477,0
79.45452127759849,1
79.4945212775985,0
79.61811787733525,1
79.65811787733526,0
80.21589420917617,1
80.25589420917618,0
80.37292605263788,1
80.41292605263789,0
81.0002095700767,1
81.04020957007671,0
88.73077150240613,1
88.77077150240613,0
89.02789838797247,1
89.06789838797248,0
90.40987903319049,1
90.4498790331905,0
94.49003168060415,1
94.53003168060415,0
98.19680569354146,1
98.23680569354147,0
99.66269734027003,1
99.70269734027003,0
99.73269734027004,1
99.77269734027004,0
102.41495926938421,1
102.45495926938422,0
104.32525761822981,1
104.36525761822982,0
105.8518801942035,1
105.89188019420351,0
109.08948493910135,1
109.12948493910136,0
110.16286126712232,1
110.20286126712233,0
114.81633386741535,1
114.85633386741536,0
115.28022731829381,1
115.32022731829382,0
116.11888453008002,1
116.15888453008003,0
116.50087349229317,1
116.54087349229317,0
119.61530561147708,1
119.65530561147709,0
119.72967922572147,1
119.76967922572148,0
121.86794454679102,1
121.90794454679103,0
123.67277838125403,1
123.71277838125404,0
124.50317800301245,1
124.54317800301246,0
125.90049054415405,1
125.94049054415406,0
125.98946559821208,1
126.02946559821208,0
127.71210675285899,1
127.75210675285899,0
127.75403992360599,1
127.794039923606,0
128.16066721942667,1
128.20066721942666,0
128.4753107966529,1
128.5153107966529,0
133.6011126199572,1
133.6411126199572,0
136.23537714183567,1
136.27537714183566,0
138.05199003344686,1
138.09199003344685,0
143.65181278212208,1
143.69181278212207,0
146.71399072837036,1
146.75399072837035,0
147.91168162332806,1
147.95168162332806,0
148.7818742644762,1
148.82187426447618,0
153.7519801532279,1
153.79198015322788,0
154.0804289421555,1
154.12042894215548,0
155.3713731578233,1
155.4113731578233,0
156.78893693710918,1
156.82893693710918,0
157.09498509040932,1
157.13498509040932,0
165.54405525594117,1
165.58405525594117,0
165.85082654084093,1
165.89082654084092,0
166.10863518834137,1
166.14863518834136,0
169.1799231041029,1
169.2095147574448,2
169.2199231041029,2
169.230331450761,1
169.2599231041029,0
169.47621833728283,1
169.51621833728282,0
172.19931777879887,1
172.23931777879886,0
174.73170029632078,1
174.77170029632077,0
175.52379446685435,1
175.56379446685435,0
176.0772945412581,1
176.1172945412581,0
176.8582589775243,1
176.89825897752428,0
178.60956143194323,1
178.64956143194323,0
178.75861222060718,1
178.79861222060717,0
180.93512423188275,1
180.97512423188275,0
181.37808894127673,1
181.41808894127672,0
189.09834990588044,1
189.13834990588043,0
190.29642001766345,1
190.33642001766344,0
192.88733797751638,1
192.92733797751637,0
195.72220497960032,1
195.73876918130645,2
195.7622049796003,2
195.7856407778942,1
195.80220497960033,0
197.6225697385467,1
197.6625697385467,0
198.96111701437036,1
199.00111701437035,0
200.16055646965367,1
200.20055646965366,0
201.02247524484918,1
201.06247524484917,0
201.49740509044872,1
201.53740509044871,0
203.97052218308428,1
204.01052218308428,0
207.9109714356262,1
207.9509714356262,0
210.40193032434163,1
210.44193032434163,0
210.70137312530076,1
210.74137312530075,0
212.71249411407945,1
212.75249411407944,0
216.54309550510882,1
216.58309550510882,0
218.60875044470473,1
218.64875044470472,0
219.17296600408395,1
219.21296600408394,0
220.0536238138648,1
220.09362381386478,0
223.72629760301083,1
223.76629760301083,0
228.59091743393242,1
228.6309174339324,0
230.94996562512907,1
230.98996562512906,0
234.30792989130865,1
234.34792989130864,0
240.32044585467472,1
240.3604458546747,0
241.36652634998637,1
241.40652634998636,0
242.7432857623698,1
242.7832857623698,0
247.931922980557,1
247.971922980557,0
256.69912760685116,1
256.7391276068512,0
257.2816747885628,1
257.3216747885628,0
261.4652190140596,1
261.5052190140596,0
262.3263922751528,1
262.3663922751528,0
262.694830830031,1
262.734830830031,0
268.3689240300985,1
268.40892403009855,0
271.9332669612745,1
271.97326696127453,0
278.53704443528744,1
278.57704443528746,0
279.9493065224205,1
279.9893065224205,0
282.5814712789216,1
282.6214712789216,0
285.49171425057784,1
285.53171425057786,0
288.0423285122541,1
288.0823285122541,0
289.0288935050019,1
289.06889350500194,0
292.1288935050019,1
292.1688935050019,0
293.04509910945944,1
293.08509910945946,0
293.1184771179548,1
293.1584771179548,0
297.18920706348695,1
297.22920706348697,0
297.61192068677076,1
297.6519206867708,0
298.74043463356304,1
298.78043463356306,0
302.49751751528237,1
302.51251751528235,2
302.5375175152824,2
302.56251751528237,1
302.57751751528235,0
303.43843424915923,1
303.47843424915925,0
303.9216187430925,1
303.9616187430925,0
