Point in Time[s],State of Active Resource[]
0.0,1
0.01757536173831069,2
0.04,2
0.062424638261689314,1
0.08,0
0.0835541263581543,1
0.1235541263581543,0
5.636747045125695,1
5.676747045125695,0
8.692654413149704,1
8.732654413149703,0
9.726302507425727,1
9.766302507425726,0
14.10838869845483,1
14.148388698454829,0
16.916089900237367,1
16.956089900237366,0
17.153737362451015,1
17.193737362451014,0
17.738820238010106,1
17.778820238010105,0
19.031921737799156,1
19.071921737799155,0
21.693386336880387,1
21.733386336880386,0
25.910262331402976,1
25.950262331402975,0
26.192901167009826,1
26.232901167009825,0
26.76295682121918,1
26.80295682121918,0
30.512528395705676,1
30.552528395705675,0
32.174265712411504,1
32.2142657124115,0
36.25074951031664,1
36.29074951031664,0
36.51707975309502,1
36.55707975309502,0
39.56700404279105,1
39.60700404279105,0
40.41962273229579,1
40.45962273229579,0
42.721716834228786,1
42.761716834228785,0
43.46576463798015,1
43.50576463798015,0
45.93550328128419,1
45.97550328128419,0
49.18410131866593,1
49.22410131866593,0
49.970063719117576,1
50.010063719117575,0
50.34604961951725,1
50.38604961951725,0
55.08280743985231,1
55.12280743985231,0
55.31549521032472,1
55.35549521032472,0
56.01947869423818,1
56.05947869423818,0
61.1895989799372,1
61.2295989799372,0
62.82028570741048,1
62.860285707410476,0
64.48286358092007,1
64.52286358092007,0
65.49313632273567,1
65.53313632273567,0
67.11903506046446,1
67.15903506046446,0
68.86524654516002,1
68.90524654516003,0
74.20143133157367,1
74.24143133157368,0
76.4584928273953,1
76.49849282739531,0
77.38778231279863,1
77.42778231279864,0
77.52628373861714,1
77.56628373861714,0
78.96324000832476,1
79.00324000832477,0
79.39952127759848,1
79.43952127759849,0
79.56311787733524,1
79.60311787733525,0
80.16089420917616,1
80.20089420917617,0
80.31792605263787,1
80.35792605263788,0
80.9452095700767,1
80.9852095700767,0
88.67577150240612,1
88.71577150240613,0
88.97289838797246,1
89.01289838797247,0
90.35487903319049,1
90.39487903319049,0
94.43503168060414,1
94.47503168060415,0
98.14180569354146,1
98.18180569354146,0
99.60769734027002,1
99.64769734027003,0
99.6654359557917,1
99.7054359557917,0
102.3599592693842,1
102.39995926938421,0
104.2702576182298,1
104.31025761822981,0
105.7968801942035,1
105.8368801942035,0
109.03448493910135,1
109.07448493910135,0
110.10786126712232,1
110.14786126712232,0
114.76133386741535,1
114.80133386741535,0
115.2252273182938,1
115.26522731829381,0
116.06388453008002,1
116.10388453008002,0
116.44587349229316,1
116.48587349229317,0
119.56030561147708,1
119.60030561147708,0
119.67467922572146,1
119.71467922572147,0
121.81294454679102,1
121.85294454679102,0
123.61777838125403,1
123.65777838125403,0
124.44817800301244,1
124.48817800301245,0
125.84549054415405,1
125.88549054415405,0
125.93446559821207,1
125.97446559821208,0
127.65710675285898,1
127.69710675285899,0
127.69903992360598,1
127.73903992360599,0
128.1056672194267,1
128.14566721942668,0
128.42031079665293,1
128.46031079665292,0
133.54611261995723,1
133.58611261995722,0
136.1803771418357,1
136.22037714183568,0
137.99699003344688,1
138.03699003344687,0
143.5968127821221,1
143.6368127821221,0
146.65899072837038,1
146.69899072837038,0
147.8566816233281,1
147.89668162332808,0
148.7268742644762,1
148.7668742644762,0
153.6969801532279,1
153.7369801532279,0
154.02542894215551,1
154.0654289421555,0
155.31637315782334,1
155.35637315782333,0
156.7339369371092,1
156.7739369371092,0
157.03998509040935,1
157.07998509040934,0
165.4890552559412,1
165.5290552559412,0
165.79582654084095,1
165.83582654084094,0
166.0536351883414,1
166.09363518834138,0
169.1145147574448,1
169.1441064107867,2
169.1545147574448,2
169.1649231041029,1
169.1945147574448,0
169.42121833728285,1
169.46121833728284,0
172.1443177787989,1
172.18431777879889,0
174.6767002963208,1
174.7167002963208,0
175.46879446685438,1
175.50879446685437,0
176.02229454125813,1
176.06229454125813,0
176.8032589775243,1
176.8432589775243,0
178.55456143194326,1
178.59456143194325,0
178.7036122206072,1
178.7436122206072,0
180.88012423188277,1
180.92012423188277,0
181.32308894127675,1
181.36308894127674,0
189.04334990588046,1
189.08334990588045,0
190.24142001766347,1
190.28142001766346,0
192.8323379775164,1
192.8723379775164,0
195.64376918130645,1
195.66033338301258,2
195.68376918130645,2
195.70720497960033,1
195.72376918130647,0
197.56756973854672,1
197.60756973854672,0
198.90611701437038,1
198.94611701437037,0
200.1055564696537,1
200.14555646965368,0
200.9674752448492,1
201.0074752448492,0
201.44240509044874,1
201.48240509044874,0
203.9155221830843,1
203.9555221830843,0
207.85597143562623,1
207.89597143562622,0
210.34693032434166,1
210.38693032434165,0
210.64637312530078,1
210.68637312530078,0
212.65749411407947,1
212.69749411407946,0
216.48809550510884,1
216.52809550510884,0
218.55375044470475,1
218.59375044470474,0
219.11796600408397,1
219.15796600408396,0
219.9986238138648,1
220.0386238138648,0
223.67129760301086,1
223.71129760301085,0
228.53591743393244,1
228.57591743393243,0
230.8949656251291,1
230.93496562512908,0
234.25292989130867,1
234.29292989130866,0
240.26544585467474,1
240.30544585467473,0
241.3115263499864,1
241.3515263499864,0
242.68828576236982,1
242.7282857623698,0
247.87692298055703,1
247.91692298055702,0
256.64412760685116,1
256.6841276068512,0
257.2266747885628,1
257.2666747885628,0
261.4102190140596,1
261.4502190140596,0
262.2713922751528,1
262.3113922751528,0
262.639830830031,1
262.679830830031,0
268.3139240300985,1
268.35392403009854,0
271.8782669612745,1
271.9182669612745,0
278.48204443528743,1
278.52204443528746,0
279.8943065224205,1
279.9343065224205,0
282.5264712789216,1
282.5664712789216,0
285.43671425057784,1
285.47671425057786,0
287.98732851225407,1
288.0273285122541,0
288.9738935050019,1
289.01389350500193,0
292.0697057495699,1
292.1097057495699,0
292.99009910945944,1
293.03009910945946,0
293.0634771179548,1
293.1034771179548,0
297.13420706348694,1
297.17420706348696,0
297.55692068677075,1
297.5969206867708,0
298.68543463356303,1
298.72543463356305,0
302.40796278208256,1
302.41340804888273,2
302.4479627820826,2
302.4825175152824,1
302.48796278208255,0
303.3834342491592,1
303.42343424915924,0
303.8666187430925,1
303.9066187430925,0
305.50665482038875,1
305.54665482038877,0
305.6069096805018,1
305.64690968050184,0
306.0634936401983,1
306.10349364019834,0
313.0897067160159,1
313.1297067160159,0
314.79505147064845,1
314.83505147064847,0
316.5948820128743,1
316.6348820128743,0
322.5295018413032,1
322.56950184130324,0
323.6572271861289,1
323.69722718612894,0
323.7118599392995,1
323.7518599392995,0
323.755747579782,1
323.795747579782,0
324.52016959749733,1
324.56016959749735,0
327.1815254967623,1
327.2215254967623,0
327.69005624682467,1
327.7300562468247,0
331.17640888565836,1
331.2164088856584,0
334.57969863979116,1
334.6196986397912,0
336.3309084187616,1
336.37090841876164,0
340.47565159070325,1
340.51565159070327,0
341.8838044805972,1
341.9238044805972,0
344.7177084279915,1
344.75770842799153,0
346.01669057626884,1
346.05669057626886,0
352.78831587237187,1
352.8283158723719,0
353.96369031375076,1
354.0036903137508,0
354.2950006633696,1
354.3350006633696,0
357.7005306754769,1
357.7405306754769,0
358.1127755338561,1
358.15277553385613,0
359.2386349224516,1
359.2786349224516,0
361.31710050785045,1
361.3571005078505,0
365.4691003968503,1
365.50910039685033,0
366.2379806125327,1
366.2779806125327,0
368.1467366016768,1
368.18673660167684,0
374.70917168027205,1
374.74917168027207,0
376.7078530858978,1
376.7478530858978,0
378.23499208359505,1
378.27499208359507,0
379.0282725653844,1
379.0682725653844,0
380.053978907344,1
380.093978907344,0
382.12035847207255,1
382.1603584720726,0
385.35808337803144,1
385.39808337803146,0
387.4409570450471,1
387.48095704504715,0
387.8562233808893,1
387.8962233808893,0
389.5102489531497,1
389.5502489531497,0
393.7373844031474,1
393.77738440314744,0
402.3044351863079,1
402.3444351863079,0
402.61207420877844,1
402.65207420877846,0
403.2594722717417,1
403.2994722717417,0
405.577710326791,1
405.61771032679104,0
406.00851743043427,1
406.0485174304343,0
413.1637978091584,1
413.2037978091584,0
414.55857248651,1
414.59857248651,0
414.979238271107,1
415.01923827110704,0
425.3783173570687,1
425.4183173570687,0
426.6883885643771,1
426.7283885643771,0
435.60171546485606,1
435.6417154648561,0
435.81770666526836,1
435.8577066652684,0
436.7628089381444,1
436.80280893814444,0
440.8831967517282,1
440.9231967517282,0
442.11196856996554,1
442.15196856996556,0
446.29078952253064,1
446.33078952253067,0
448.0107880856705,1
448.05078808567055,0
448.40818932996103,1
448.44818932996105,0
448.54484636028144,1
448.58484636028146,0
452.0082653714707,1
452.04826537147073,0
453.065197349222,1
