Point in Time[s],State of Active Resource[]
0.11,1
1.9642237640605553,2
2.11,2
2.2554457493216415,3
2.255776235939445,3
2.2559414792483468,2
2.300941479248347,3
3.6993205800807827,4
4.942252050578694,5
5.964389007369457,5
6.307013419027262,6
6.906305567036393,7
7.796112771430012,7
9.161710168546422,7
10.216574698038354,7
10.536878799085416,8
10.998486953840573,8
11.680517184974603,8
11.751982043279906,9
11.843894097244487,9
11.855383103990059,8
16.93060392705878,7
19.105734000430125,6
19.335469756168873,7
20.288918918639325,8
20.308587133164973,8
20.470773362664325,8
20.49675256895361,7
20.655409272115925,6
20.954278321665946,5
21.574408967300535,6
22.93596958555462,7
23.279810848520096,8
23.748690394163933,9
24.304077077426175,10
26.45368844500689,10
27.42954434054816,10
27.734263631271347,11
28.178473466380417,11
28.87828241178903,11
29.519481413992168,11
30.098970784721722,11
30.33544150006676,10
30.576882544654055,9
30.676882544654056,10
32.09656432807205,11
32.61922347203518,11
32.835039130633085,11
32.90888661088919,10
33.42042800069309,11
34.049596455740655,12
35.58471105785322,12
35.80113936356923,12
35.96037053700819,11
36.737661266574314,12
37.57518896642003,12
37.651327848224184,11
37.70727637957977,10
37.80776637393447,11
44.00377468160903,11
44.623375512376484,10
44.64371509794399,9
45.152898959782554,8
45.15786814080913,7
46.5362372103373,8
47.60612618945243,9
48.06959369391911,10
48.253547245159844,10
48.4988772501345,10
48.61047113271975,10
48.67056862591983,9
48.8521460065665,10
50.772907408770806,10
50.98632534234906,9
52.264038947425256,8
52.29403894742526,9
54.210336830295695,9
54.4498740656545,8
55.80031793117947,7
56.768926317661624,8
56.866056813878515,8
56.87993259905236,7
57.033685921710585,6
57.34838361087141,7
57.37484232619861,8
59.713719191116645,9
62.416959648485445,10
62.536051556724374,10
63.400662881033206,10
64.26149438886672,10
64.82996628858548,10
65.09807813748547,9
65.5219647749825,8
66.27515311810419,7
68.30712041289927,6
68.7202508317381,5
70.59704392468308,4
71.13198841424065,3
71.50972070811586,2
72.70271965893352,1
73.11,0
82.80993956662682,1
83.55879527563897,2
84.80993956662682,2
86.06108385761468,1
87.80993956662682,0
93.98460756145408,1
94.71923849852489,2
96.98460756145408,2
98.71923849852489,1
98.98460756145408,0
106.61396923172231,1
109.61396923172231,0
123.8145941609273,1
126.8145941609273,0
154.44244826062894,1
157.44244826062894,0
180.2613123433883,1
183.2613123433883,0
197.06534589108125,1
200.06534589108125,0
349.23662925741684,1
350.23662925741684,0
417.6784250877565,1
419.0371703372855,2
420.6784250877565,2
421.0371703372855,1
421.6784250877565,0
438.52806223510004,1
441.52806223510004,0
471.55430382185045,1
472.55430382185045,0
474.02043142817166,1
477.02043142817166,0
569.0616852445812,1
569.367082868036,2
571.0616852445812,2
572.7562876211264,1
573.0616852445812,0
