Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
1.9092237640605554,1
1.9492237640605554,0
2.1933869950159,1
2.226328240710159,2
2.2333869950159,2
2.2404457493216414,1
2.2733869950159002,0
3.6443205800807825,1
3.6843205800807826,0
4.887252050578694,1
4.927252050578694,0
6.2520134190272625,1
6.2920134190272625,0
6.851305567036393,1
6.891305567036393,0
10.481878799085417,1
10.521878799085416,0
11.696982043279906,1
11.736982043279905,0
19.280469756168873,1
19.320469756168873,0
20.233918918639326,1
20.273918918639325,0
21.519408967300535,1
21.559408967300534,0
22.88096958555462,1
22.92096958555462,0
23.224810848520097,1
23.264810848520096,0
23.693690394163934,1
23.733690394163933,0
24.249077077426175,1
24.289077077426175,0
27.679263631271347,1
27.719263631271346,0
30.621882544654056,1
30.661882544654055,0
32.04156432807205,1
32.08156432807205,0
33.36542800069309,1
33.40542800069309,0
33.994596455740655,1
34.034596455740655,0
36.682661266574314,1
36.72266126657431,0
37.75276637393447,1
37.79276637393447,0
46.4812372103373,1
46.5212372103373,0
47.55112618945243,1
47.59112618945243,0
48.01459369391911,1
48.05459369391911,0
48.7971460065665,1
48.8371460065665,0
52.22793476512381,1
52.26793476512381,0
56.713926317661624,1
56.75392631766162,0
57.27984232619861,1
57.30630104152581,2
57.31984232619861,2
57.33338361087141,1
57.35984232619861,0
59.658719191116646,1
59.698719191116645,0
62.361959648485445,1
62.401959648485445,0
64.54150768290934,1
64.58150768290935,0
67.00885929113544,1
67.04885929113544,0
67.39761012884956,1
67.43761012884957,0
72.14741316297815,1
72.18741316297816,0
72.38703193241699,1
72.427031932417,0
74.82012574194987,1
74.86012574194987,0
78.0089429408101,1
78.04894294081011,0
81.56188553601328,1
81.60188553601328,0
82.75493956662682,1
82.79493956662682,0
83.50379527563896,1
83.54379527563897,0
84.09422376654837,1
84.13422376654837,0
86.99787463503722,1
87.03787463503723,0
87.93150791146554,1
87.97150791146555,0
88.31159479673587,1
88.35159479673588,0
90.09848696430271,1
90.13848696430271,0
93.92960756145408,1
93.96960756145408,0
94.66423849852488,1
94.70423849852489,0
99.12013637359512,1
99.16013637359512,0
100.77761366885873,1
100.81761366885874,0
102.97936405703263,1
103.01936405703263,0
105.5289692317223,1
105.5689692317223,0
106.55748890592636,1
106.59748890592637,0
108.289253906422,1
108.32925390642201,0
108.88670455538094,1
108.92670455538095,0
111.11735392104985,1
111.15735392104986,0
113.75909060603878,1
113.79909060603879,0
114.21235089174777,1
114.25235089174778,0
116.44341758354568,1
116.48341758354569,0
118.35059003854117,1
118.39059003854118,0
120.95559255012722,1
120.99559255012723,0
122.72061087570718,1
122.76061087570719,0
123.3496225813184,1
123.3896225813184,0
123.44038941273207,1
123.48038941273208,0
123.75959416092729,1
123.7995941609273,0
124.4254414036993,1
124.4654414036993,0
125.86292378350873,1
125.90292378350874,0
126.38048071174778,1
126.42048071174779,0
132.9956189296907,1
133.03561892969068,0
133.5422155659727,1
133.5822155659727,0
138.9162953214737,1
138.9562953214737,0
141.23619137060288,1
141.27619137060287,0
147.85761381565058,1
147.89761381565057,0
147.9354555129899,1
147.9754555129899,0
148.23924928364713,1
148.27924928364712,0
151.08102689133773,1
151.12102689133772,0
153.17328506685402,1
153.213285066854,0
154.38744826062896,1
154.42744826062895,0
155.13548797259926,1
155.17548797259926,0
155.4165730329379,1
155.45657303293788,0
156.06158864231435,1
156.10158864231434,0
157.55771949242225,1
157.59771949242224,0
160.48506273877854,1
160.52506273877853,0
160.83813230453,1
160.87813230453,0
162.09046575872605,1
162.13046575872605,0
162.97380536227612,1
163.01380536227612,0
166.1538217191628,1
166.1938217191628,0
168.40443735280772,1
168.4444373528077,0
171.29393693679387,1
171.33393693679386,0
173.75136194193303,1
173.79136194193302,0
180.20631234338833,1
180.24631234338833,0
184.37598840048463,1
