Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
1.8542237640605554,1
1.8942237640605555,0
2.131328240710159,1
2.1642694864044176,2
2.171328240710159,2
2.1783869950159,1
2.211328240710159,0
3.5893205800807824,1
3.6293205800807824,0
4.832252050578695,1
4.872252050578695,0
6.197013419027263,1
6.237013419027263,0
6.796305567036393,1
6.836305567036393,0
10.426878799085417,1
10.466878799085416,0
11.641982043279906,1
11.681982043279906,0
19.225469756168874,1
19.265469756168873,0
20.178918918639326,1
20.218918918639325,0
21.464408967300535,1
21.504408967300535,0
22.82596958555462,1
22.86596958555462,0
23.169810848520097,1
23.209810848520096,0
23.638690394163934,1
23.678690394163933,0
24.194077077426176,1
24.234077077426175,0
27.624263631271347,1
27.664263631271346,0
30.56419968115406,1
30.60419968115406,0
31.98656432807205,1
32.02656432807205,0
33.31042800069309,1
33.35042800069309,0
33.939596455740656,1
33.979596455740655,0
36.627661266574314,1
36.667661266574314,0
37.69776637393447,1
37.73776637393447,0
46.4262372103373,1
46.4662372103373,0
47.49612618945243,1
47.53612618945243,0
47.95959369391911,1
47.99959369391911,0
48.7421460065665,1
48.7821460065665,0
52.17293476512381,1
52.21293476512381,0
56.658926317661624,1
56.69892631766162,0
57.211301041525815,1
57.237759756853016,2
57.251301041525814,2
57.26484232619861,1
57.29130104152581,0
59.603719191116646,1
59.643719191116645,0
62.306959648485446,1
62.346959648485445,0
64.48650768290933,1
64.52650768290934,0
66.95385929113543,1
66.99385929113544,0
67.34261012884956,1
67.38261012884956,0
72.09241316297815,1
72.13241316297815,0
72.33203193241698,1
72.37203193241699,0
74.76512574194986,1
74.80512574194987,0
77.9539429408101,1
77.9939429408101,0
81.50688553601327,1
81.54688553601328,0
82.69993956662681,1
82.73993956662682,0
83.44879527563896,1
83.48879527563896,0
84.03922376654836,1
84.07922376654837,0
86.94287463503721,1
86.98287463503722,0
87.87650791146554,1
87.91650791146554,0
88.25659479673587,1
88.29659479673587,0
90.0434869643027,1
90.08348696430271,0
93.87460756145407,1
93.91460756145408,0
94.60923849852487,1
94.64923849852488,0
99.06513637359511,1
99.10513637359512,0
100.72261366885873,1
100.76261366885873,0
102.92436405703262,1
102.96436405703263,0
105.4739692317223,1
105.5139692317223,0
106.50248890592636,1
106.54248890592636,0
108.234253906422,1
108.274253906422,0
108.83170455538094,1
108.87170455538094,0
111.06235392104985,1
111.10235392104985,0
113.70409060603878,1
113.74409060603878,0
114.15735089174777,1
114.19735089174777,0
116.38841758354567,1
116.42841758354568,0
118.29559003854116,1
