Point in Time[s],State of Active Resource[]
0.11,1
1.3475575474221853,2
1.769139263836907,3
3.11,3
3.6709250725078926,4
4.872442452577815,4
6.424094046948269,4
6.9961890668137325,5
7.341817038428394,5
7.42822403133206,4
8.252978220498916,5
9.52864456757855,6
11.757332065411557,6
11.864375621195489,7
12.348238665979876,8
12.633420526639718,8
12.762985905342513,9
13.254375718451952,9
13.48604240132803,9
13.648585792092051,9
13.759285777935744,8
15.00153008915423,7
15.462651220164037,8
16.477066096605753,8
16.621982507526,7
18.17389233557771,8
19.437815947625758,8
19.61837646363262,7
20.059255233800382,6
20.096098897757493,5
20.126098897757494,6
20.862480188213013,7
22.800662317532495,8
23.409645219456024,9
23.847679857162895,9
24.591996049043978,9
25.213582025849135,9
25.408011312382715,10
25.558284841322944,10
25.82686479405631,10
25.873404069797818,9
29.03543737976991,10
30.698652708690847,10
30.883454411904285,9
31.955880433747,8
32.713615783186945,9
33.04367901410311,9
33.08493691796763,8
35.19847392918415,9
35.44987524839669,10
35.91638076560806,11
36.80023132635333,11
37.000451000999476,11
37.17273719573311,11
37.29837283874562,10
37.75680688794891,9
40.74350163624698,8
41.67655698131754,7
43.10068332868366,6
43.3748696493021,7
43.620133555853165,8
43.71270378396935,8
43.769009473080565,8
43.79027746125591,7
44.227213522677886,8
44.31236568269139,8
44.32453027697904,7
45.87355236232355,6
46.03601429484453,5
46.12101429484453,6
47.0474972899584,7
47.801044415203506,7
48.1370504392753,7
48.318642630828116,6
49.862615144416395,7
50.135299219012886,7
50.180746564778964,6
50.47595537330604,5
52.6676202396136,6
54.183777275974336,7
55.20216811566448,8
55.64838516047351,8
56.24453814464549,8
56.587998289424014,8
56.78597402853252,7
58.322127855202154,8
58.728687195165016,8
58.73476381424224,9
58.786767100873995,9
58.793267511702965,8
60.0285781718548,7
60.78656375459109,8
61.60074716413977,8
61.71705907978958,7
63.290204208038816,6
65.62873521606467,5
68.62791115189205,4
70.7598383003538,3
71.16898107158474,2
71.69257371422441,1
72.07875554982854,2
72.11,2
72.14124445017146,1
73.11,0
86.71587995324306,1
88.71587995324306,0
96.03029552975865,1
99.03029552975865,0
131.4205608659717,1
133.4205608659717,0
142.2569820872985,1
144.2569820872985,0
153.5352597977014,1
154.5352597977014,0
157.63117887546454,1
159.63117887546454,0
165.25244362177227,1
167.25244362177227,0
192.70928292281351,1
194.70928292281351,0
211.00931027803225,1
212.00931027803225,0
230.58393182998768,1
232.58393182998768,0
233.576703277128,1
235.576703277128,0
241.916275537463,1
242.916275537463,0
247.01950018759158,1
249.01950018759158,0
251.3144271981496,1
253.3144271981496,0
265.6813409435954,1
267.6813409435954,0
295.90193906431614,1
296.30319210360835,2
296.90193906431614,2
297.5006860250239,1
299.90193906431614,0
300.0169390643161,1
302.0169390643161,0
313.22003990282343,1
314.22003990282343,0
345.8364057985954,1
348.28807509478366,2
348.8364057985954,2
349.3847365024072,1
351.8364057985954,0
375.19580425020797,1
377.19580425020797,0
393.1335259022841,1
394.7255622934927,2
395.1335259022841,2
395.54148951107544,1
397.1335259022841,0
420.4616464255227,1
421.3783316060701,2
422.4616464255227,2
423.5449612449753,1
424.4616464255227,0
429.6477289381598,1
431.6477289381598,0
431.8070050715891,1
433.8070050715891,0
455.45948970966015,1
456.45948970966015,0
457.7762463885493,1
459.4868686528992,2
459.7762463885493,2
460.06562412419936,1
461.7762463885493,0
467.3716064174335,1
468.3716064174335,0
560.8510923658104,1
563.8510923658104,0
572.5644839440143,1
574.5644839440143,0
