Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
1.2925575474221853,1
1.3325575474221854,0
1.714139263836907,1
1.754139263836907,0
3.6159250725078924,1
3.6559250725078924,0
6.941189066813733,1
6.981189066813733,0
8.197978220498916,1
8.237978220498915,0
9.47364456757855,1
9.513644567578549,0
11.809375621195489,1
11.849375621195488,0
12.293238665979876,1
12.333238665979875,0
12.707985905342513,1
12.747985905342512,0
15.407651220164038,1
15.447651220164037,0
18.118892335577712,1
18.15889233557771,0
20.064120425116453,1
20.104120425116452,0
20.807480188213013,1
20.847480188213012,0
22.745662317532496,1
22.785662317532495,0
23.354645219456025,1
23.394645219456024,0
25.353011312382716,1
25.393011312382715,0
28.98043737976991,1
29.02043737976991,0
32.658615783186946,1
32.698615783186945,0
35.143473929184154,1
35.18347392918415,0
35.39487524839669,1
35.434875248396686,0
35.86138076560806,1
35.90138076560806,0
43.3198696493021,1
43.3598696493021,0
43.565133555853166,1
43.605133555853165,0
44.172213522677886,1
44.212213522677885,0
46.06601429484453,1
46.10601429484453,0
46.9924972899584,1
47.0324972899584,0
49.807615144416395,1
49.847615144416395,0
52.6126202396136,1
52.6526202396136,0
54.128777275974336,1
54.168777275974335,0
55.14716811566448,1
55.18716811566448,0
58.267127855202155,1
58.307127855202154,0
58.67976381424224,1
58.71976381424224,0
60.551913549955025,1
60.591913549955024,0
60.73156375459109,1
60.77156375459109,0
62.32441055282158,1
62.36441055282158,0
65.99454411861325,1
66.03454411861325,0
66.48782059458856,1
66.52782059458856,0
67.06065590670131,1
67.10065590670132,0
71.74001410995288,1
71.78001410995289,0
72.02375554982854,1
72.06375554982854,0
77.10750363596702,1
77.14750363596703,0
83.93223454918514,1
83.97223454918515,0
86.66087995324305,1
86.70087995324306,0
88.30815775225568,1
88.34815775225569,0
90.91296228940423,1
90.95296228940424,0
94.54636404739806,1
94.58636404739806,0
95.97529552975864,1
96.01529552975865,0
97.38329263586428,1
97.42329263586429,0
98.0930465473818,1
98.13304654738181,0
99.76663890525698,1
99.80663890525699,0
101.21873945135691,1
101.25873945135692,0
103.45770250694274,1
103.49770250694274,0
106.39581673191881,1
106.43581673191882,0
109.44216783664585,1
109.48216783664586,0
111.29585064063427,1
111.33585064063428,0
113.67433290383181,1
113.71433290383182,0
114.63095685885936,1
114.67095685885937,0
115.35506064767932,1
115.39506064767933,0
120.54402381443587,1
120.58402381443588,0
123.29526506633134,1
123.33526506633135,0
125.14133986431851,1
125.18133986431852,0
126.99833610754587,1
127.03833610754587,0
128.12694025089837,1
128.16694025089836,0
128.6571660425861,1
128.6971660425861,0
129.28050184902384,1
129.32050184902383,0
130.31534098920383,1
130.35534098920382,0
131.36556086597173,1
131.40556086597172,0
132.12777870110477,1
132.16777870110477,0
134.05645741259698,1
134.09645741259698,0
136.4933470467243,1
136.5333470467243,0
137.93854995973993,1
137.97854995973992,0
142.20198208729852,1
142.2419820872985,0
143.3175956298569,1
143.34647093124963,2
143.3575956298569,2
143.36872032846418,1
143.3975956298569,0
151.9579432074106,1
151.9979432074106,0
153.48025979770142,1
153.5202597977014,0
153.9133012306165,1
153.9533012306165,0
157.57617887546456,1
157.61617887546456,0
159.57837335064366,1
159.61837335064365,0
161.32788123269705,1
161.36788123269704,0
164.65986758809865,1
164.69986758809864,0
165.1974436217723,1
165.2374436217723,0
165.488737584725,1
165.52873758472498,0
172.8123280098589,1
172.8523280098589,0
177.8279420201421,1
177.8679420201421,0
177.87401650382787,1
177.91401650382787,0
181.28286338067036,1
181.32286338067036,0
183.62561056987838,1
183.66561056987837,0
186.09727324446362,1
186.13727324446361,0
186.62765535201748,1
186.66765535201748,0
191.47537165654498,1
191.51537165654497,0
191.78974111094809,1
191.82974111094808,0
192.65428292281354,1
192.69428292281353,0
193.06627906944104,1
193.10627906944103,0
