Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
1.2375575474221854,1
1.2775575474221854,0
1.6591392638369071,1
1.6991392638369072,0
3.5609250725078923,1
3.6009250725078923,0
6.886189066813733,1
6.926189066813733,0
8.142978220498916,1
8.182978220498915,0
9.41864456757855,1
9.458644567578549,0
11.75437562119549,1
11.794375621195488,0
12.238238665979877,1
12.278238665979876,0
12.652985905342513,1
12.692985905342512,0
15.352651220164038,1
15.392651220164037,0
18.063892335577712,1
18.10389233557771,0
20.009120425116453,1
20.049120425116453,0
20.752480188213013,1
20.792480188213013,0
22.690662317532496,1
22.730662317532495,0
23.299645219456025,1
23.339645219456024,0
25.298011312382716,1
25.338011312382715,0
28.92543737976991,1
28.96543737976991,0
32.603615783186946,1
32.643615783186945,0
35.088473929184154,1
35.12847392918415,0
35.33987524839669,1
35.37987524839669,0
35.80638076560806,1
35.84638076560806,0
43.2648696493021,1
43.3048696493021,0
43.510133555853166,1
43.550133555853165,0
44.117213522677886,1
44.157213522677885,0
45.998323061390906,1
46.038323061390905,0
46.9374972899584,1
46.9774972899584,0
49.752615144416396,1
49.792615144416395,0
52.5576202396136,1
52.5976202396136,0
54.07377727597434,1
54.113777275974336,0
55.09216811566448,1
55.13216811566448,0
58.212127855202155,1
58.252127855202154,0
58.62476381424224,1
58.66476381424224,0
60.496913549955025,1
60.536913549955024,0
60.67656375459109,1
60.71656375459109,0
62.26941055282158,1
62.30941055282158,0
65.93954411861324,1
65.97954411861325,0
66.43282059458855,1
66.47282059458855,0
67.0056559067013,1
67.04565590670131,0
71.68501410995287,1
71.72501410995288,0
71.96875554982853,1
72.00875554982854,0
77.05250363596701,1
77.09250363596702,0
83.87723454918513,1
83.91723454918514,0
86.60587995324305,1
86.64587995324305,0
88.25315775225567,1
88.29315775225568,0
90.85796228940423,1
90.89796228940423,0
94.49136404739805,1
94.53136404739806,0
95.92029552975863,1
95.96029552975864,0
97.32829263586427,1
97.36829263586428,0
98.0380465473818,1
98.0780465473818,0
99.71163890525698,1
99.75163890525698,0
101.1637394513569,1
101.20373945135691,0
103.40270250694273,1
103.44270250694274,0
106.3408167319188,1
106.38081673191881,0
109.38716783664584,1
109.42716783664585,0
111.24085064063426,1
111.28085064063427,0
113.6193329038318,1
113.65933290383181,0
114.57595685885936,1
114.61595685885936,0
115.30006064767932,1
115.34006064767932,0
120.48902381443587,1
120.52902381443587,0
123.24026506633133,1
123.28026506633134,0
125.0863398643185,1
125.12633986431851,0
126.94333610754586,1
126.98333610754587,0
128.0719402508984,1
