Point in Time[s],Utilization of Active Resource[]
368.7868993502787,1.0
370.7868993502787,0.0
396.74552272741397,1.0
397.74552272741397,0.0
398.390879591102,1.0
400.08455868520093,1.0
400.390879591102,1.0
400.6972004970031,1.0
402.390879591102,0.0
438.19984541983155,1.0
440.19984541983155,0.0
502.07374723668255,1.0
504.07374723668255,0.0
513.9884333252467,1.0
516.818696641072,1.0
516.9884333252467,1.0
517.1581700094213,1.0
519.9884333252467,0.0
525.2617055115217,1.0
528.2617055115217,0.0
536.4122708629172,1.0
537.4122708629172,0.0
544.4700197847899,1.0
545.4700197847899,0.0
559.7631454740266,1.0
561.7631454740266,0.0
592.7311465753451,1.0
594.7311465753451,0.0
596.7161764449563,1.0
597.7161764449563,0.0
