Point in Time[s],State of Active Resource[]
0.11,1
0.8197563757241778,2
0.9894363167900304,3
1.343519404991777,4
3.11,4
3.98943631679003,4
4.819756375724178,4
4.871408620722781,3
5.093711310044787,4
7.6168887091240025,4
8.457947842150407,3
9.066550841950933,2
9.20535208109538,3
9.241302757302227,3
9.259278095405651,2
12.955473845564633,3
12.996672580801196,3
13.017271948419477,2
13.243926786817086,1
14.11,0
14.589555809298751,1
16.1362678304399,2
16.612968798592,3
17.58955580929875,3
19.042843788157604,3
20.257781282940407,2
21.829049815838363,3
23.17778288055975,4
23.3512053252227,4
23.874109196229135,5
24.112283079914867,5
24.423783146366574,5
24.561201633900936,4
25.51460357020514,3
25.55960357020514,4
28.00688778341069,5
28.46400572854669,6
28.74959506281554,7
29.55960357020514,7
29.865051918621866,7
29.947782516903754,7
30.244537874575165,7
30.493695009868436,6
31.009114887961562,7
31.480107085078952,8
33.10459170670189,8
33.45383784315861,8
33.73579938002713,7
34.954370432448556,6
37.21241482950171,5
38.05049558636141,4
39.78150317822266,5
40.250722505260875,5
40.368027337020436,4
41.89866201976817,3
42.02183052334586,4
42.09183052334586,5
43.3987715124287,5
43.74142753575961,6
43.85775184212298,6
44.29923217181726,6
44.410793099028794,5
44.54019931269057,4
45.09628655831194,3
46.224636406816,2
50.25963640681601,1
50.58955580929876,0
51.00075371596933,1
51.91762436613147,2
53.00075371596933,2
53.91762436613147,1
54.00075371596933,0
54.05883363948691,1
56.05883363948691,0
57.85500724892408,1
58.46131074104175,2
59.586213572964496,3
59.85500724892408,3
60.46131074104175,3
60.89885932508038,2
61.09435590771964,3
61.686252340845044,3
61.982200557407744,2
62.2134275716983,3
65.39030412428234,3
66.97874240057436,2
67.80186584799031,1
67.85500724892408,0
72.63415647730201,1
73.63415647730201,0
77.59475603775464,1
78.59475603775464,0
82.51118959793308,1
83.46342395714588,2
83.51118959793308,2
83.55895523872029,1
85.51118959793308,0
88.83679309193988,1
89.83679309193988,0
94.34589655747584,1
96.34589655747584,0
101.11262328971353,1
104.11262328971353,0
121.34169962953514,1
123.34169962953514,0
134.98319504706544,1
135.98319504706544,0
153.40809730260597,1
155.40809730260597,0
169.46541509657737,1
172.46541509657737,0
178.03746163272965,1
179.03746163272965,0
201.3238230921798,1
202.3238230921798,0
204.2009387497108,1
205.2009387497108,0
215.82557891648472,1
216.82557891648472,0
221.37504256974506,1
223.37504256974506,0
232.27902838573948,1
235.27902838573948,0
237.81686150670265,1
238.43251635784475,2
240.43251635784475,1
240.81686150670265,1
241.81686150670265,0
247.44073983103084,1
248.44073983103084,0
251.3263021077398,1
253.3263021077398,0
259.5192942663011,1
260.01420076344687,2
262.5192942663011,2
264.01420076344687,1
264.38710098150165,2
264.5192942663011,2
264.6514875511005,1
266.5192942663011,0
268.2185632734112,1
271.2185632734112,0
288.0643855760682,1
290.0643855760682,0
296.28974603407823,1
298.28974603407823,0
305.43821170638466,1
308.43821170638466,0
308.60033037916463,1
309.60033037916463,0
331.3487352193121,1
333.3487352193121,0
347.9381689691331,1
349.9381689691331,0
351.19925713446844,1
352.6323485658486,2
353.19925713446844,2
353.63664326389727,3
353.7661657030883,3
353.83092692268383,2
357.2712220032857,3
357.7014044834928,3
357.9164957235963,2
358.91220102554763,1
360.19925713446844,0
376.5073360963082,1
378.5073360963082,0
409.83571825131827,1
412.83571825131827,0
421.2375414357823,1
422.2375414357823,0
432.05052819996047,1
435.05052819996047,0
464.32153417315163,1
465.32153417315163,0
469.01062957416326,1
470.01062957416326,0
483.4470515635916,1
484.4470515635916,0
514.4816970014407,1
515.4816970014407,0
523.7464603095053,1
526.7464603095053,0
541.8553545758463,1
543.0394248674385,2
543.8553545758463,2
544.671284284254,1
544.8553545758463,0
558.3225775540416,1
559.3225775540416,0
576.2277332001064,1
579.2277332001064,0
599.87059191637,1
