Point in Time[s],Utilization of Active Resource[]
0.11,1.0
0.8197563757241778,1.0
0.9894363167900304,1.0
1.343519404991777,1.0
3.11,1.0
3.98943631679003,1.0
4.819756375724178,1.0
4.871408620722781,1.0
5.093711310044787,1.0
7.6168887091240025,1.0
8.457947842150407,1.0
9.066550841950933,1.0
9.20535208109538,1.0
9.241302757302227,1.0
9.259278095405651,1.0
12.955473845564633,1.0
12.996672580801196,1.0
13.017271948419477,1.0
13.243926786817086,1.0
14.11,0.0
14.589555809298751,1.0
16.1362678304399,1.0
16.612968798592,1.0
17.58955580929875,1.0
19.042843788157604,1.0
20.257781282940407,1.0
21.829049815838363,1.0
23.17778288055975,1.0
23.3512053252227,1.0
23.874109196229135,1.0
24.112283079914867,1.0
24.423783146366574,1.0
24.561201633900936,1.0
25.51460357020514,1.0
25.55960357020514,1.0
28.00688778341069,1.0
28.46400572854669,1.0
28.74959506281554,1.0
29.55960357020514,1.0
29.865051918621866,1.0
29.947782516903754,1.0
30.244537874575165,1.0
30.493695009868436,1.0
31.009114887961562,1.0
31.480107085078952,1.0
33.10459170670189,1.0
33.45383784315861,1.0
33.73579938002713,1.0
34.954370432448556,1.0
37.21241482950171,1.0
38.05049558636141,1.0
39.78150317822266,1.0
40.250722505260875,1.0
40.368027337020436,1.0
41.89866201976817,1.0
42.02183052334586,1.0
42.09183052334586,1.0
43.3987715124287,1.0
43.74142753575961,1.0
43.85775184212298,1.0
44.29923217181726,1.0
44.410793099028794,1.0
44.54019931269057,1.0
45.09628655831194,1.0
46.224636406816,1.0
50.25963640681601,1.0
50.58955580929876,0.0
51.00075371596933,1.0
51.91762436613147,1.0
53.00075371596933,1.0
53.91762436613147,1.0
54.00075371596933,0.0
54.05883363948691,1.0
56.05883363948691,0.0
57.85500724892408,1.0
58.46131074104175,1.0
59.586213572964496,1.0
59.85500724892408,1.0
60.46131074104175,1.0
60.89885932508038,1.0
61.09435590771964,1.0
61.686252340845044,1.0
61.982200557407744,1.0
62.2134275716983,1.0
65.39030412428234,1.0
66.97874240057436,1.0
67.80186584799031,1.0
67.85500724892408,0.0
72.63415647730201,1.0
73.63415647730201,0.0
77.59475603775464,1.0
78.59475603775464,0.0
82.51118959793308,1.0
83.46342395714588,1.0
83.51118959793308,1.0
83.55895523872029,1.0
85.51118959793308,0.0
88.83679309193988,1.0
89.83679309193988,0.0
94.34589655747584,1.0
96.34589655747584,0.0
101.11262328971353,1.0
104.11262328971353,0.0
121.34169962953514,1.0
123.34169962953514,0.0
134.98319504706544,1.0
135.98319504706544,0.0
153.40809730260597,1.0
155.40809730260597,0.0
169.46541509657737,1.0
172.46541509657737,0.0
178.03746163272965,1.0
179.03746163272965,0.0
201.3238230921798,1.0
202.3238230921798,0.0
204.2009387497108,1.0
205.2009387497108,0.0
215.82557891648472,1.0
216.82557891648472,0.0
221.37504256974506,1.0
223.37504256974506,0.0
232.27902838573948,1.0
235.27902838573948,0.0
237.81686150670265,1.0
238.43251635784475,1.0
240.43251635784475,1.0
240.81686150670265,1.0
241.81686150670265,0.0
247.44073983103084,1.0
248.44073983103084,0.0
251.3263021077398,1.0
253.3263021077398,0.0
259.5192942663011,1.0
260.01420076344687,1.0
262.5192942663011,1.0
264.01420076344687,1.0
264.38710098150165,1.0
264.5192942663011,1.0
264.6514875511005,1.0
266.5192942663011,0.0
268.2185632734112,1.0
271.2185632734112,0.0
288.0643855760682,1.0
290.0643855760682,0.0
296.28974603407823,1.0
298.28974603407823,0.0
305.43821170638466,1.0
308.43821170638466,0.0
308.60033037916463,1.0
309.60033037916463,0.0
331.3487352193121,1.0
333.3487352193121,0.0
347.9381689691331,1.0
349.9381689691331,0.0
351.19925713446844,1.0
352.6323485658486,1.0
353.19925713446844,1.0
353.63664326389727,1.0
353.7661657030883,1.0
353.83092692268383,1.0
357.2712220032857,1.0
357.7014044834928,1.0
357.9164957235963,1.0
358.91220102554763,1.0
360.19925713446844,0.0
376.5073360963082,1.0
378.5073360963082,0.0
409.83571825131827,1.0
412.83571825131827,0.0
421.2375414357823,1.0
422.2375414357823,0.0
432.05052819996047,1.0
435.05052819996047,0.0
464.32153417315163,1.0
465.32153417315163,0.0
469.01062957416326,1.0
470.01062957416326,0.0
483.4470515635916,1.0
484.4470515635916,0.0
514.4816970014407,1.0
515.4816970014407,0.0
523.7464603095053,1.0
526.7464603095053,0.0
541.8553545758463,1.0
543.0394248674385,1.0
543.8553545758463,1.0
544.671284284254,1.0
544.8553545758463,0.0
558.3225775540416,1.0
559.3225775540416,0.0
576.2277332001064,1.0
579.2277332001064,0.0
599.87059191637,1.0
