Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
0.7647563757241778,1
0.8047563757241778,0
0.9344363167900304,1
0.9744363167900304,0
1.288519404991777,1
1.328519404991777,0
5.038711310044787,1
5.078711310044787,0
9.150352081095381,1
9.19035208109538,0
12.900473845564633,1
12.940473845564632,0
14.534555809298752,1
14.57455580929875,0
16.0812678304399,1
16.121267830439898,0
16.557968798592,1
16.597968798592,0
21.774049815838364,1
21.814049815838363,0
23.12278288055975,1
23.16278288055975,0
23.819109196229135,1
23.859109196229134,0
25.497914395909504,1
25.537914395909503,0
27.95188778341069,1
27.99188778341069,0
28.409005728546692,1
28.44900572854669,0
28.69459506281554,1
28.73459506281554,0
30.954114887961563,1
30.994114887961562,0
31.425107085078952,1
31.46510708507895,0
39.72650317822266,1
39.766503178222656,0
41.96683052334586,1
42.00683052334586,0
42.03683052334586,1
42.07683052334586,0
43.68642753575961,1
43.72642753575961,0
50.94575371596933,1
50.98575371596933,0
51.86262436613147,1
51.90262436613147,0
54.00383363948691,1
54.04383363948691,0
57.80000724892408,1
57.84000724892408,0
58.40631074104175,1
58.44631074104175,0
59.5312135729645,1
59.571213572964496,0
61.03935590771964,1
61.07935590771964,0
62.1584275716983,1
62.198427571698296,0
63.177404933335964,1
63.21740493333596,0
63.932855960578934,1
63.97285596057893,0
65.99297910722629,1
66.0329791072263,0
68.61872582394109,1
68.6587258239411,0
69.01852294747832,1
69.05852294747832,0
72.579156477302,1
72.61915647730201,0
74.57929063658648,1
74.61929063658648,0
75.96471622939929,1
76.00471622939929,0
77.53975603775463,1
77.57975603775463,0
81.81990334713977,1
81.85990334713978,0
82.45618959793308,1
82.49618959793308,0
83.27684621759633,1
83.31684621759634,0
83.40842395714587,1
83.44842395714588,0
85.1270450763031,1
85.16704507630311,0
88.78179309193987,1
88.82179309193988,0
89.11126916254686,1
89.15126916254687,0
90.5529403653864,1
90.59294036538641,0
91.48919966901896,1
91.52919966901896,0
92.92927201937638,1
92.96927201937639,0
93.26089655747583,1
93.30089655747584,0
94.27672472259803,1
94.31672472259804,0
97.94098023615712,1
97.98098023615712,0
101.05762328971352,1
101.09762328971352,0
103.63273536144271,1
103.67273536144272,0
104.80777210979653,1
104.84777210979654,0
108.68022187761593,1
108.72022187761594,0
110.21656309971269,1
110.2565630997127,0
112.10985824215568,1
112.14985824215569,0
112.97077266339676,1
113.01077266339676,0
114.25251603915967,1
114.29251603915968,0
121.28669962953514,1
121.32669962953514,0
121.51321668379977,1
121.55321668379977,0
121.92547371705079,1
121.9654737170508,0
126.14371716918303,1
126.18371716918304,0
126.80702131317703,1
126.84702131317704,0
127.40283303097011,1
127.44283303097012,0
128.75596055059583,1
128.79596055059582,0
131.9114940667587,1
131.9514940667587,0
132.85643697547798,1
132.89643697547797,0
134.3298692036489,1
134.3698692036489,0
134.92819504706546,1
134.96819504706545,0
137.6508004365888,1
137.6908004365888,0
138.19825266438215,1
138.23825266438214,0
139.09926430818751,1
139.1392643081875,0
145.5427989839794,1
145.5827989839794,0
145.92832448193022,1
145.9683244819302,0
148.00733882374107,1
148.04733882374106,0
149.53795601678974,1
149.57795601678973,0
150.0224721675049,1
150.0624721675049,0
151.40451467872361,1
151.4445146787236,0
151.56178628585215,1
151.60178628585214,0
153.353097302606,1
153.39309730260598,0
160.69711622702155,1
160.73711622702155,0
165.95820109508622,1
165.99820109508622,0
169.4104150965774,1
169.4504150965774,0
170.20646351186645,1
170.24646351186644,0
171.5512971739291,1
171.5912971739291,0
172.51041509657733,1
172.55041509657732,0
173.0910378011514,1
173.1310378011514,0
173.30774043132934,1
173.34774043132933,0
173.99170081358142,1
174.0317008135814,0
177.45889285894276,1
177.49889285894275,0
177.97465964430327,1
178.0068576558769,2
178.01465964430326,2
178.02246163272966,1
178.05465964430329,0
