Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
0.7097563757241777,1
0.7497563757241777,0
0.8794363167900303,1
0.9194363167900304,0
1.233519404991777,1
1.273519404991777,0
4.983711310044788,1
5.023711310044788,0
9.095352081095381,1
9.13535208109538,0
12.845473845564634,1
12.885473845564633,0
14.479555809298752,1
14.519555809298751,0
16.0262678304399,1
16.066267830439898,0
16.502968798592,1
16.542968798592,0
21.719049815838364,1
21.759049815838363,0
23.06778288055975,1
23.10778288055975,0
23.764109196229136,1
23.804109196229135,0
25.442914395909504,1
25.482914395909503,0
27.89688778341069,1
27.93688778341069,0
28.354005728546692,1
28.39400572854669,0
28.63959506281554,1
28.67959506281554,0
30.899114887961563,1
30.939114887961562,0
31.370107085078953,1
31.410107085078952,0
39.67150317822266,1
39.71150317822266,0
41.91183052334586,1
41.95183052334586,0
41.97941899810456,1
42.01941899810456,0
43.63142753575961,1
43.67142753575961,0
50.89075371596933,1
50.93075371596933,0
51.80762436613147,1
51.84762436613147,0
53.948833639486914,1
53.98883363948691,0
57.74500724892408,1
57.78500724892408,0
58.35131074104175,1
58.39131074104175,0
59.4762135729645,1
59.516213572964496,0
60.98435590771964,1
61.02435590771964,0
62.1034275716983,1
62.1434275716983,0
63.122404933335964,1
63.162404933335964,0
63.877855960578934,1
63.91785596057893,0
65.93797910722628,1
65.97797910722629,0
68.56372582394108,1
68.60372582394109,0
68.96352294747831,1
69.00352294747832,0
72.524156477302,1
72.564156477302,0
74.52429063658647,1
74.56429063658648,0
75.90971622939928,1
75.94971622939929,0
77.48475603775462,1
77.52475603775463,0
81.76490334713976,1
81.80490334713977,0
82.40118959793307,1
82.44118959793308,0
83.22184621759632,1
83.26184621759633,0
83.35342395714586,1
83.39342395714587,0
85.0720450763031,1
85.1120450763031,0
88.72679309193987,1
88.76679309193987,0
89.05626916254685,1
89.09626916254686,0
90.4979403653864,1
90.5379403653864,0
91.43419966901895,1
91.47419966901896,0
92.87427201937638,1
92.91427201937638,0
93.20589655747582,1
93.24589655747583,0
94.22172472259803,1
94.26172472259803,0
97.88598023615711,1
97.92598023615712,0
101.00262328971351,1
101.04262328971352,0
103.5777353614427,1
103.61773536144271,0
104.75277210979652,1
104.79277210979653,0
108.62522187761593,1
108.66522187761593,0
110.16156309971268,1
110.20156309971269,0
112.05485824215567,1
112.09485824215568,0
112.91577266339675,1
112.95577266339676,0
114.19751603915967,1
114.23751603915967,0
121.23169962953513,1
121.27169962953514,0
121.45821668379976,1
121.49821668379977,0
121.87047371705079,1
