Point in Time[s],Utilization of Active Resource[]
194.36507632319837,1.0
195.36507632319837,0.0
199.92529488241007,1.0
202.92529488241007,0.0
215.85604442724147,1.0
218.85604442724147,0.0
222.5685980137825,1.0
224.5685980137825,0.0
242.78452181181243,1.0
244.78452181181243,0.0
269.35872108048375,1.0
272.35872108048375,0.0
277.4731590255475,1.0
280.4731590255475,0.0
299.1116904145645,1.0
302.1116904145645,0.0
303.1535889932428,1.0
305.1535889932428,0.0
327.99905379310303,1.0
329.99905379310303,0.0
397.8242210861145,1.0
399.8242210861145,0.0
405.48103945851864,1.0
407.48103945851864,0.0
416.6300021224314,1.0
417.87761924002666,1.0
419.6300021224314,1.0
421.3823850048361,1.0
421.6300021224314,0.0
430.2950328583191,1.0
431.2950328583191,0.0
481.63520902343345,1.0
483.1259791366048,1.0
483.63520902343345,1.0
484.14443891026207,1.0
485.63520902343345,0.0
486.7671411949226,1.0
488.7671411949226,0.0
520.0998430623334,1.0
521.0998430623334,0.0
522.6358610876616,1.0
524.6358610876616,0.0
525.4194307657168,1.0
528.4194307657168,0.0
536.1104487756799,1.0
538.1104487756799,0.0
567.3117608982739,1.0
570.3117608982739,0.0
