Point in Time[s],State of Active Resource[]
199.78561750579232,1
200.78561750579232,0
253.2045003427433,1
256.2045003427433,0
256.84312499965495,1
258.84312499965495,0
268.5161421436061,1
269.0650447957666,2
270.5161421436061,2
271.9672394914456,1
272.5161421436061,0
299.63842744045564,1
301.63842744045564,0
309.10806149110874,1
310.10806149110874,0
354.6697574213094,1
356.6697574213094,0
357.15661977019226,1
359.15661977019226,0
377.20480872959564,1
379.20480872959564,0
400.03845442877014,1
401.03845442877014,0
463.5095520730615,1
466.5095520730615,0
472.4847733846298,1
473.4847733846298,0
481.40759449531856,1
483.40759449531856,0
486.28850851471844,1
488.5928152751753,2
489.28850851471844,2
489.3041330511538,3
489.98420175426156,3
490.32423610581543,2
490.9328496267292,1
493.28850851471844,0
505.2096620660055,1
505.4606062601015,2
506.2096620660055,2
506.95871787190947,1
508.2096620660055,0
542.5590467397416,1
545.5590467397416,0
559.6033153648996,1
560.6033153648996,0
562.5729913661824,1
565.5729913661824,0
579.5869496054343,1
582.5869496054343,0
