Point in Time[s],State of Active Resource[]
0.11,1
1.11,0
1.7556508613901118,1
2.003460002873033,2
2.0734600028730332,3
2.755650861390112,3
3.060482563238932,4
3.17303284752655,5
3.5078417199071907,5
4.225032578424269,5
4.394688316983419,6
4.613215916819382,6
4.674953050125367,7
4.9732616841425905,7
5.088976357574424,7
5.157980242149267,6
6.715616737243861,7
6.854835091046795,7
6.87803815001395,6
7.519217184076763,7
8.351638226972353,8
8.458002898719245,9
9.020908697177173,9
9.230300976870076,10
9.271190616027242,10
9.402555243035083,10
9.520624286074563,10
9.552882431541729,9
11.557392576115475,10
12.172259376277015,10
12.240577909628298,9
13.76665483062755,10
14.362537890015085,11
14.680371084585683,12
15.091895144148173,12
15.239144067872687,12
15.326804685658448,12
15.385571376665062,11
15.515337728026354,10
16.81600004113593,9
18.815299171139404,8
20.99504849084563,7
25.365178444551127,6
25.444951948361293,5
25.746808268427007,6
25.874006436222867,6
25.89944606978204,5
26.700598783890996,6
27.17435354410328,6
27.269104496145737,5
28.756459204262168,4
28.872034911378748,3
30.051676920901194,2
31.0882844491171,1
31.58499132113878,2
31.65499132113878,3
31.755650861390112,3
31.92631040164144,3
32.06196994189277,2
32.28071212310454,3
33.72065086139011,3
34.44062023053289,2
34.51062023053289,1
34.75565086139011,0
36.54697738914668,1
39.54697738914668,0
42.66978085550863,1
44.60081550963571,2
44.66978085550863,2
44.738746201381545,1
45.09572550321885,2
45.66978085550863,2
46.2438362077984,1
46.66978085550863,0
49.480135698483565,1
49.6228907578819,2
50.480135698483565,2
50.567388830931925,3
51.33738063908523,3
51.394325405487656,4
51.722376543161886,4
51.83172692238663,3
52.740239679161355,4
53.09051670342278,5
53.70907343862681,6
54.5036757847124,6
55.09148781989608,6
55.44144015587396,7
55.591730599014404,7
55.968262031091925,7
56.05606567696159,6
57.56869830870004,5
61.947757855146406,6
63.80695721999304,6
64.17879709296236,5
64.7973538281664,4
65.20089745706883,3
65.76442309401558,2
66.76440631538753,1
67.46801157306534,2
68.48013569848356,2
69.46801157306534,1
69.48013569848356,0
84.02840617707898,1
85.02840617707898,0
94.05892535855219,1
94.93186450430757,2
95.05892535855219,2
95.1859862127968,1
97.05892535855219,0
97.21795540968421,1
99.21795540968421,0
106.38794648136405,1
108.38794648136405,0
123.12047171869122,1
126.12047171869122,0
126.47593682540992,1
127.47593682540992,0
129.98415365206154,1
132.98415365206154,0
138.97955438407402,1
139.97955438407402,0
141.87933489640434,1
144.87933489640434,0
153.9166699126093,1
155.9166699126093,0
163.57108340101075,1
164.57108340101075,0
168.73698767996373,1
170.73698767996373,0
173.82655420301052,1
176.82655420301052,0
182.30823462099943,1
182.38889500084403,2
182.9547430243313,3
184.30823462099943,3
186.22757424115483,3
187.8639898495666,2
190.0253106092558,1
190.30823462099943,0
191.24402066267695,1
194.24402066267695,0
206.42101974251182,1
207.42101974251182,0
228.30433680082757,1
230.85269647204285,2
231.30433680082757,2
231.7559771296123,1
231.75698932970158,2
232.30433680082757,2
232.85168427195356,1
233.30433680082757,0
264.5249712747833,1
266.5249712747833,0
279.9485705412518,1
281.9485705412518,0
338.62535340059617,1
340.62535340059617,0
356.7393948781106,1
358.7393948781106,0
367.6859647486313,1
368.6859647486313,0
378.3386520259237,1
381.3386520259237,0
388.98536629637664,1
391.98536629637664,0
406.15121978249783,1
408.65108792068116,2
409.15121978249783,2
409.6513516443145,1
410.15121978249783,0
419.7873041311089,1
421.7873041311089,0
448.84409388515877,1
449.84409388515877,0
468.43414056889236,1
469.43414056889236,0
469.5693979720653,1
471.5693979720653,0
476.4101448508868,1
479.4101448508868,0
500.76692598088,1
502.76692598088,0
503.0405304798665,1
504.0405304798665,0
516.7788093800593,1
519.7788093800593,0
535.9994748536159,1
537.9994748536159,0
539.3810414237109,1
541.3810414237109,0
543.8719957249534,1
545.8719957249534,0
560.6883153648995,1
562.6883153648995,0
