Point in Time[s],Utilization of Active Resource[]
0.11,1.0
1.11,0.0
1.7556508613901118,1.0
2.003460002873033,1.0
2.0734600028730332,1.0
2.755650861390112,1.0
3.060482563238932,1.0
3.17303284752655,1.0
3.5078417199071907,1.0
4.225032578424269,1.0
4.394688316983419,1.0
4.613215916819382,1.0
4.674953050125367,1.0
4.9732616841425905,1.0
5.088976357574424,1.0
5.157980242149267,1.0
6.715616737243861,1.0
6.854835091046795,1.0
6.87803815001395,1.0
7.519217184076763,1.0
8.351638226972353,1.0
8.458002898719245,1.0
9.020908697177173,1.0
9.230300976870076,1.0
9.271190616027242,1.0
9.402555243035083,1.0
9.520624286074563,1.0
9.552882431541729,1.0
11.557392576115475,1.0
12.172259376277015,1.0
12.240577909628298,1.0
13.76665483062755,1.0
14.362537890015085,1.0
14.680371084585683,1.0
15.091895144148173,1.0
15.239144067872687,1.0
15.326804685658448,1.0
15.385571376665062,1.0
15.515337728026354,1.0
16.81600004113593,1.0
18.815299171139404,1.0
20.99504849084563,1.0
25.365178444551127,1.0
25.444951948361293,1.0
25.746808268427007,1.0
25.874006436222867,1.0
25.89944606978204,1.0
26.700598783890996,1.0
27.17435354410328,1.0
27.269104496145737,1.0
28.756459204262168,1.0
28.872034911378748,1.0
30.051676920901194,1.0
31.0882844491171,1.0
31.58499132113878,1.0
31.65499132113878,1.0
31.755650861390112,1.0
31.92631040164144,1.0
32.06196994189277,1.0
32.28071212310454,1.0
33.72065086139011,1.0
34.44062023053289,1.0
34.51062023053289,1.0
34.75565086139011,0.0
36.54697738914668,1.0
39.54697738914668,0.0
42.66978085550863,1.0
44.60081550963571,1.0
44.66978085550863,1.0
44.738746201381545,1.0
45.09572550321885,1.0
45.66978085550863,1.0
46.2438362077984,1.0
46.66978085550863,0.0
49.480135698483565,1.0
49.6228907578819,1.0
50.480135698483565,1.0
50.567388830931925,1.0
51.33738063908523,1.0
51.394325405487656,1.0
51.722376543161886,1.0
51.83172692238663,1.0
52.740239679161355,1.0
53.09051670342278,1.0
53.70907343862681,1.0
54.5036757847124,1.0
55.09148781989608,1.0
55.44144015587396,1.0
55.591730599014404,1.0
55.968262031091925,1.0
56.05606567696159,1.0
57.56869830870004,1.0
61.947757855146406,1.0
63.80695721999304,1.0
64.17879709296236,1.0
64.7973538281664,1.0
65.20089745706883,1.0
65.76442309401558,1.0
66.76440631538753,1.0
67.46801157306534,1.0
68.48013569848356,1.0
69.46801157306534,1.0
69.48013569848356,0.0
84.02840617707898,1.0
85.02840617707898,0.0
94.05892535855219,1.0
94.93186450430757,1.0
95.05892535855219,1.0
95.1859862127968,1.0
97.05892535855219,0.0
97.21795540968421,1.0
99.21795540968421,0.0
106.38794648136405,1.0
108.38794648136405,0.0
123.12047171869122,1.0
126.12047171869122,0.0
126.47593682540992,1.0
127.47593682540992,0.0
129.98415365206154,1.0
132.98415365206154,0.0
138.97955438407402,1.0
139.97955438407402,0.0
141.87933489640434,1.0
144.87933489640434,0.0
153.9166699126093,1.0
155.9166699126093,0.0
163.57108340101075,1.0
164.57108340101075,0.0
168.73698767996373,1.0
170.73698767996373,0.0
173.82655420301052,1.0
176.82655420301052,0.0
182.30823462099943,1.0
182.38889500084403,1.0
182.9547430243313,1.0
184.30823462099943,1.0
186.22757424115483,1.0
187.8639898495666,1.0
190.0253106092558,1.0
190.30823462099943,0.0
191.24402066267695,1.0
194.24402066267695,0.0
206.42101974251182,1.0
207.42101974251182,0.0
228.30433680082757,1.0
230.85269647204285,1.0
231.30433680082757,1.0
231.7559771296123,1.0
231.75698932970158,1.0
232.30433680082757,1.0
232.85168427195356,1.0
233.30433680082757,0.0
264.5249712747833,1.0
266.5249712747833,0.0
279.9485705412518,1.0
281.9485705412518,0.0
338.62535340059617,1.0
340.62535340059617,0.0
356.7393948781106,1.0
358.7393948781106,0.0
367.6859647486313,1.0
368.6859647486313,0.0
378.3386520259237,1.0
381.3386520259237,0.0
388.98536629637664,1.0
391.98536629637664,0.0
406.15121978249783,1.0
408.65108792068116,1.0
409.15121978249783,1.0
409.6513516443145,1.0
410.15121978249783,0.0
419.7873041311089,1.0
421.7873041311089,0.0
448.84409388515877,1.0
449.84409388515877,0.0
468.43414056889236,1.0
469.43414056889236,0.0
469.5693979720653,1.0
471.5693979720653,0.0
476.4101448508868,1.0
479.4101448508868,0.0
500.76692598088,1.0
502.76692598088,0.0
503.0405304798665,1.0
504.0405304798665,0.0
516.7788093800593,1.0
519.7788093800593,0.0
535.9994748536159,1.0
537.9994748536159,0.0
539.3810414237109,1.0
541.3810414237109,0.0
543.8719957249534,1.0
545.8719957249534,0.0
560.6883153648995,1.0
562.6883153648995,0.0
