Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
1.700650861390112,1
1.740650861390112,0
1.948460002873033,1
1.988460002873033,0
2.018460002873033,1
2.058460002873033,0
3.0054825632389317,1
3.0454825632389317,0
3.1180328475265497,1
3.15803284752655,0
4.33968831698342,1
4.37968831698342,0
4.619953050125368,1
4.659953050125368,0
6.660616737243862,1
6.700616737243862,0
7.464217184076763,1
7.504217184076763,0
8.296638226972354,1
8.336638226972353,0
8.403002898719246,1
8.443002898719245,0
9.175300976870076,1
9.215300976870076,0
11.502392576115476,1
11.542392576115475,0
13.71165483062755,1
13.75165483062755,0
14.307537890015086,1
14.347537890015085,0
14.625371084585684,1
14.665371084585683,0
25.691808268427007,1
25.731808268427006,0
26.645598783890996,1
26.685598783890995,0
31.52999132113878,1
31.56999132113878,0
31.59999132113878,1
31.63999132113878,0
32.22571212310454,1
32.26571212310454,0
36.49197738914668,1
36.53197738914668,0
42.61478085550863,1
42.654780855508626,0
44.54581550963571,1
44.58581550963571,0
45.04072550321885,1
45.08072550321885,0
49.425135698483565,1
49.465135698483564,0
49.5678907578819,1
49.6078907578819,0
50.512388830931926,1
50.552388830931925,0
51.339325405487656,1
51.379325405487656,0
52.685239679161356,1
52.725239679161355,0
53.03551670342278,1
53.07551670342278,0
53.65407343862681,1
53.69407343862681,0
55.38644015587396,1
55.42644015587396,0
61.89275785514641,1
61.932757855146406,0
63.29674583950286,1
63.33674583950286,0
65.0791529738404,1
65.1191529738404,0
67.41301157306533,1
67.45301157306534,0
67.59567807624883,1
67.63567807624884,0
69.39716876930568,1
69.43716876930569,0
70.04776614420591,1
70.08776614420591,0
83.80428057531462,1
83.84428057531463,0
83.97340617707897,1
84.01340617707898,0
85.22515803761866,1
85.26515803761866,0
85.43193298302178,1
85.47193298302179,0
88.31034154298344,1
88.35034154298344,0
88.47051663228977,1
88.51051663228978,0
89.63275113379561,1
89.67275113379561,0
91.30966590914224,1
91.34966590914225,0
94.00392535855218,1
94.04392535855219,0
94.87686450430756,1
94.91686450430757,0
96.25190517929458,1
96.29190517929459,0
96.29575117414868,1
96.33575117414868,0
97.1629554096842,1
97.20295540968421,0
99.24795540968421,1
99.28795540968422,0
99.53908705719547,1
99.57908705719548,0
102.66167822493193,1
102.70167822493194,0
104.51675539458253,1
104.55675539458254,0
106.33294648136405,1
106.37294648136405,0
107.08688870868747,1
107.12688870868747,0
112.13060856909685,1
112.17060856909686,0
117.871700659905,1
117.91170065990501,0
121.14202573137021,1
121.18202573137022,0
123.06547171869121,1
123.10547171869122,0
123.312629852215,1
123.352629852215,0
123.60963054984789,1
123.6496305498479,0
126.42093682540991,1
126.46093682540992,0
128.98362284297858,1
129.02362284297857,0
129.4979177704354,1
129.5379177704354,0
129.92915365206156,1
129.96915365206155,0
130.48979041085363,1
130.52979041085362,0
130.911546065155,1
130.951546065155,0
134.4144097721899,1
134.4544097721899,0
134.75307766509053,1
134.79307766509052,0
134.82436263291376,1
134.86436263291375,0
138.92455438407404,1
138.96455438407403,0
140.5686537753507,1
140.6086537753507,0
141.82433489640437,1
141.86433489640436,0
142.45613623213677,1
142.49613623213676,0
150.19843683893995,1
150.23843683893995,0
151.63154622721478,1
151.67154622721478,0
153.86166991260933,1
153.90166991260932,0
155.6049127091389,1
155.64491270913888,0
158.3727093238128,1
158.3877093238128,2
158.4127093238128,2
158.43770932381284,1
158.45270932381283,0
159.5947404513247,1
159.6347404513247,0
162.12979292774898,1
162.16979292774897,0
163.51608340101077,1
163.55608340101077,0
166.94530393579598,1
166.98530393579597,0
168.02515069507683,1
168.06515069507682,0
168.68198767996375,1
168.72198767996375,0
173.05311022644744,1
173.06811022644743,2
173.09311022644744,2
173.11811022644747,1
173.13311022644746,0
173.77155420301054,1
173.81155420301053,0
178.60689063461945,1
