Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
1.645650861390112,1
1.685650861390112,0
1.893460002873033,1
1.933460002873033,0
1.96216221886202,1
2.00216221886202,0
2.9504825632389315,1
2.9904825632389316,0
3.0630328475265496,1
3.1030328475265496,0
4.28468831698342,1
4.32468831698342,0
4.564953050125368,1
4.604953050125368,0
6.605616737243862,1
6.645616737243862,0
7.4092171840767636,1
7.449217184076764,0
8.241638226972354,1
8.281638226972353,0
8.348002898719246,1
8.388002898719245,0
9.120300976870077,1
9.160300976870076,0
11.447392576115476,1
11.487392576115475,0
13.65665483062755,1
13.69665483062755,0
14.252537890015086,1
14.292537890015085,0
14.570371084585684,1
14.610371084585683,0
25.636808268427007,1
25.676808268427006,0
26.590598783890997,1
26.630598783890996,0
31.47499132113878,1
31.51499132113878,0
31.544831671539345,1
31.584831671539344,0
32.17071212310454,1
32.21071212310454,0
36.43697738914668,1
36.47697738914668,0
42.55978085550863,1
42.59978085550863,0
44.49081550963571,1
44.53081550963571,0
44.98572550321885,1
45.02572550321885,0
49.370135698483566,1
49.410135698483565,0
49.5128907578819,1
49.5528907578819,0
50.457388830931926,1
50.497388830931925,0
51.28432540548766,1
51.324325405487656,0
52.630239679161356,1
52.670239679161355,0
52.98051670342278,1
53.02051670342278,0
53.59907343862681,1
53.63907343862681,0
55.33144015587396,1
55.37144015587396,0
61.83775785514641,1
61.877757855146406,0
63.24174583950286,1
63.28174583950286,0
65.02415297384039,1
65.0641529738404,0
67.35801157306533,1
67.39801157306533,0
67.54067807624882,1
67.58067807624883,0
69.34216876930567,1
69.38216876930568,0
69.9927661442059,1
70.03276614420591,0
83.74928057531461,1
83.78928057531462,0
83.91840617707896,1
83.95840617707897,0
85.17015803761865,1
85.21015803761865,0
85.37693298302177,1
85.41693298302178,0
88.25534154298343,1
88.29534154298344,0
88.41551663228977,1
88.45551663228977,0
89.5777511337956,1
89.61775113379561,0
91.25466590914223,1
91.29466590914224,0
93.94892535855217,1
93.98892535855218,0
94.82186450430756,1
94.86186450430756,0
96.19690517929457,1
96.23690517929458,0
96.24075117414867,1
96.28075117414868,0
97.1079554096842,1
97.1479554096842,0
99.18411882783354,1
99.22411882783355,0
99.48408705719547,1
99.52408705719547,0
102.60667822493193,1
102.64667822493193,0
104.46175539458253,1
104.50175539458253,0
106.27794648136404,1
106.31794648136405,0
107.03188870868746,1
107.07188870868747,0
112.07560856909684,1
112.11560856909685,0
117.816700659905,1
117.856700659905,0
121.0870257313702,1
121.12702573137021,0
123.0104717186912,1
