Point in Time[s],Utilization of Active Resource[]
61.769909167658604,1.0
64.7699091676586,0.0
92.41341158577096,1.0
93.41341158577096,0.0
97.9641514283609,1.0
99.4206611160552,1.0
99.9641514283609,1.0
100.50764174066661,1.0
101.9641514283609,0.0
102.64467089686421,1.0
103.64467089686421,0.0
123.52735518023201,1.0
125.72404134902703,1.0
126.52735518023201,1.0
127.33066901143698,1.0
128.527355180232,0.0
137.55316264158878,1.0
138.55316264158878,0.0
139.3111134123879,1.0
142.3111134123879,0.0
145.46742192510268,1.0
148.46742192510268,0.0
148.51686216223905,1.0
149.51686216223905,0.0
153.1660755334946,1.0
155.1660755334946,0.0
157.12156288601554,1.0
158.12156288601554,0.0
169.29452440278408,1.0
171.29452440278408,0.0
175.21618645322363,1.0
177.21618645322363,0.0
191.30331723860743,1.0
192.30331723860743,0.0
199.4171024594047,1.0
201.4171024594047,0.0
224.1311914407833,1.0
225.1311914407833,0.0
231.52514444884844,1.0
234.52514444884844,0.0
244.05163276602138,1.0
247.05163276602138,0.0
256.2910971642831,1.0
258.2910971642831,0.0
288.80867666543713,1.0
291.80867666543713,0.0
292.24586818975155,1.0
294.24586818975155,0.0
311.0205588193073,1.0
312.0205588193073,0.0
326.3517962517617,1.0
327.3517962517617,0.0
331.00454581606726,1.0
333.84720993675825,1.0
334.00454581606726,1.0
334.1618816953763,1.0
337.00454581606726,0.0
337.5503979597417,1.0
338.5503979597417,0.0
342.14680846662554,1.0
343.14680846662554,0.0
347.31111448471205,1.0
349.31111448471205,0.0
361.21145191796126,1.0
363.21145191796126,0.0
364.1232830877847,1.0
365.4797388819656,1.0
366.1232830877847,1.0
366.76682729360385,1.0
368.1232830877847,0.0
372.2651016707649,1.0
375.2651016707649,0.0
377.29128088196796,1.0
379.29128088196796,0.0
382.37667591838215,1.0
383.37667591838215,0.0
387.4321119947985,1.0
390.4321119947985,0.0
398.6282645836684,1.0
399.3112682132175,1.0
400.6282645836684,1.0
401.3112682132175,1.0
401.6282645836684,0.0
405.6331977949585,1.0
405.74180057975445,1.0
406.6331977949585,1.0
407.52459501016256,1.0
408.6331977949585,0.0
413.73234512094734,1.0
415.73234512094734,0.0
438.9838610548736,1.0
440.9838610548736,0.0
442.51115298533216,1.0
445.51115298533216,0.0
447.4816835936775,1.0
448.4816835936775,0.0
449.91025221814306,1.0
451.91025221814306,0.0
459.7523522398823,1.0
461.7523522398823,0.0
489.8135856494138,1.0
491.8135856494138,0.0
503.61639823912014,1.0
506.61639823912014,0.0
506.79248061461806,1.0
507.79248061461806,0.0
514.3156285793096,1.0
515.3156285793096,0.0
521.1779120387068,1.0
524.0566815674237,1.0
524.1779120387068,1.0
524.29914250999,1.0
527.1779120387068,0.0
532.1221673750952,1.0
534.1221673750952,0.0
546.5260358043541,1.0
547.5260358043541,0.0
548.331611453732,1.0
550.331611453732,0.0
551.8552261839981,1.0
554.8552261839981,0.0
