Point in Time[s],State of Active Resource[]
72.81171571570553,1
74.81171571570553,0
76.35016615968269,1
77.35016615968269,0
91.36841158577096,1
92.36841158577096,0
94.30465182903593,1
95.30465182903593,0
129.9068030285901,1
131.9068030285901,0
147.13761896438123,1
148.13761896438123,0
154.1120909779125,1
154.2034219782713,2
156.2034219782713,1
157.1120909779125,1
158.1120909779125,0
159.114664224954,1
160.114664224954,0
162.81198257152877,1
163.81198257152877,0
172.84467925663844,1
174.84467925663844,0
178.19138180524752,1
180.19138180524752,0
180.9144780699944,1
181.8373416951823,2
182.9144780699944,2
183.8373416951823,1
183.9144780699944,0
194.8122068633415,1
196.8122068633415,0
205.14865097758098,1
206.14865097758098,0
206.86358260033023,1
207.86358260033023,0
214.84591392953226,1
216.84591392953226,0
240.77126865924987,1
242.60940242757346,2
242.77126865924987,2
242.93313489092628,1
244.77126865924987,0
248.21656728630649,1
251.21656728630649,0
291.56180019786103,1
293.56180019786103,0
311.3751791671426,1
314.3751791671426,0
346.35807102279665,1
347.35807102279665,0
348.42276637398044,1
350.42276637398044,0
370.83950800684073,1
372.83950800684073,0
386.92062765083153,1
387.92062765083153,0
405.86509599913643,1
408.86509599913643,0
410.82383693483,1
412.82383693483,0
424.974863706129,1
425.974863706129,0
435.3147194864117,1
438.3147194864117,0
448.7812919051004,1
451.7812919051004,0
459.5978799513504,1
461.5978799513504,0
480.5256950820395,1
481.5256950820395,0
485.8918357227247,1
485.9696155432369,2
488.8918357227247,2
490.76997076179435,3
491.8140559022125,3
492.33609847242155,2
492.49165811344596,1
494.8918357227247,0
511.8932944443406,1
514.8932944443407,0
518.4762661593304,1
520.4762661593304,0
547.4517159314573,1
548.4517159314573,0
550.5541882967868,1
552.2801161858076,2
552.5541882967868,2
552.828260407766,1
554.5541882967868,0
555.6041572678095,1
557.6041572678095,0
563.4304714758501,1
563.9145375460914,2
564.4682727504974,3
565.951917619157,4
566.4304714758501,4
568.9464054056089,4
571.1854717331646,4
572.9299897711671,3
573.6964356571596,2
574.1536038736472,1
574.4304714758501,0
589.5769812775816,1
591.5769812775816,0
