Point in Time[s],State of Active Resource[]
0.11,1
0.7154965940029427,2
2.11,2
2.7154965940029427,1
3.11,0
3.254714969055869,1
4.254714969055869,0
7.705014939767738,1
9.44512410050259,2
9.705014939767738,2
9.964905779032886,1
11.705014939767738,0
14.625798055002774,1
14.728656838032716,2
15.625798055002774,2
16.52293927197283,1
18.625798055002775,0
19.70604643462449,1
20.70604643462449,0
20.73604643462449,1
21.73604643462449,0
24.256410160151617,1
24.590553479349804,2
25.401131006307462,3
26.256410160151617,3
27.92226684095343,3
28.58972331489678,4
29.182834758276414,4
29.38053857273629,3
29.410538572736293,4
30.049036153135013,5
31.59883482076734,5
31.637928714079774,6
32.32826690344436,6
32.49078313673744,7
32.89807459102169,7
33.150103766410076,7
33.25999053802218,6
36.828257957149205,5
38.305267916482826,4
39.0899540915663,5
39.82708667222318,5
40.011369817387404,4
40.649867397786124,3
41.40926256479862,4
41.60320293435298,4
41.66784972420444,3
42.612529558958904,2
44.183819087219405,3
44.65937089755022,3
44.897146802715625,2
45.13341607423523,3
46.09122532791842,3
46.57012995476002,2
48.90049961922641,1
49.25641016015162,0
49.38302228951029,1
50.63464748326901,2
51.38302228951029,2
51.94496090964414,3
52.13139709575157,3
52.22461518880529,2
53.33050261584632,3
54.03817900269785,3
54.39201719612362,2
57.08170376974849,1
58.198358643354815,2
58.38302228951029,2
58.567685935665764,1
59.10993129035106,2
61.38302228951029,2
63.65611328866952,1
64.3830222895103,0
90.02865718894203,1
92.02865718894203,0
97.09165151621903,1
97.49347766382446,2
98.82301902996609,3
99.49347766382446,3
99.82870698075365,2
100.09165151621903,2
103.02505468554278,1
103.09165151621903,0
104.02394287212685,1
106.02394287212685,0
113.6393669355778,1
115.6393669355778,0
117.51388269346312,1
120.51388269346312,0
121.00190439306003,1
122.00190439306003,0
122.61404875373114,1
124.61404875373114,0
138.52985426713354,1
140.52985426713354,0
166.24952440278412,1
169.24952440278412,0
181.70483889224278,1
182.70483889224278,0
194.29725638014517,1
195.90374495936015,2
197.29725638014517,2
197.90374495936015,1
198.29725638014517,0
219.6506789101437,1
221.6506789101437,0
223.30409476511994,1
226.30409476511994,0
253.27507578861986,1
255.27507578861986,0
259.9164126892577,1
261.9164126892577,0
264.24575302289486,1
266.7767297630145,2
267.24575302289486,2
267.71477628277523,1
268.24575302289486,0
293.03472016100693,1
294.03472016100693,0
294.82517876745806,1
296.82517876745806,0
326.0463677774436,1
329.0463677774436,0
331.37341286773324,1
332.6029422793361,2
334.20688169537624,3
334.37341286773324,3
336.14388345613037,3
337.11238433650743,2
337.57144315971317,1
338.37341286773324,0
341.40436530318254,1
343.40436530318254,0
359.8135246102659,1
362.8135246102659,0
372.4611276098527,1
375.4611276098527,0
381.8298498551278,1
383.8298498551278,0
397.2874884672208,1
397.6072059179921,2
398.2874884672208,2
398.9677710164495,1
400.2874884672208,0
422.17867499908954,1
422.8970371311476,2
423.17867499908954,2
423.46031286703146,1
424.19905882495067,2
425.17867499908954,2
426.1582911732284,1
426.17867499908954,0
448.4684600342725,1
450.4684600342725,0
459.7673522398823,1
461.7673522398823,0
472.4038259444101,1
475.4038259444101,0
476.3851775732934,1
478.3851775732934,0
490.656278102138,1
490.9403400891323,2
491.656278102138,2
492.3722161151437,1
494.656278102138,0
494.90252314695766,1
497.230191014316,2
497.90252314695766,2
498.5748552795993,1
500.90252314695766,0
501.43093671897236,1
503.43093671897236,0
505.23844481729003,1
508.23844481729003,0
517.8042121707822,1
519.8042121707822,0
524.5897686531845,1
525.5897686531845,0
526.7556678930937,1
527.7556678930937,0
534.6687556948407,1
537.14120248666,2
537.6687556948407,2
538.1963089030214,1
538.6687556948407,0
539.792171208399,1
540.792171208399,0
548.0545679485754,1
550.0545679485754,0
556.9248829591603,1
557.9248829591603,0
573.334192488262,1
576.334192488262,0
588.009348179427,1
589.009348179427,0
