Point in Time[s],Utilization of Active Resource[]
0.11,1.0
0.7154965940029427,1.0
2.11,1.0
2.7154965940029427,1.0
3.11,0.0
3.254714969055869,1.0
4.254714969055869,0.0
7.705014939767738,1.0
9.44512410050259,1.0
9.705014939767738,1.0
9.964905779032886,1.0
11.705014939767738,0.0
14.625798055002774,1.0
14.728656838032716,1.0
15.625798055002774,1.0
16.52293927197283,1.0
18.625798055002775,0.0
19.70604643462449,1.0
20.70604643462449,0.0
20.73604643462449,1.0
21.73604643462449,0.0
24.256410160151617,1.0
24.590553479349804,1.0
25.401131006307462,1.0
26.256410160151617,1.0
27.92226684095343,1.0
28.58972331489678,1.0
29.182834758276414,1.0
29.38053857273629,1.0
29.410538572736293,1.0
30.049036153135013,1.0
31.59883482076734,1.0
31.637928714079774,1.0
32.32826690344436,1.0
32.49078313673744,1.0
32.89807459102169,1.0
33.150103766410076,1.0
33.25999053802218,1.0
36.828257957149205,1.0
38.305267916482826,1.0
39.0899540915663,1.0
39.82708667222318,1.0
40.011369817387404,1.0
40.649867397786124,1.0
41.40926256479862,1.0
41.60320293435298,1.0
41.66784972420444,1.0
42.612529558958904,1.0
44.183819087219405,1.0
44.65937089755022,1.0
44.897146802715625,1.0
45.13341607423523,1.0
46.09122532791842,1.0
46.57012995476002,1.0
48.90049961922641,1.0
49.25641016015162,0.0
49.38302228951029,1.0
50.63464748326901,1.0
51.38302228951029,1.0
51.94496090964414,1.0
52.13139709575157,1.0
52.22461518880529,1.0
53.33050261584632,1.0
54.03817900269785,1.0
54.39201719612362,1.0
57.08170376974849,1.0
58.198358643354815,1.0
58.38302228951029,1.0
58.567685935665764,1.0
59.10993129035106,1.0
61.38302228951029,1.0
63.65611328866952,1.0
64.3830222895103,0.0
90.02865718894203,1.0
92.02865718894203,0.0
97.09165151621903,1.0
97.49347766382446,1.0
98.82301902996609,1.0
99.49347766382446,1.0
99.82870698075365,1.0
100.09165151621903,1.0
103.02505468554278,1.0
103.09165151621903,0.0
104.02394287212685,1.0
106.02394287212685,0.0
113.6393669355778,1.0
115.6393669355778,0.0
117.51388269346312,1.0
120.51388269346312,0.0
121.00190439306003,1.0
122.00190439306003,0.0
122.61404875373114,1.0
124.61404875373114,0.0
138.52985426713354,1.0
140.52985426713354,0.0
166.24952440278412,1.0
169.24952440278412,0.0
181.70483889224278,1.0
182.70483889224278,0.0
194.29725638014517,1.0
195.90374495936015,1.0
197.29725638014517,1.0
197.90374495936015,1.0
198.29725638014517,0.0
219.6506789101437,1.0
221.6506789101437,0.0
223.30409476511994,1.0
226.30409476511994,0.0
253.27507578861986,1.0
255.27507578861986,0.0
259.9164126892577,1.0
261.9164126892577,0.0
264.24575302289486,1.0
266.7767297630145,1.0
267.24575302289486,1.0
267.71477628277523,1.0
268.24575302289486,0.0
293.03472016100693,1.0
294.03472016100693,0.0
294.82517876745806,1.0
296.82517876745806,0.0
326.0463677774436,1.0
329.0463677774436,0.0
331.37341286773324,1.0
332.6029422793361,1.0
334.20688169537624,1.0
334.37341286773324,1.0
336.14388345613037,1.0
337.11238433650743,1.0
337.57144315971317,1.0
338.37341286773324,0.0
341.40436530318254,1.0
343.40436530318254,0.0
359.8135246102659,1.0
362.8135246102659,0.0
372.4611276098527,1.0
375.4611276098527,0.0
381.8298498551278,1.0
383.8298498551278,0.0
397.2874884672208,1.0
397.6072059179921,1.0
398.2874884672208,1.0
398.9677710164495,1.0
400.2874884672208,0.0
422.17867499908954,1.0
422.8970371311476,1.0
423.17867499908954,1.0
423.46031286703146,1.0
424.19905882495067,1.0
425.17867499908954,1.0
426.1582911732284,1.0
426.17867499908954,0.0
448.4684600342725,1.0
450.4684600342725,0.0
459.7673522398823,1.0
461.7673522398823,0.0
472.4038259444101,1.0
475.4038259444101,0.0
476.3851775732934,1.0
478.3851775732934,0.0
490.656278102138,1.0
490.9403400891323,1.0
491.656278102138,1.0
492.3722161151437,1.0
494.656278102138,0.0
494.90252314695766,1.0
497.230191014316,1.0
497.90252314695766,1.0
498.5748552795993,1.0
500.90252314695766,0.0
501.43093671897236,1.0
503.43093671897236,0.0
505.23844481729003,1.0
508.23844481729003,0.0
517.8042121707822,1.0
519.8042121707822,0.0
524.5897686531845,1.0
525.5897686531845,0.0
526.7556678930937,1.0
527.7556678930937,0.0
534.6687556948407,1.0
537.14120248666,1.0
537.6687556948407,1.0
538.1963089030214,1.0
538.6687556948407,0.0
539.792171208399,1.0
540.792171208399,0.0
548.0545679485754,1.0
550.0545679485754,0.0
556.9248829591603,1.0
557.9248829591603,0.0
573.334192488262,1.0
576.334192488262,0.0
588.009348179427,1.0
589.009348179427,0.0
