Point in Time[s],State of Active Resource[]
0.055,1
0.095,0
0.6604965940029427,1
0.7004965940029427,0
3.199714969055869,1
3.239714969055869,0
7.650014939767738,1
7.690014939767738,0
9.39012410050259,1
9.430124100502589,0
14.570798055002774,1
14.610798055002773,0
14.673656838032716,1
14.713656838032716,0
19.65104643462449,1
19.69104643462449,0
20.680026043414696,1
20.720026043414695,0
24.201410160151617,1
24.241410160151617,0
24.535553479349804,1
24.575553479349804,0
25.346131006307463,1
25.386131006307462,0
28.53472331489678,1
28.57472331489678,0
29.34591169033683,1
29.38591169033683,0
29.994036153135013,1
30.034036153135013,0
31.582928714079774,1
31.622928714079773,0
32.43578313673744,1
32.47578313673744,0
39.0349540915663,1
39.0749540915663,0
41.35426256479862,1
41.394262564798616,0
44.128819087219405,1
44.168819087219404,0
45.07841607423523,1
45.11841607423523,0
49.328022289510294,1
49.36802228951029,0
50.579647483269014,1
50.61964748326901,0
51.88996090964414,1
51.92996090964414,0
53.27550261584632,1
53.31550261584632,0
58.143358643354816,1
58.183358643354815,0
59.05493129035106,1
59.094931290351056,0
61.714909167658604,1
61.7549091676586,0
66.52164851815458,1
66.56164851815458,0
72.75671571570552,1
72.79671571570553,0
75.72449347822416,1
75.76449347822417,0
76.29516615968268,1
76.33516615968269,0
77.31409880874088,1
77.35409880874089,0
79.42516615968269,1
79.4651661596827,0
82.8354394894581,1
82.8754394894581,0
83.63749911307009,1
83.6774991130701,0
84.50538152314763,1
84.54538152314764,0
89.97365718894203,1
90.01365718894203,0
91.31341158577095,1
91.35341158577096,0
91.54720203650773,1
91.58720203650773,0
91.83874139867523,1
91.87874139867523,0
92.27804283983536,1
92.31804283983537,0
92.34804283983537,1
92.38804283983538,0
94.24965182903593,1
94.28965182903593,0
97.03665151621902,1
97.07665151621903,0
97.11217591233246,1
97.15217591233247,0
97.43847766382446,1
97.47847766382446,0
97.9091514283609,1
97.9491514283609,0
98.76801902996608,1
98.80801902996609,0
99.3656611160552,1
99.4056611160552,0
101.21005288553489,1
101.2500528855349,0
102.5896708968642,1
102.62967089686421,0
103.96894287212685,1
104.00894287212685,0
111.61477108398101,1
111.65477108398102,0
112.0183285685223,1
112.05832856852231,0
113.58436693557779,1
113.6243669355778,0
117.45888269346311,1
117.49888269346312,0
120.94690439306002,1
120.98690439306003,0
122.55904875373113,1
122.59904875373114,0
123.472355180232,1
123.512355180232,0
125.66904134902703,1
125.70904134902703,0
127.73110207126132,1
127.77110207126132,0
129.85180302859013,1
129.89180302859012,0
136.532742557448,1
136.57274255744798,0
137.4981626415888,1
137.5381626415888,0
138.47485426713357,1
138.51485426713356,0
139.25611341238792,1
139.2961134123879,0
143.58520863349776,1
143.62520863349775,0
145.4124219251027,1
145.4524219251027,0
147.08261896438125,1
147.12261896438125,0
147.84072476592846,1
147.88072476592845,0
148.46186216223907,1
148.50186216223906,0
152.87499336596466,1
152.91499336596465,0
153.1110755334946,1
153.1510755334946,0
153.23969136270017,1
153.27969136270016,0
154.0570909779125,1
154.0970909779125,0
154.14842197827133,1
154.18842197827132,0
157.06656288601556,1
157.10656288601555,0
158.2785348221511,1
158.3185348221511,0
159.05966422495402,1
159.099664224954,0
162.7569825715288,1
162.7969825715288,0
164.56799258377794,1
164.60799258377793,0
166.19452440278414,1
166.23452440278413,0
169.23815224733437,1
169.27815224733436,0
171.91328882688765,1
171.95328882688764,0
172.78967925663846,1
172.82967925663846,0
175.16118645322365,1
175.20118645322364,0
178.13638180524754,1
178.17638180524753,0
179.97681132573345,1
180.01681132573344,0
180.5337106076064,1
180.5737106076064,0
180.85947806999442,1
180.89947806999442,0
181.6498388922428,1
181.6898388922428,0
181.7823416951823,1
181.8223416951823,0
182.69341616888926,1
182.73341616888925,0
185.12007365624171,1
185.1600736562417,0
191.24831723860746,1
