Point in Time[s],State of Active Resource[]
0.0,1
0.04,0
0.6054965940029426,1
0.6454965940029427,0
3.144714969055869,1
3.184714969055869,0
7.595014939767738,1
7.635014939767738,0
9.33512410050259,1
9.375124100502589,0
14.515798055002774,1
14.555798055002773,0
14.618656838032717,1
14.658656838032716,0
19.59604643462449,1
19.63604643462449,0
20.625026043414696,1
20.665026043414695,0
24.146410160151618,1
24.186410160151617,0
24.480553479349805,1
24.520553479349804,0
25.291131006307463,1
25.331131006307462,0
28.47972331489678,1
28.51972331489678,0
29.29091169033683,1
29.33091169033683,0
29.939036153135014,1
29.979036153135013,0
31.527928714079774,1
31.567928714079773,0
32.38078313673744,1
32.42078313673744,0
38.9799540915663,1
39.0199540915663,0
41.29926256479862,1
41.33926256479862,0
44.073819087219405,1
44.113819087219404,0
45.02341607423523,1
45.06341607423523,0
49.273022289510294,1
49.31302228951029,0
50.524647483269014,1
50.56464748326901,0
51.83496090964414,1
51.87496090964414,0
53.22050261584632,1
53.26050261584632,0
58.088358643354816,1
58.128358643354815,0
58.99993129035106,1
59.039931290351056,0
61.659909167658604,1
61.6999091676586,0
66.46664851815457,1
66.50664851815458,0
72.70171571570552,1
72.74171571570552,0
75.66949347822415,1
75.70949347822416,0
76.24016615968267,1
76.28016615968268,0
77.25909880874087,1
77.29909880874088,0
79.36936624735637,1
79.40936624735637,0
82.78043948945809,1
82.8204394894581,0
83.58249911307009,1
83.62249911307009,0
84.45038152314763,1
84.49038152314763,0
89.91865718894202,1
89.95865718894203,0
91.25841158577094,1
91.29841158577095,0
91.49220203650772,1
91.53220203650773,0
91.78374139867522,1
91.82374139867522,0
92.22304283983536,1
92.26304283983536,0
92.2907191735152,1
92.3307191735152,0
94.19465182903592,1
94.23465182903593,0
96.98165151621902,1
97.02165151621902,0
97.05717591233245,1
97.09717591233246,0
97.38347766382445,1
97.42347766382446,0
97.8541514283609,1
97.8941514283609,0
98.71301902996608,1
98.75301902996608,0
99.31066111605519,1
99.35066111605519,0
101.15505288553489,1
101.19505288553489,0
102.5346708968642,1
102.5746708968642,0
103.91394287212684,1
103.95394287212685,0
111.559771083981,1
111.59977108398101,0
111.9633285685223,1
112.0033285685223,0
113.52936693557778,1
113.56936693557779,0
117.4038826934631,1
117.44388269346311,0
120.89190439306002,1
120.93190439306002,0
122.50404875373113,1
122.54404875373113,0
123.417355180232,1
123.457355180232,0
125.61404134902702,1
125.65404134902703,0
127.67610207126131,1
127.71610207126132,0
129.79680302859015,1
129.83680302859014,0
136.477742557448,1
136.517742557448,0
