cost:defaultUsageScenario;response time:defaultUsageScenario;POFOD:defaultUsageScenario;lower bound confidence(response time:defaultUsageScenario);upper bound confidence(response time:defaultUsageScenario);alpha(response time:defaultUsageScenario);StepAdjustmentDegreeImpl:StepAdjustment[TRANSIENT];ExpectedCPUUtilizationDegreeImpl:ExpectedPercentage[TRANSIENT];CooldownTimeConstraintDegreeImpl:CooldownConstraint[TRANSIENT];Util of WebServer CPU;Util of LBServer CPU;Util of DBServer CPU;Util of fastNetwork LAN;Candidate ID;
4600.0;3.602676238390218;Infinity;3.0967077671943315;4.1086447095860725;0.95;3;60.0;10.0;0.0;0.0;0.0;0.0;92;
3400.0;2.9683874100181638;Infinity;2.781509016310123;3.1552658037262082;0.95;2;43.18547968941218;20.422297318678698;0.0;0.0;0.0;0.0;93;
4400.0;5.237874573833224;Infinity;4.478479555512038;5.997269592154343;0.95;1;39.84004241393521;5.513140446497031;0.0;0.0;0.0;0.0;94;
3600.0;3.376454743153304;Infinity;3.102690454433873;3.650219031872741;0.95;1;43.71691319570433;24.74170658790807;0.0;0.0;0.0;0.0;95;
4800.0;3.5620552846181788;Infinity;3.1275229610189568;3.9965876082173812;0.95;1;30.79967587847552;7.9075122033996355;0.0;0.0;0.0;0.0;96;
4600.0;2.7861912486406384;Infinity;2.608398345891627;2.9639841513896443;0.95;3;48.51162806742035;11.99000890835668;0.0;0.0;0.0;0.0;97;
3400.0;5.951059197408269;Infinity;5.0531923494936795;6.848926045322811;0.95;1;51.80808374958781;12.640469135036236;0.0;0.0;0.0;0.0;98;
3400.0;3.129973857481576;Infinity;2.8822030264384777;3.377744688524669;0.95;3;56.25507373830307;23.84500634206042;0.0;0.0;0.0;0.0;99;
3400.0;3.0519719864927213;Infinity;2.8370988934618806;3.2668450795235566;0.95;3;86.70798227356785;20.31479976899728;0.0;0.0;0.0;0.0;100;
3400.0;2.7790694431684617;Infinity;2.579814094244387;2.9783247920925384;0.95;1;35.45648084178643;16.230999327063763;0.0;0.0;0.0;0.0;101;
3000.0;3.2665557868954287;Infinity;2.9995407920260457;3.5335707817648108;0.95;2;78.69852608691181;15.427619293232945;0.0;0.0;0.0;0.0;108;
3400.0;3.1440986400567916;Infinity;2.9226831727178753;3.365514107395709;0.95;3;48.51162806742035;16.230999327063763;0.0;0.0;0.0;0.0;115;
4400.0;2.7191307592034186;Infinity;2.5140928984407314;2.9241686199661077;0.95;1;35.45648084178643;11.99000890835668;0.0;0.0;0.0;0.0;116;
3800.0;3.082877331321715;Infinity;2.866079887218912;3.2996747754245255;0.95;4;63.53208293639698;14.270607833566883;0.0;0.0;0.0;0.0;125;
3000.0;2.8376278361433216;Infinity;2.6441126157961365;3.0311430564905066;0.95;4;85.47177441987955;12.061757443525835;0.0;0.0;0.0;0.0;126;
