Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
1.0,50
2.0,50
3.0,50
4.0,50
5.0,50
6.0,50
7.0,50
8.0,50
9.0,50
10.0,50
11.0,50
12.0,50
13.0,50
14.0,50
15.0,50
16.0,50
17.0,50
18.0,50
19.0,50
20.0,50
21.0,50
22.0,50
23.0,50
24.0,50
25.0,50
26.0,50
27.0,50
28.0,50
29.0,50
30.0,50
31.0,50
32.0,50
33.0,50
34.0,50
35.0,50
36.0,50
37.0,50
38.0,50
39.0,50
40.0,50
41.0,50
42.0,50
43.0,50
44.0,50
45.0,50
46.0,50
47.0,50
48.0,50
49.0,50
50.0,49
50.0,48
50.0,47
50.0,46
50.0,45
50.0,44
50.0,43
50.0,42
50.0,41
50.0,40
50.0,39
50.0,38
50.0,37
50.0,36
50.0,35
50.0,34
50.0,33
50.0,32
50.0,31
50.0,30
50.0,29
50.0,28
50.0,27
50.0,26
50.0,25
50.0,24
50.0,23
50.0,22
50.0,21
50.0,20
50.0,19
50.0,18
50.0,17
50.0,16
50.0,15
50.0,14
50.0,13
50.0,12
50.0,11
50.0,10
50.0,9
50.0,8
50.0,7
50.0,6
50.0,5
50.0,4
50.0,3
50.0,2
50.0,1
50.0,0
50.16666109343288,1
50.230000000000004,2
50.40783073741804,3
50.652107010671855,4
50.79465930699124,5
50.871476752741955,6
50.957112278432916,7
51.11290893818243,8
51.16666109343288,8
51.255957509529495,9
51.28408563348066,10
51.39102196717843,11
51.39213549559459,12
51.41487426881601,13
51.507809919823124,14
51.7415905858389,15
51.78046344369004,16
52.038150807375885,17
52.10332218686575,17
52.283507340837296,18
52.55731688224612,19
52.78608576508253,20
52.83976363412115,21
52.95106791158961,21
53.03994894770648,22
53.209559324234576,23
53.282919555489165,24
53.56474149263447,25
53.68750785566248,26
53.6962067343515,27
53.71738821189553,27
54.086330554606405,28
54.124460561410885,29
54.37282512083712,30
54.448070438121604,30
54.503155193021534,31
54.77001925258703,32
54.80688456993294,33
54.81955591054324,34
54.87099446604389,35
54.97214602756321,36
55.02320715639826,37
55.16338917519753,37
55.2396314716161,38
55.23991077454727,39
55.76151872997636,40
55.8644353246583,40
56.54322480844057,40
57.09384972632838,41
57.20413322080445,41
57.86191628606265,41
58.50900571795107,41
58.91526810765918,42
59.15599391998348,42
59.59937448684427,43
59.80108722424743,43
60.43903163228008,43
60.53421192923922,44
61.06027742131158,44
61.67893168648636,44
62.28148049143076,44
62.48710852568071,45
62.86959655911273,45
63.44250098560532,45
64.0033649445802,45
64.56154501010315,45
