Point in Time[s],State of Passive Resource[]
50.1272,0
50.1272,1
50.1272,2
50.1272,3
50.1272,4
50.1272,5
50.1272,6
50.1272,7
50.1272,8
50.1272,9
50.1272,10
50.1272,11
50.1272,12
50.1272,13
50.1272,14
50.1272,15
50.1272,16
50.1272,17
50.1272,18
50.1272,19
50.1272,20
50.1272,21
50.1272,22
50.1272,23
50.1272,24
50.1272,25
50.1272,26
50.1272,27
50.1272,28
50.1272,29
50.1272,30
50.1272,31
50.1272,32
50.1272,33
50.1272,34
50.1272,35
50.1272,36
50.1272,37
50.1272,38
50.1272,39
50.1272,40
50.1272,41
50.1272,42
50.1272,43
50.1272,44
50.1272,45
50.1272,46
50.1272,47
50.1272,48
50.1272,49
50.17,48
50.2,47
62.2043028085352,48
65.66564291418838,49
67.73395908644702,50
70.5033352762924,51
72.5570330901539,52
76.69614475333293,53
79.78550712352585,52
84.23061229367059,53
88.2204580901496,54
88.35986960215656,55
89.93108564598225,56
90.65316963603895,57
91.33681835453973,58
92.38288164142932,59
93.2088809512067,60
93.35264691806819,61
93.83386041970817,62
93.8383145333728,63
93.91979513741622,64
94.22004877913152,65
94.22959872662967,66
94.91470830179219,67
95.02096077991864,68
95.66517918913326,69
96.22805594236826,70
96.30444647098767,71
96.7363119235676,72
96.81643566640042,73
97.27397343207325,74
97.37327748979469,75
97.46317107424984,76
97.71645231308382,77
97.98817274371866,78
98.09980787823652,79
98.4990556225257,80
98.66110722172267,81
98.67181353395532,82
99.11973347572946,83
99.16058705444856,84
99.19156907582912,85
99.40895161387479,86
99.53059301458023,87
99.76683342491907,88
99.79793853642968,89
99.80792201691052,90
99.8334257387956,91
99.8457444841904,92
99.91510555494652,93
99.94772794281336,94
100.07875831916085,95
100.07891267078071,96
100.35199619567473,97
100.89147733185114,98
101.08097331584368,99
101.37091821667602,100
101.8861068167777,101
102.04864135318043,102
102.39069454277298,103
102.84224599728206,104
102.8705779996751,105
102.97340267820225,106
103.69754848805559,107
103.7118990434714,108
103.72992626839184,109
104.72466782390087,110
104.89676402356314,111
105.75400783770075,112
105.87909923809843,113
105.89104519455563,114
106.26587311962236,115
106.67821374368901,116
107.1632790733063,117
107.38456180850909,118
107.49943254481578,119
107.67269167686902,120
107.81912904775741,121
109.73183883102729,122
110.00757901922088,123
110.05005595616757,124
110.08604215601709,125
110.16906801059609,126
110.17757576801179,127
110.41768765729206,128
110.41851696339887,129
110.4730332359184,130
110.6226093183831,129
110.6526093183831,128
110.76912438709321,129
111.42558591145274,130
111.5522838513585,131
111.58258756282905,132
112.01890379988897,133
112.65832800265414,134
112.7232183725331,135
113.16385404569048,136
113.59085377284016,137
113.83730420348517,138
113.89603184120372,139
114.15760500726392,140
114.29422469668779,141
114.53782738925189,142
115.37434018446459,143
115.37878328606766,144
115.63469498428113,145
116.17523082644462,146
116.4040276477799,147
116.64536524392942,148
116.80560231018642,149
116.81879700183943,150
117.06635773277287,151
117.11298671702654,152
118.02320573159422,153
118.20895430155312,154
118.40690288655857,155
118.65803814912188,156
118.75363385523255,157
118.8952410873467,158
118.97854451852238,159
119.5389873103911,160
119.99229400057126,161
120.10874228122779,162
120.71886281834894,163
120.80298171077118,164
120.80757419003184,165
120.81109502787955,166
121.14025683474291,167
121.2164988160651,168
121.62384285989287,169
122.24241134060176,170
122.68844588911543,171
122.8237931735906,172
123.23702420996214,173
123.25109240120858,174
123.35407702825964,175
123.74766312846087,176
123.8603069689897,177
123.90828463192979,178
123.97656824673247,179
124.0093796917684,180
124.42117553676145,181
124.46277879148708,182
124.94768685676353,183
125.2844184777827,184
125.64278945697887,185
125.71844783682106,186
125.96270129354366,187
126.26640713847472,188
126.33438551495126,189
126.72653487318507,190
127.81017907943999,191
127.97504296652541,192
128.4279930692039,193
128.460970184253,194
128.51693114388408,195
128.57270579181915,196
128.87711569955218,197
128.98586105049785,198
129.05167841442383,199
129.13199077156617,200
129.20208909824476,201
129.47305362605485,202
129.99693417221926,203
130.19158155014279,204
130.3135079894318,205
130.3798764620789,206
130.4340755024259,207
130.44373557738157,208
130.75682753330202,209
130.78673957106997,210
130.79692015896,211
130.89364837248826,210
131.30813786006132,211
131.3351552811449,212
131.36828264811805,213
131.93777754201466,214
132.35937916976647,215
132.4952680823387,216
132.879335404939,217
133.11608750329077,218
133.67640121777572,219
133.81352121868815,220
134.42217498986255,221
134.650271160698,222
134.82755329356914,223
135.2325456145502,224
135.33036440222025,225
135.56906101218593,226
135.56974489118593,227
135.75661052007467,228
136.0877100990831,229
136.12747450062054,230
136.2759173489299,231
136.63442830535772,232
136.97033369386315,233
137.16145979353567,234
137.20183390168992,235
137.35172151656099,236
137.39915370708673,237
137.56318496566678,238
137.7061158435606,239
137.85810001196404,240
138.07561453892225,241
138.09698919803023,242
138.43819643107247,243
138.47438018194507,244
138.62875611501315,245
138.80788974753037,246
138.83164440372138,247
139.46292131368327,248
139.65488430305646,249
140.0784242444056,250
140.15703359665463,251
140.60888452105186,252
141.14165153256855,253
141.142258856315,254
141.6958133292521,255
141.77041731314353,256
142.19362209885065,257
142.23948232318395,258
142.36921205904164,259
142.8598105313876,260
142.8820349386198,261
143.0176944448122,262
143.42516536010586,263
143.91826830415954,264
144.53412101039262,265
144.62547787172525,266
144.62873277808296,267
144.76863631527493,268
144.9198773872944,269
145.59271609367443,270
145.78607118809046,271
145.80012539118778,272
145.92340906052385,273
145.98302679824,274
146.3520482724375,273
146.6253394368727,274
147.21331618107948,275
147.45343312597933,276
147.6970099216816,277
147.7962227194721,278
147.8535506505233,279
147.89244246976668,280
148.1353997178618,281
148.38146183144863,282
148.4268886970545,283
148.437273220675,284
148.4826993974496,285
148.5866503651207,286
148.82451941242462,287
148.89525766209448,288
149.01480563423453,289
149.1125534480241,290
149.26929670987042,291
149.34812598081348,292
149.57239372010997,293
149.63622181635972,294
149.6531788489007,295
149.67260701276334,296
149.68693734845985,297
149.6918397032438,298
149.75481696354174,299
149.7637819954628,300
149.8207660375919,301
150.19672436628065,302
150.32747599061474,303
150.37127516267222,304
150.8150536947467,305
150.99187460101308,306
151.15058856074793,307
151.36852809709023,308
151.57312562711198,309
151.7601640153329,310
151.81541031276433,311
151.98089806315718,312
152.61731046203283,313
152.65047874947197,314
152.79160768141273,315
152.81795486426572,316
152.84513099840697,317
152.93627896117377,316
152.94284314773228,317
153.1328127912363,318
153.43696738889165,319
153.7022094147017,320
153.73743216511716,321
153.98008216198187,322
154.12501798427482,323
154.44722963445318,324
154.60662597750436,325
155.37760010768653,326
155.65437131037365,325
155.68437131037362,324
155.7143713103736,323
155.74437131037357,322
155.77437131037354,321
155.9516225038567,322
156.03339458494386,323
156.11685631710043,324
156.4162966507546,325
156.53145087649224,326
156.6547566897487,327
157.16916109343288,326
157.19916109343285,325
157.22916109343282,324
157.44115494292342,325
157.47585843501034,326
157.58851261394122,327
157.90156872815913,328
158.02031530609756,329
158.04518648248387,330
158.10906652383528,331
158.28543569042495,332
158.3345915778537,333
158.63552825030038,334
158.9427367088007,335
159.0298094427934,336
159.17359690163588,335
159.20359690163585,334
159.28845710469938,335
159.28972528522976,336
159.44513593012277,337
160.09701968270107,338
160.2616610934328,337
160.29166109343277,336
160.39276179318418,337
160.41504178118313,338
160.53325064920216,339
160.93716408418925,340
161.22023363794065,341
161.26318346187634,342
161.32416109343274,341
161.69736906310726,342
161.8702203792669,343
161.997980594106,344
162.3566610934327,343
162.57958687963873,344
162.59801668440227,345
162.94075849273588,346
163.31342111384197,347
163.32087335752692,348
163.5622765132658,349
163.7487251228739,348
163.84930869377357,349
163.88628870807122,350
164.43570059784506,351
164.44639705569315,352
164.53018298311156,353
164.99405703556295,354
165.42597127006854,355
165.61503517302754,356
165.66466560472793,357
165.7200550264237,358
165.9512311536168,359
166.15785527931746,360
166.79865179828892,361
167.26283898740593,362
167.34974879613833,363
167.3723921343933,364
167.4314135791443,365
167.5194872713816,364
167.54948727138157,363
167.65828884571016,364
167.7058829990512,365
167.91876144863528,366
167.98133171213652,367
168.07228983570621,368
168.15950452922738,369
168.30366806265118,370
168.41619787201614,371
168.4341098890567,372
168.4924126431829,373
168.49594625002382,374
168.64647199330216,375
169.0800937362368,376
169.16600947587605,377
169.34119480336108,378
169.455643256749,379
169.76625806429246,380
169.87172638695276,381
170.13145294118706,382
170.15235870217234,383
170.199245574059,384
170.27349765188484,385
170.31903636960476,386
170.42022461290952,387
170.42147878470993,388
170.5623482537243,389
170.59705622155835,388
170.78192042657594,389
171.12282678485994,390
171.24015423661012,391
171.31791137838636,392
171.33945983162698,393
171.50103725423537,394
172.06544728243637,395
172.1760129283139,396
172.49966455519188,397
172.59061434794074,398
173.0598299939324,399
173.29971392434922,400
173.30430735659243,401
173.3901421182521,402
173.39377336498384,403
173.6088576450669,404
173.6973466869751,405
174.05162676441768,406
174.26749943822506,407
174.4486733302717,408
174.4737423760279,409
174.66583355204324,408
174.6958335520432,407
174.72583355204318,406
174.75583355204316,405
174.78583355204313,404
175.28658162374796,405
175.44337518918618,406
175.56213177823767,407
175.63322165355643,408
176.0577611965599,409
176.14587756239922,410
176.43032934586827,411
176.4942030661956,412
176.6343842404379,413
176.7014193336695,414
176.8892402521182,415
177.01467634184007,416
177.01943099774644,417
177.1008201957884,418
177.12348211251057,419
177.3343634681625,420
177.35276604658065,421
177.52679676229295,422
177.6811911332814,423
177.74716239943785,424
178.2467489935731,425
178.35744113787396,426
178.4029024120042,427
178.66849348683058,428
178.87573966099202,429
178.99464337779054,430
179.3313785352342,431
179.3557090802288,432
179.51650759794424,431
179.9216983403706,432
180.21999631846003,433
180.27975737837892,434
180.39826375141067,435
180.547639465515,436
180.66142461439307,437
180.685041151586,438
180.68832579053998,439
180.71627236160663,440
180.90644918445545,441
181.14180100813633,442
181.80177973005868,443
181.89012924362828,444
181.9451109217719,445
181.9765570910566,446
182.00411360808957,447
182.25676369925543,448
182.2854911455272,449
182.41703865737793,450
182.4722462272455,451
182.91698295093468,450
183.1332100646398,451
183.67811851112438,452
183.89264480027677,453
184.13499959358805,454
184.15708922997987,455
184.51904553947244,456
184.59258634774582,457
184.6809921515518,458
184.7016263607569,459
185.06974258544366,460
185.10315886372746,461
185.10615684272062,462
185.1524699156437,463
185.25166950239165,464
185.3754243073713,465
185.38916109343268,464
185.58816271897393,465
186.14610767701737,466
186.20534748119167,467
186.27462521395023,468
186.32154148609047,469
186.85306949493577,470
187.11908394496717,471
187.50208444220368,472
187.60060848744908,473
187.70289622603917,474
187.72546417808232,475
187.771299811656,476
188.00206328654716,477
188.3831716834842,478
188.44319443564177,477
188.44453669764061,478
188.5786396224968,479
188.63270184714366,480
188.8904530211906,481
189.05834844773312,482
189.11288094207328,483
189.3855622037002,484
189.54886978193383,485
189.62432957483566,486
189.69588800349285,487
190.33344445558652,488
190.35305568388821,489
190.4807361256937,490
190.59382482093665,491
190.609942342188,492
190.85862954044234,493
190.8855102474048,494
191.38599621835021,495
191.71208145031832,496
191.85334055053843,497
191.89457334904438,498
191.89813146136962,499
191.98330163029553,500
192.1570526805667,501
192.15902366561596,502
192.57858321577007,503
192.8342625634662,504
193.77380742279817,505
193.81626403341153,506
193.86432775654512,507
194.19116505242982,508
194.19848434774428,509
194.21195061728474,510
194.29134572244953,511
194.41909587763843,512
194.68442349669573,513
194.6866060160958,514
194.7486387939618,515
194.831639761778,516
194.96591993236012,517
195.07138193331946,518
195.13412719426066,519
195.19142847177037,520
195.30842755999427,521
195.3601718215152,522
195.54984256965508,523
195.6419847734684,524
196.11193695267332,525
196.26439889142068,524
196.29439889142066,523
196.32439889142063,522
196.3543988914206,521
196.37982325749596,522
196.38689889142057,521
196.51325834451364,522
196.6334943210253,523
196.6345391010257,524
196.74664415179342,525
196.76735705792385,526
197.02528913738928,527
197.50759112214865,528
197.7595371444139,529
197.94222941824998,530
198.52034750708134,531
198.58915808471338,532
198.62430682340258,533
198.74723430709858,534
198.98314579334638,535
199.28238162443637,536
199.34968379837326,537
199.42216760608758,538
199.42550342454143,539
199.46990209610402,540
199.62850578116,541
199.63607963527303,542
199.80941821452382,543
199.9719894766467,544
200.0175694437881,545
200.20964674065584,546
200.3666246467784,547
200.5403152644884,548
201.33178294433264,549
201.39890866223004,550
201.7151449349573,551
202.10344900850006,552
202.1899071315563,553
202.29944087458952,554
202.38749401784852,555
202.3998052249844,554
202.47217300177428,555
202.5163910119163,556
202.91328041187347,557
203.03240729115956,558
203.09427351501049,559
203.41039290091328,560
203.60268493194658,561
203.99535732419156,562
204.07055117190185,563
204.07660582723747,564
204.12916936787144,565
204.25527069111652,566
204.69570801064756,567
204.78665744101355,568
204.92463801619982,569
205.0358389066345,570
205.2763389355936,571
205.37846339796786,572
205.4208782934737,573
205.68506172154724,574
205.70718926243967,573
205.73718926243964,572
205.75069729400005,573
205.7696892624396,572
205.97766251859306,573
206.02152215262566,574
206.17576133605945,575
206.7416751996731,576
206.74761014663784,577
206.75022784909538,578
206.84594672109722,579
207.12896973064915,580
207.68663021495382,581
207.81205293506582,582
208.11626675121477,583
208.2407377061105,584
208.5084408953009,585
208.52444305976536,586
208.76794333013865,585
208.79794333013862,584
208.82889799785508,585
209.40954488417157,586
209.50856458061554,587
209.65117380383964,588
209.7548031523064,589
209.99098089567437,590
