Point in Time[s],State of Passive Resource[]
50.1272,9999
50.1272,9998
50.1272,9997
50.1272,9996
50.1272,9997
50.1272,9996
50.1272,9995
50.1272,9994
50.1272,9993
50.1272,9992
50.1272,9991
50.1272,9990
50.1272,9989
50.1272,9988
50.1272,9987
50.1272,9986
50.1272,9985
50.1272,9984
50.1272,9983
50.1272,9982
50.1272,9981
50.1272,9980
50.1272,9979
50.1272,9978
50.1272,9977
50.1272,9976
50.1272,9975
50.1272,9974
50.1272,9973
50.1272,9972
50.1272,9971
50.1272,9970
50.1272,9969
50.1272,9968
50.1272,9967
50.1272,9966
50.1272,9965
50.1272,9964
50.1272,9963
50.1272,9962
50.1272,9961
50.1272,9960
50.1272,9959
50.1272,9958
50.1272,9957
50.1272,9956
50.1272,9955
50.1272,9954
50.1272,9953
50.1272,9952
50.1272,9951
50.17,9952
50.2,9953
62.2043028085352,9952
65.66564291418838,9951
67.73395908644702,9950
70.5033352762924,9949
72.5570330901539,9948
76.69614475333293,9947
79.78550712352585,9948
84.23061229367059,9947
88.2204580901496,9946
88.35986960215656,9945
89.93108564598225,9944
90.65316963603895,9943
91.33681835453973,9942
92.38288164142932,9941
93.2088809512067,9940
93.35264691806819,9939
93.83386041970817,9938
93.8383145333728,9937
93.91979513741622,9936
94.22004877913152,9935
94.22959872662967,9934
94.91470830179219,9933
95.02096077991864,9932
95.66517918913326,9931
96.22805594236826,9930
96.30444647098767,9929
96.7363119235676,9928
96.81643566640042,9927
97.27397343207325,9926
97.37327748979469,9925
97.46317107424984,9924
97.71645231308382,9923
97.98817274371866,9922
98.09980787823652,9921
98.4990556225257,9920
98.66110722172267,9919
98.67181353395532,9918
99.11973347572946,9917
99.16058705444856,9916
99.19156907582912,9915
99.40895161387479,9914
99.53059301458023,9913
99.76683342491907,9912
99.79793853642968,9911
99.80792201691052,9910
99.8334257387956,9909
99.8457444841904,9908
99.91510555494652,9907
99.94772794281336,9906
100.07875831916085,9905
100.07891267078071,9904
100.35199619567473,9903
100.89147733185114,9902
101.08097331584368,9901
101.37091821667602,9900
101.8861068167777,9899
102.04864135318043,9898
102.39069454277298,9897
102.84224599728206,9896
102.8705779996751,9895
102.97340267820225,9894
103.69754848805559,9893
103.7118990434714,9892
103.72992626839184,9891
104.72466782390087,9890
104.89676402356314,9889
105.75400783770075,9888
105.87909923809843,9887
105.89104519455563,9886
106.26587311962236,9885
106.67821374368901,9884
107.1632790733063,9883
107.38456180850909,9882
107.49943254481578,9881
107.67269167686902,9880
107.81912904775741,9879
109.73183883102729,9878
110.00757901922088,9877
110.05005595616757,9876
110.08604215601709,9875
110.16906801059609,9874
110.17757576801179,9873
110.41768765729206,9872
110.41851696339887,9871
110.4730332359184,9870
110.6226093183831,9871
110.6526093183831,9872
110.76912438709321,9871
111.42558591145274,9870
111.5522838513585,9869
111.58258756282905,9868
112.01890379988897,9867
112.65832800265414,9866
112.7232183725331,9865
113.16385404569048,9864
113.59085377284016,9863
113.83730420348517,9862
113.89603184120372,9861
114.15760500726392,9860
114.29422469668779,9859
114.53782738925189,9858
115.37434018446459,9857
115.37878328606766,9856
115.63469498428113,9855
116.17523082644462,9854
116.4040276477799,9853
116.64536524392942,9852
116.80560231018642,9851
116.81879700183943,9850
117.06635773277287,9849
117.11298671702654,9848
118.02320573159422,9847
118.20895430155312,9846
118.40690288655857,9845
118.65803814912188,9844
118.75363385523255,9843
118.8952410873467,9842
118.97854451852238,9841
119.5389873103911,9840
119.99229400057126,9839
120.10874228122779,9838
120.71886281834894,9837
120.80298171077118,9836
120.80757419003184,9835
120.81109502787955,9834
121.14025683474291,9833
121.2164988160651,9832
121.62384285989287,9831
122.24241134060176,9830
122.68844588911543,9829
122.8237931735906,9828
123.23702420996214,9827
123.25109240120858,9826
123.35407702825964,9825
123.74766312846087,9824
123.8603069689897,9823
123.90828463192979,9822
123.97656824673247,9821
124.0093796917684,9820
124.42117553676145,9819
124.46277879148708,9818
124.94768685676353,9817
125.2844184777827,9816
125.64278945697887,9815
125.71844783682106,9814
125.96270129354366,9813
126.26640713847472,9812
126.33438551495126,9811
126.72653487318507,9810
127.81017907943999,9809
127.97504296652541,9808
128.4279930692039,9807
128.460970184253,9806
128.51693114388408,9805
128.57270579181915,9804
128.87711569955218,9803
128.98586105049785,9802
129.05167841442383,9801
129.13199077156617,9800
129.20208909824476,9799
129.47305362605485,9798
129.99693417221926,9797
130.19158155014279,9796
130.3135079894318,9795
130.3798764620789,9794
130.4340755024259,9793
130.44373557738157,9792
130.75682753330202,9791
130.78673957106997,9790
130.79692015896,9789
130.89364837248826,9790
131.30813786006132,9789
131.3351552811449,9788
131.36828264811805,9787
131.93777754201466,9786
132.35937916976647,9785
132.4952680823387,9784
132.879335404939,9783
133.11608750329077,9782
133.67640121777572,9781
133.81352121868815,9780
134.42217498986255,9779
134.650271160698,9778
134.82755329356914,9777
135.2325456145502,9776
135.33036440222025,9775
135.56906101218593,9774
135.56974489118593,9773
135.75661052007467,9772
