Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
0.03,51
1.0,51
2.0,51
3.0,51
4.0,51
5.0,51
6.0,51
7.0,51
8.0,51
9.0,51
10.0,51
11.0,51
12.0,51
13.0,51
14.0,51
15.0,51
16.0,51
17.0,51
18.0,51
19.0,51
20.0,51
21.0,51
22.0,51
23.0,51
24.0,51
25.0,51
26.0,51
27.0,51
28.0,51
29.0,51
30.0,51
31.0,51
32.0,51
33.0,51
34.0,51
35.0,51
36.0,51
37.0,51
38.0,51
39.0,51
40.0,51
41.0,51
42.0,51
43.0,51
44.0,51
45.0,51
46.0,51
47.0,51
48.0,51
49.0,51
50.0,51
50.9994,50
50.9994,49
50.9994,48
50.9994,47
50.9994,46
50.9994,45
50.9994,44
50.9994,43
50.9994,42
50.9994,41
50.9994,40
50.9994,39
50.9994,38
50.9994,37
50.9994,36
50.9994,35
50.9994,34
50.9994,33
50.9994,32
50.9994,31
50.9994,30
50.9994,29
50.9994,28
50.9994,27
50.9994,26
50.9994,25
50.9994,24
50.9994,23
50.9994,22
50.9994,21
50.9994,20
50.9994,19
50.9994,18
50.9994,17
50.9994,16
50.9994,15
50.9994,14
50.9994,13
50.9994,12
50.9994,11
50.9994,10
50.9994,9
50.9994,8
50.9994,7
50.9994,6
50.9994,5
50.9994,4
50.9994,3
50.9994,2
50.9994,1
51.0,0
51.1869,1
51.409072606657055,2
51.425947839718845,3
51.6540217002085,4
51.6587467176764,5
51.79171084871644,6
51.906856238982606,7
51.94051121586509,8
51.972612614525254,9
52.04569556471535,10
52.050300045734105,11
52.05678065866247,12
52.09175481485186,13
52.1869,13
52.18873865172958,14
52.464765255481794,15
52.71610930882257,16
52.87731250275681,17
52.96472739334295,17
53.12204021562065,18
53.3896113027179,19
53.46866676828574,20
53.54374383789772,21
53.63521801652783,22
53.734117170155,22
53.79047885821261,23
53.93031316033617,24
54.02857181013092,25
54.17075572651108,26
54.41881825518131,27
54.42748232680383,27
54.68288433906203,28
55.11966622908569,28
55.13403109329532,29
55.2602869716734,30
55.707177599327416,31
55.78152966301252,32
55.78525730515954,32
56.17257433691185,33
56.43165748285569,33
57.073249806711495,33
57.29740486027588,34
57.65886180708454,35
57.710829455734775,35
58.340288776959156,35
58.72097713369316,36
58.832613276806,37
58.96928765008166,37
59.59769737657432,37
60.223192590051184,37
60.246494059974324,38
60.84122750838362,38
61.20652237405796,39
61.43954624073375,39
61.66458824246127,40
61.93968108662662,41
62.021108702861156,41
62.59259596536768,41
63.02631860202681,42
63.14968748005868,42
