Point in Time[s],Utilization of Active Resource[]
0.0,1.0
0.015,0.0
0.015,1.0
0.03,0.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
51.0,1.0
51.0019,1.0
51.004400000000004,1.0
51.0069,1.0
51.0094,1.0
51.011900000000004,1.0
51.0144,1.0
51.0169,1.0
51.019400000000005,1.0
51.0219,1.0
51.0244,1.0
51.026900000000005,1.0
51.0294,1.0
51.0319,1.0
51.0344,1.0
51.0369,1.0
51.0394,1.0
51.0419,1.0
51.0444,1.0
51.0469,1.0
51.0494,1.0
51.0519,1.0
51.0544,1.0
51.0569,1.0
51.059400000000004,1.0
51.0619,1.0
51.0644,1.0
51.066900000000004,1.0
51.0694,1.0
51.0719,1.0
51.074400000000004,1.0
51.0769,1.0
51.0794,1.0
51.081900000000005,1.0
51.0844,1.0
51.0869,1.0
51.089400000000005,1.0
51.0919,1.0
51.0944,1.0
51.0969,1.0
51.0994,1.0
51.1019,1.0
51.1044,1.0
51.1069,1.0
51.1094,1.0
51.1119,1.0
51.1144,1.0
51.1169,1.0
51.1194,1.0
51.121900000000004,1.0
51.1244,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126912000000004,1.0
51.1419,0.0
51.1419,1.0
51.1569,0.0
51.1569,1.0
51.1719,0.0
51.1719,1.0
51.1869,0.0
61.64058529006983,1.0
61.64308529006983,0.0
65.7131695224176,1.0
65.7156695224176,0.0
66.8615374919233,1.0
66.8640374919233,0.0
67.1637983926932,1.0
67.1662983926932,0.0
67.49011790433266,1.0
67.49261790433266,0.0
68.59485159944646,1.0
68.59735159944645,0.0
69.84565291498868,1.0
69.84815291498867,0.0
70.50000396421247,1.0
70.50250396421247,0.0
70.89587122733394,1.0
70.89837122733394,0.0
72.53974729481367,1.0
72.54224729481366,0.0
73.77105386403859,1.0
73.77355386403859,0.0
73.77355386403859,1.0
73.78855386403859,0.0
73.78855386403859,1.0
73.80355386403859,0.0
73.97551150876396,1.0
73.97801150876396,0.0
75.90393417435789,1.0
75.90643417435788,0.0
76.47120073887581,1.0
76.4737007388758,0.0
76.78186887999165,1.0
76.78436887999165,0.0
81.32012834965239,1.0
81.32262834965239,0.0
81.45890680143312,1.0
81.46140680143311,0.0
82.98388855225873,1.0
82.98638855225873,0.0
83.97902373259883,1.0
