Point in Time[s],Number of Resource Containers[]
60.223192590051184,2
70.61783799608628,3
81.03299019627649,4
91.07819859369762,5
101.34954253985481,6
112.64330658713787,7
123.95452773520594,8
133.98058745831955,9
144.06560651601038,10
155.17811686929974,11
165.7884740071141,12
176.22628353074174,13
186.5252978097142,14
196.92061686929907,15
207.2921817080898,16
217.35503511241444,17
227.6030550406306,18
237.79555504063043,19
248.01805504063023,20
258.30555504063,21
278.44877923884263,22
288.8385448455682,23
299.0284498930276,24
309.4438019384241,25
320.1885621973092,26
330.323262023728,27
340.5812496742591,28
350.6734562965497,29
361.1084562965493,30
371.19911279303125,31
391.8559562965486,32
