Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
51.1569,48
61.64308529006983,49
65.7156695224176,50
66.8640374919233,51
67.1662983926932,52
67.49261790433266,53
68.59735159944645,54
69.84815291498867,55
70.50250396421247,56
70.89837122733394,57
72.54224729481366,58
73.77355386403859,57
73.97801150876396,58
75.90643417435788,59
76.4737007388758,60
76.78436887999165,61
81.32262834965239,62
81.46140680143311,63
82.98638855225873,64
83.98152373259883,65
84.36965409301997,66
84.52867793784905,67
87.04851884473906,68
87.79076200036485,69
87.80736563491342,70
87.84273719251172,71
88.29797367858816,72
88.80668858123359,73
88.98622871945608,74
89.65523251116292,75
89.79224645131922,76
89.81445675786448,77
89.98936845877375,78
90.14987545207458,79
90.46656823623168,80
90.48406526410294,81
90.50586368940743,82
90.61078615797561,83
90.79689760688782,84
90.87189648803101,85
91.54001590782369,86
91.55582175900959,87
91.62628747319202,88
91.99103693350848,89
92.13887732822943,90
92.4814341153397,91
92.96814443141606,92
93.04597122985629,93
93.45972258293529,94
93.4611914244277,95
93.59541806097104,96
93.7155413723502,97
93.85057468366132,98
94.06229401323147,99
94.23860682895248,100
94.35324192037969,101
94.50680055007027,102
94.57522997084386,103
94.75487036104894,104
95.00915621960074,105
95.31634016934416,106
95.41196582159475,107
95.51645344508006,108
95.60985556055459,109
95.85906959294815,110
95.9118355736279,111
96.16845864087433,112
96.38439569821986,113
96.50987669635273,114
96.86816772851871,115
96.96257521777693,116
97.08078946193557,117
97.25315910356365,118
97.41251570907853,119
97.6573663535231,120
97.71318442507952,121
97.92972581187936,122
98.37703678884665,123
98.81765462772539,124
98.8797135444333,125
99.01732436523453,126
99.09709609582778,127
99.12736150290067,128
99.29248706429154,129
99.41739162440925,130
99.52491181341293,131
99.90832431388822,132
99.96895431122753,133
100.02585852099575,134
101.01499277749346,135
101.26382926400126,136
101.63322868888675,137
101.63369211681507,138
102.87067873210492,139
102.90119767354459,140
102.9500945955873,141
102.9637293749519,140
103.05346507437412,141
103.41946619919831,142
103.47405453639733,143
103.83886678397224,144
103.90515034463041,145
104.15567023783049,146
104.88781732107542,147
104.89209703892475,148
105.42756863473106,149
106.02962368065347,150
106.51564129919343,151
106.85250632536388,152
107.31946878295932,153
107.58938205931183,154
107.6040092062567,155
107.84973211487137,156
107.90483649376218,157
108.12569136378552,158
108.26804366598815,159
108.43964365482093,160
108.54234080134746,161
108.73769881073117,162
108.8892059083678,163
108.98108722027222,164
109.04705143056347,165
109.08664831181949,166
109.09011607306267,167
109.1791235158711,168
109.25419828693097,169
109.46693091674673,170
109.8669434106844,171
109.88539246324977,172
110.27575808182654,173
110.38262524513895,174
110.40457852559722,175
110.54479760579883,176
110.63472202016233,177
110.67856826553549,178
110.7075298697664,179
110.79409343239024,180
110.87896278227285,181
110.94138846972106,182
110.94909556929089,183
110.96490557380136,184
111.91984919660152,185
112.13328634948044,186
112.14947669098001,187
112.2258852423089,188
112.27068192399291,189
112.64136500657588,190
112.64580658713787,191
112.93176929957443,192
113.17456962581844,193
113.7318629882964,192
113.76223046341448,191
113.76649551317831,192
113.7943629882964,191
113.8243629882964,190
113.8543629882964,189
113.92497011375144,190
113.99509007532748,191
114.2193539298122,192
114.49068278906424,193
114.56936828214332,194
114.5860472726448,195
114.7050197909463,196
114.73387332618303,197
115.32239858221939,198
115.40203328951844,199
115.66206143407976,200
115.7338066176885,201
115.73774657687021,202
116.01561218636223,203
116.301457043582,204
116.66597140776183,205
116.90222909128128,206
117.09353862241416,207
117.20458574295232,208
117.45930029290334,209
117.60456592076234,210
117.76688639506429,211
117.77234812436203,212
118.09385918011967,213
118.1048025775363,214
118.19806481700431,215
118.38581582294685,216
118.59396150547597,217
118.72541481575813,218
118.81795877818908,219
118.9430922725288,220
119.08682178266862,221
119.28408413900758,222
119.53445191513056,223
119.7000910083502,224
120.36534213595132,225
120.49404019828555,226
120.59184256160977,227
120.66997878984108,228
121.06118768333087,229
121.0946140566938,230
121.37786089863414,231
121.38560484309261,232
121.4351483272146,233
121.4460455584794,234
121.4638436745439,235
121.47935751185445,236
121.7934111670639,237
122.1091550098104,238
122.20493900749983,239
122.47376504911045,238
122.50376504911046,237
122.63716154107239,238
122.70263320597984,239
122.88401497368945,240
123.4968516255936,241
124.01024071185091,242
124.14794822352513,243
124.15066755887511,244
124.32656567731975,245
124.61230733618297,246
124.71556565369737,247
125.06054039860787,248
125.18425483880537,249
125.32294991152605,250
125.36463959425713,251
125.61611136061823,252
125.6282453166125,253
125.95712870683218,254
126.0034556086128,255
126.02075677286045,256
126.10001769390897,257
126.4643240768744,258
126.61719794471148,259
126.69647988339531,260
127.19481957962468,261
127.26531157359713,262
127.2701540517788,263
127.3020356309869,264
127.64193784690414,265
127.79392235626847,266
127.82088084517441,267
128.07625368426196,268
128.5078247638057,269
128.5836875142331,270
128.63491423759223,271
128.7747846929821,272
129.1779700786342,273
129.4723353049216,274
129.75833061826967,275
129.81774198502364,276
130.4571605276096,277
130.7011956713692,278
130.71560167065837,279
130.9016183157114,278
131.12230465036302,279
131.24676730869788,280
131.34518899149705,281
131.4207703449376,282
131.53362179260728,283
131.65280598071905,284
131.73043446664883,285
132.11805607618217,286
132.26597156636157,287
132.29380888724486,288
132.30253688867282,289
132.6449074743766,290
133.15770666030377,291
133.90870547862608,292
133.93726709497417,293
133.98308745831955,294
134.0219953214078,295
134.03682762810257,296
134.11687853460987,297
134.55405367600932,298
134.55771707392637,299
134.5635130985829,300
134.61570752431078,301
134.7499795796113,302
134.75101891482632,303
134.8017933980303,304
134.8899801459466,305
134.97854869517883,306
135.03960989453765,307
135.41756981784724,308
135.45250930045998,309
135.939750528931,310
136.64727601036552,311
136.7136998182846,312
136.73060398693633,313
136.8503901734137,314
136.85105828569883,315
136.8817565471288,316
136.9234901983032,315
137.0769444091709,316
137.0865703770541,317
137.22161825002178,318
137.36470624626253,319
137.4469593717765,320
137.49068578618702,321
137.71540486417928,322
137.81929203495966,323
138.10844435108385,324
138.15787903821,325
138.40584729253743,326
138.70981981467074,327
138.80765914823274,328
139.2074226959454,329
139.59126673299917,330
139.6323878377743,331
139.8415057854914,332
139.8462221034465,333
140.07864249716846,334
140.2670696788145,335
140.66580514291556,336
140.82705337088092,337
140.9267554070429,338
140.95291786842287,339
140.96796092200677,340
141.02451253621905,341
141.10675371048262,342
141.12382735882545,343
141.1552187356754,344
141.20890179148563,345
141.2280881824343,346
141.33945087041403,347
141.42060496124492,348
141.47349617779844,347
141.5034961777984,346
141.53349617779838,345
141.56349617779836,344
141.59128267955742,345
141.59599617779833,344
141.94518369952854,345
142.10859818220703,346
142.1353228821306,347
142.1513528719083,348
142.27708724379056,349
142.84257417386198,350
142.88131206093104,351
142.97159165464072,352
143.034355169005,353
143.21031889956546,354
143.25929215983018,355
143.26006009992022,356
143.32914644116363,357
143.38426571812562,358
143.6409490201162,359
