Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
51.1569,9952
61.64308529006983,9951
65.7156695224176,9950
66.8640374919233,9949
67.1662983926932,9948
67.49261790433266,9947
68.59735159944645,9946
69.84815291498867,9945
70.50250396421247,9944
70.89837122733394,9943
72.54224729481366,9942
73.77355386403859,9943
73.97801150876396,9942
75.90643417435788,9941
76.4737007388758,9940
76.78436887999165,9939
81.32262834965239,9938
81.46140680143311,9937
82.98638855225873,9936
83.98152373259883,9935
84.36965409301997,9934
84.52867793784905,9933
87.04851884473906,9932
87.79076200036485,9931
87.80736563491342,9930
87.84273719251172,9929
88.29797367858816,9928
88.80668858123359,9927
88.98622871945608,9926
89.65523251116292,9925
89.79224645131922,9924
89.81445675786448,9923
89.98936845877375,9922
90.14987545207458,9921
90.46656823623168,9920
90.48406526410294,9919
90.50586368940743,9918
90.61078615797561,9917
90.79689760688782,9916
90.87189648803101,9915
91.54001590782369,9914
91.55582175900959,9913
91.62628747319202,9912
91.99103693350848,9911
92.13887732822943,9910
92.4814341153397,9909
92.96814443141606,9908
93.04597122985629,9907
93.45972258293529,9906
93.4611914244277,9905
93.59541806097104,9904
93.7155413723502,9903
93.85057468366132,9902
94.06229401323147,9901
94.23860682895248,9900
94.35324192037969,9899
94.50680055007027,9898
94.57522997084386,9897
94.75487036104894,9896
95.00915621960074,9895
95.31634016934416,9894
95.41196582159475,9893
95.51645344508006,9892
95.60985556055459,9891
95.85906959294815,9890
95.9118355736279,9889
96.16845864087433,9888
96.38439569821986,9887
96.50987669635273,9886
96.86816772851871,9885
96.96257521777693,9884
97.08078946193557,9883
97.25315910356365,9882
97.41251570907853,9881
97.6573663535231,9880
97.71318442507952,9879
97.92972581187936,9878
98.37703678884665,9877
98.81765462772539,9876
98.8797135444333,9875
99.01732436523453,9874
99.09709609582778,9873
99.12736150290067,9872
99.29248706429154,9871
99.41739162440925,9870
99.52491181341293,9869
99.90832431388822,9868
99.96895431122753,9867
100.02585852099575,9866
101.01499277749346,9865
101.26382926400126,9864
101.63322868888675,9863
101.63369211681507,9862
102.87067873210492,9861
102.90119767354459,9860
102.9500945955873,9859
102.9637293749519,9860
103.05346507437412,9859
103.41946619919831,9858
103.47405453639733,9857
103.83886678397224,9856
103.90515034463041,9855
104.15567023783049,9854
104.88781732107542,9853
