Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
51.1569,48
62.251484647680115,49
62.64333907239292,50
66.79207266511843,51
69.63084340273375,52
72.81043477348953,53
74.49421256711075,52
74.52421256711075,51
81.99211930800621,52
83.73338069517307,53
84.26886425453074,54
87.03659498949763,55
89.10373383919816,56
90.47918089755362,57
90.91357823676982,58
91.2436419513057,59
91.86406118109166,60
91.9146300260708,61
92.48785713096837,62
92.7498310243879,63
93.07224012282435,64
93.28941391663525,65
93.87335673284836,66
93.99039610885285,67
94.02385521304326,68
94.04756578094216,69
95.36715577039246,70
95.43161600501607,71
95.46473248905895,72
95.55620096260286,73
95.58617901835393,74
95.6063401889126,75
95.63386681222917,76
95.79934785019324,77
95.9557615096424,78
96.61106895560356,79
97.45023807003928,80
97.67596108245381,81
98.0142684269757,82
98.37461306197,83
98.52911499214173,84
98.8489631275573,85
99.24214059581834,86
99.42555073590394,87
99.499520862539,88
99.77889140951046,89
99.85419875034145,90
100.04812995431814,91
100.12931185807204,92
100.2772048602327,93
100.3260299841798,94
100.42759698864384,95
100.58657142478204,96
100.70803857685193,97
100.71114911126895,98
100.72789086405686,99
101.08087338989328,100
101.21445419797722,101
101.47179583677413,102
101.55801072166703,103
101.56342506352141,104
101.57866030358532,105
101.61666415552459,106
101.6978732625807,107
101.73005511589989,108
102.02505177399208,109
102.36745501234499,110
102.49337855138846,111
102.81009239866896,112
102.93902785406661,113
103.10500397827117,114
104.11718753512238,115
104.30711561263044,116
104.37664247270845,117
104.51487093135182,118
104.80931586821752,119
107.45229333063575,120
107.47317408224312,121
107.77302501901502,120
108.30921623335183,121
108.807877660671,122
109.48728753756379,123
109.53737715255637,124
110.35978600993835,125
110.43049171801137,126
110.604120256714,127
110.92906918897937,128
110.95508615994981,129
111.06411116351296,130
111.18174648633847,131
111.34152961953038,132
111.52733961479099,133
111.67922346251785,134
111.78882379256994,135
111.91636977432874,136
111.97892910870114,137
112.28485456756871,138
112.53729492612551,139
112.57109764331567,140
112.64651575822195,141
113.0421842853328,142
113.53755132914924,143
113.91698841292434,144
114.2627956678317,145
114.42215786418778,146
114.55381453554836,147
114.94086332615753,148
115.00913683436538,149
115.0511303921195,150
115.2630903354386,151
115.39118297246745,152
115.83497743874966,153
115.9879102017595,154
116.03650005452144,155
116.8221674232986,156
116.92594656666324,157
117.0636290206854,158
117.23155625757009,159
117.47111824029479,160
117.5368985279183,161
117.80087227921898,162
117.8280893497408,163
118.36429222376955,164
118.70762353719964,165
118.7476540147233,164
118.7776540147233,163
118.90630464617034,164
118.98348338662892,165
119.12776262798985,166
119.14982256700483,167
119.4627764475212,168
120.12450825385999,169
120.1894,168
120.21940000000001,167
120.24940000000001,166
120.2794293265489,167
120.28190000000001,166
120.31190000000001,165
120.8195321007893,166
120.95434270182349,167
121.29191550120237,168
121.33945764955665,169
121.6429267148275,168
121.6729267148275,167
122.47634336834105,168
123.09616115683045,169
123.3173578189391,170
123.36165147522645,171
123.41886624471766,172
123.43038574574982,173
123.54684627702929,174
124.31564879793333,173
124.74589024124009,174
125.47765949396805,175
126.15403279656462,176
126.53871864875413,177
127.00268414684247,178
127.5914872376672,179
128.1121220341135,180
128.15211810800793,181
128.38599039181452,182
128.89792867257535,183
129.003306593009,184
129.1179344313628,185
129.38525392375286,186
129.4738355963738,187
129.74470002888108,188
129.7987830668135,187
129.81572452841354,188
129.85317610920197,189
130.2207773389565,190
130.3285061517357,191
130.6557237080471,192
131.01151670378846,193
131.1767557558161,194
131.21342049876864,195
131.26892122056412,196
131.4595458746967,197
131.49727377787147,198
131.59098276878575,199
131.6433683987622,200
131.6954890944333,201
132.34160021832076,202
132.37440281516658,203
133.49879408851007,204
133.6193440042502,203
134.3134360931174,204
134.79670477768067,205
135.3386106173837,206
135.45169866475715,207
135.5961900054174,208
135.8336031545771,209
135.95771226250804,210
136.05658959107177,211
136.2213087286721,212
136.2291366030403,213
136.59453712098377,214
136.63515969683215,215
136.7025857140925,216
136.89317109629417,217
137.2141454610759,218
137.34691898394456,219
137.36564108624594,220
137.45212484172828,221
138.25709368731697,222
138.49660437760338,223
138.76775691621094,224
138.78279532466283,225
139.31522506699727,226
140.38355784278409,227
140.8936898706774,228
141.02344260595493,229
141.4997807796116,230
143.12384986865735,231
143.1343030812702,232
143.15326382021425,231
143.18326382021422,230
143.64216155499238,231
143.80439713737795,232
144.07167579448154,233
144.08720345312034,234
144.24591892365177,235
144.6580325842975,236
144.67787220750378,237
144.80613873316736,238
145.09088267662898,239
145.376784706285,240
145.6228521520336,241
146.26617146006998,242
146.33010594842105,243
146.36970667786827,244
146.87275904427605,245
147.0757828227502,246
147.19405699676693,247
147.42887395085046,248
147.48489124039355,249
147.542767064116,250
147.64484352283984,251
147.65377937060552,252
147.7148596707744,253
147.91383219711392,254
148.2655536991517,255
148.38519998637042,256
148.54567649481496,257
148.9964601307992,258
149.24063301230018,259
149.499650239002,260
149.53428685876415,261
149.86169740036635,262
150.0117186231198,263
150.02956974779988,264
150.12269939933248,265
150.1439891013457,266
150.73065375073543,267
150.75770061408627,268
151.22535104817925,269
151.248537608566,270
151.25741048945287,271
151.3021668635015,272
151.38783929250337,273
152.08253018620331,274
152.15198141808645,275
152.15629154142482,276
152.24889923951358,277
152.84652705920783,278
152.98351455559006,279
153.11702548526512,280
153.50521164075863,279
153.60979765723616,280
153.776342207288,281
153.97918242184704,282
154.14328508884975,283
154.28017939910865,284
154.31658751778866,285
154.54291779599367,286
154.54897901510856,287
154.95040018606824,288
155.03744351608208,289
155.13162416613588,290
155.45684891371334,291
155.82533510650967,292
155.87285106447388,293
156.35087603126343,294
156.41807803616365,295
156.94956339516716,296
156.99239017052875,297
157.130830606393,298
157.72594394546113,299
157.77186831180998,300
158.41071748344262,301
158.48230950378345,302
158.57418471817215,303
159.04532672507708,304
159.46870408919136,305
159.64364426769419,306
159.67734784314825,307
159.91025759892008,308
159.9702357950844,309
160.00101485376507,310
160.07919618056894,311
160.64051191618478,312
161.03765514810706,313
161.0705480268001,314
161.16355748715202,315
161.1801447214884,316
161.1853922084064,317
161.7387196098319,318
161.7406650940633,319
161.74577397217107,320
162.71984700968594,321
162.7239372974697,322
162.8187977657928,323
162.8549969164918,324
162.8973027993079,325
162.93747820858852,326
163.02897854771092,325
163.0589785477109,324
163.08897854771087,323
163.18456971280582,324
163.24974766912885,325
163.33292396228097,326
163.57680208331067,327
163.77124646886602,328
164.22119169774228,329
164.45548325418056,330
164.71830557666777,331
165.23120521417408,332
165.2394517950762,333
165.55878606069,334
165.69860801736138,335
165.7862730267552,336
166.14910006715536,337
166.19837031594412,338
166.2910696543752,339
166.58195747040276,340
166.92340832655054,341
167.21856747338447,342
167.35120591499916,343
167.45767356969873,344
167.68835756372806,345
167.89034949985955,346
168.03686755636537,347
168.122171617418,348
168.15485219876214,349
168.3961074386654,350
