Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
51.1569,9952
62.251484647680115,9951
62.64333907239292,9950
66.79207266511843,9949
69.63084340273375,9948
72.81043477348953,9947
74.49421256711075,9948
74.52421256711075,9949
81.99211930800621,9948
83.73338069517307,9947
84.26886425453074,9946
87.03659498949763,9945
89.10373383919816,9944
90.47918089755362,9943
90.91357823676982,9942
91.2436419513057,9941
91.86406118109166,9940
91.9146300260708,9939
92.48785713096837,9938
92.7498310243879,9937
93.07224012282435,9936
93.28941391663525,9935
93.87335673284836,9934
93.99039610885285,9933
94.02385521304326,9932
94.04756578094216,9931
95.36715577039246,9930
95.43161600501607,9929
95.46473248905895,9928
95.55620096260286,9927
95.58617901835393,9926
95.6063401889126,9925
95.63386681222917,9924
95.79934785019324,9923
95.9557615096424,9922
96.61106895560356,9921
97.45023807003928,9920
97.67596108245381,9919
98.0142684269757,9918
98.37461306197,9917
98.52911499214173,9916
98.8489631275573,9915
99.24214059581834,9914
99.42555073590394,9913
99.499520862539,9912
99.77889140951046,9911
99.85419875034145,9910
100.04812995431814,9909
100.12931185807204,9908
100.2772048602327,9907
100.3260299841798,9906
100.42759698864384,9905
100.58657142478204,9904
100.70803857685193,9903
100.71114911126895,9902
100.72789086405686,9901
101.08087338989328,9900
101.21445419797722,9899
101.47179583677413,9898
101.55801072166703,9897
101.56342506352141,9896
101.57866030358532,9895
101.61666415552459,9894
101.6978732625807,9893
101.73005511589989,9892
102.02505177399208,9891
102.36745501234499,9890
102.49337855138846,9889
102.81009239866896,9888
102.93902785406661,9887
103.10500397827117,9886
104.11718753512238,9885
104.30711561263044,9884
104.37664247270845,9883
104.51487093135182,9882
104.80931586821752,9881
107.45229333063575,9880
107.47317408224312,9879
107.77302501901502,9880
108.30921623335183,9879
108.807877660671,9878
109.48728753756379,9877
109.53737715255637,9876
110.35978600993835,9875
110.43049171801137,9874
110.604120256714,9873
110.92906918897937,9872
110.95508615994981,9871
111.06411116351296,9870
111.18174648633847,9869
111.34152961953038,9868
111.52733961479099,9867
111.67922346251785,9866
111.78882379256994,9865
111.91636977432874,9864
111.97892910870114,9863
112.28485456756871,9862
112.53729492612551,9861
112.57109764331567,9860
112.64651575822195,9859
113.0421842853328,9858
113.53755132914924,9857
113.91698841292434,9856
114.2627956678317,9855
