Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
0.03,51
1.0,51
2.0,51
3.0,51
4.0,51
5.0,51
6.0,51
7.0,51
8.0,51
9.0,51
10.0,51
11.0,51
12.0,51
13.0,51
14.0,51
15.0,51
16.0,51
17.0,51
18.0,51
19.0,51
20.0,51
21.0,51
22.0,51
23.0,51
24.0,51
25.0,51
26.0,51
27.0,51
28.0,51
29.0,51
30.0,51
31.0,51
32.0,51
33.0,51
34.0,51
35.0,51
36.0,51
37.0,51
38.0,51
39.0,51
40.0,51
41.0,51
42.0,51
43.0,51
44.0,51
45.0,51
46.0,51
47.0,51
48.0,51
49.0,51
50.0,51
50.9994,50
50.9994,49
50.9994,48
50.9994,47
50.9994,46
50.9994,45
50.9994,44
50.9994,43
50.9994,42
50.9994,41
50.9994,40
50.9994,39
50.9994,38
50.9994,37
50.9994,36
50.9994,35
50.9994,34
50.9994,33
50.9994,32
50.9994,31
50.9994,30
50.9994,29
50.9994,28
50.9994,27
50.9994,26
50.9994,25
50.9994,24
50.9994,23
50.9994,22
50.9994,21
50.9994,20
50.9994,19
50.9994,18
50.9994,17
50.9994,16
50.9994,15
50.9994,14
50.9994,13
50.9994,12
50.9994,11
50.9994,10
50.9994,9
50.9994,8
50.9994,7
50.9994,6
50.9994,5
50.9994,4
50.9994,3
50.9994,2
50.9994,1
51.0,0
51.13152825089568,1
51.2169,2
51.54398347529727,3
51.61669907099071,4
51.738664752486336,5
51.91520603163375,6
51.96850734435509,7
52.13152825089568,7
52.16633325209478,8
52.32752947170819,9
52.42762610358366,10
52.556334089599325,11
52.61889399177424,12
52.7802264863917,13
52.791012114302625,14
53.011785388270496,15
53.04615650179135,15
53.14637504232662,16
53.71811855801421,17
53.79724301503839,17
54.11750867152784,18
54.20391072939779,19
54.211937435078354,20
54.52409099638762,20
54.584874508240866,21
54.88816093424265,22
54.95517602771359,23
55.00119282873825,24
55.08459904935422,25
55.104688498041796,26
55.220447557362945,26
55.3422528666553,27
55.45748193082084,28
55.645475840085666,29
55.69005097108614,30
55.79203677664191,31
55.88149586250878,31
55.88272455549052,32
55.89535523114131,33
56.43991908229273,34
56.533660615534394,34
57.1575645245972,34
57.16642009741117,35
57.761318906208324,35
57.858049062063614,36
58.24723780125233,37
58.35395143983329,37
58.63069231603822,38
58.933713174856685,38
59.507787646046,38
59.91935889209528,39
60.068417742683856,39
60.628218175636256,39
61.17224908901952,39
61.5409215967166,40
61.70730735879905,40
62.2066316588481,40
62.682462422808115,40
62.86551173037901,41
63.153493072442025,41
