Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
51.1569,48
51.1869,47
62.033724037650835,48
63.11871842600483,49
64.61829617178728,50
65.14719663099795,51
66.47073439824294,52
69.6875137754874,53
69.7690154266941,54
71.18324822582893,55
72.22132172777198,56
72.39880644920851,57
72.96815426514074,58
74.44873372042304,59
76.17932970644418,58
76.20932970644418,57
80.23835482345652,58
80.4104827855648,59
80.83770422899089,60
83.91159028515257,61
85.05080128434989,62
85.28913509851043,63
86.45340662154956,64
87.09168778788182,65
88.0860893011097,66
88.49473269863995,67
88.9468296604142,68
89.67724996549347,69
89.76647067696653,70
90.65304988484029,71
91.13128934824532,72
91.60051577570256,73
91.67919486111133,74
91.77201938697605,75
91.92004343455713,76
92.3174566925595,77
92.48470716571822,78
92.51872337682191,79
93.14950415958727,80
93.49943726013318,81
94.8702318078382,82
95.02992965600777,83
95.7629861792216,84
95.87958385722766,85
95.94059040928761,86
95.95579890426131,87
96.61171161875002,88
97.12103712388708,89
97.15799525491336,90
97.23069818593044,91
97.3007237527071,92
97.41888256524638,93
97.44540063751398,94
97.55043851783644,95
97.73778755273061,96
97.85629251985222,97
97.87008758936511,98
98.071509635006,99
98.11018840811178,100
98.11608476600647,101
98.21127151785852,102
98.29249968744382,103
98.30315682002417,104
98.73220712699197,105
99.26639904987316,106
99.74681962163154,107
99.97613855186994,108
100.00627878109069,109
100.25471175699793,110
100.57030530431763,111
100.62604472648847,112
101.0403634550128,113
101.31451078429333,114
101.43407932163134,115
101.70402967974056,116
102.0552581721653,117
102.79476085643778,118
102.85892895626411,119
103.09661418775924,120
103.50572962681416,121
103.56162784364116,122
103.57236571002323,123
104.15091599664348,124
104.25606360896764,125
104.37434081782101,126
104.6040209846862,127
104.67300365392984,128
104.86710350025284,129
105.11005626577388,130
105.65162311287636,131
107.38407462566184,132
108.03953866727488,133
108.13144918231473,134
108.17702670075724,135
108.20272967658732,136
108.31544322699098,137
108.43782300750071,138
108.93474060625775,139
109.27801572492652,140
109.8621529109794,141
110.12759357162606,140
110.15759357162607,139
110.40757491693898,140
111.00505508327815,141
111.16207043498561,142
111.55585442322749,143
111.61185692942938,144
111.8132667244907,145
111.91351489572457,146
113.06436804826161,147
113.07156496774705,148
113.0998321544355,149
113.48049736238167,150
113.73211766448799,151
113.75016815624524,152
113.94177544934017,153
115.28156284695467,154
115.31413912245041,155
115.41608965956257,156
115.70680494210848,157
115.85478111540466,158
115.96835778446594,159
116.03545516612247,160
116.13834288447349,161
116.34384827985447,162
116.67837701869671,163
117.26444517768468,164
117.32217487654309,165
117.63964806785768,166
117.73965787509267,167
117.78374072142702,168
118.04065392093578,169
119.0511843437221,170
119.3581262111299,171
119.66854181404476,172
120.06721348669942,173
120.29570753598017,174
120.72254872226414,175
121.08341938156401,176
121.09815783241505,177
121.92115349031262,178
122.45817398305186,179
122.77621780589057,180
123.26532973166526,181
123.26955164961186,182
123.80828823157104,183
124.19230349225572,184
124.2481987937168,185
124.28517631146867,186
124.38502581573188,187
124.42021888204394,188
124.74361989481825,189
125.05400318260591,190
125.18516492034843,191
126.110604193695,192
126.12238110539863,193
126.22352034350544,194
126.66310933033711,195
127.42287955753682,196
127.72151114015871,197
127.88346258688502,198
128.22786971749898,199
128.66430232279728,200
129.5023545341689,201
130.06411228404073,202
130.37113292226846,203
130.85652732029135,204
131.26427967275117,205
131.47612579028635,206
131.65127876116358,207
132.04083555945897,208
133.1998221292529,209
133.32746266995406,210
133.6546773142593,211
133.6591115525456,212
133.72401599892075,213
133.7742476948933,214
133.82911010202562,215
134.54196221529276,216
134.57844261525304,217
134.69592246633573,218
135.3840629955285,219
135.38736732801124,220
135.78620190661482,221
136.3153154754945,222
136.4606086529681,223
136.56623418244004,224
136.85152053533122,225
136.85948952165666,226
137.14347333443467,227
137.25194486695355,228
137.62559374773735,229
138.20402330166525,230
138.43169496481008,229
138.46169496481005,228
138.49169496481002,227
138.70030964357446,228
138.8572575628653,229
138.92390726950475,230
139.04786065031797,231
139.3603386707146,232
139.49996793580198,233
139.72817455533138,234
140.01240674009935,235
140.38507554326347,236
140.57191667544404,237
140.99624435300504,238
141.18840506550254,239
141.3801922795228,240
141.8416415821432,241
141.89494965456902,242
142.44095632598754,243
142.49559154149563,244
142.71661773660776,245
142.90747022011428,246
143.41771886491765,247
143.57381072790196,248
143.71135066549863,249
143.72813016928887,250
144.06988446171252,251
144.2330772779611,252
144.40218341723292,253
144.73426604191314,254
145.32204473678996,255
145.56598258966272,256
145.8853924729999,257
146.18694456895474,258
146.39411018125207,259
147.85509863043913,260
147.87278350298595,261
148.12350903540312,262
148.29295255866396,263
148.40178163445609,264
148.67433547222834,265
148.67950611062577,266
148.75528521263294,267
148.85822406504806,268
148.98363847495256,269
148.99619404821226,270
149.14113090059277,271
149.23409952646767,272
149.28441374743213,273
149.6810691078972,274
149.79288206875742,275
149.8635388767772,276
150.11289374778028,277
150.8688013199204,278
151.03014785707123,279
151.12780406219582,280
151.29846768179843,281
151.71606961290675,282
151.85646121251625,283
152.00216214596924,284
152.01812053918536,285
152.1898026371872,286
152.35395069962786,287
152.78754525132697,288
152.97081678070458,289
153.05396247370646,290
153.06372806439566,291
153.0942103759421,292
153.28690088152663,293
153.31997031855627,294
153.4306617474476,295
154.3419999588508,296
154.42258833283452,297
154.51411950345255,298
154.6252645610845,299
154.7402471687231,300
155.11861709659706,301
155.20241955327376,302
155.27869674158154,303
155.47056449120996,304
155.8486186164224,305
155.95251272601732,306
156.0375844086055,307
156.13358781728132,308
156.31197588896669,309
156.42356574721637,310
156.50259450878093,311
156.55785761205945,312
156.56241186600053,313
157.13090575978083,314
157.15451615291684,315
157.5613192985529,316
158.15384591717222,315
158.1838459171722,314
158.70191639925645,315
158.716580555282,316
159.00445071623156,317
159.01214993259336,318
159.06473069122876,319
159.11630928301142,320
159.77833734587864,321
159.81284522888228,322
159.93244136227156,323
159.98226054809606,324
160.09915378634156,325
160.19643536403788,326
160.254293779354,327
160.48820971391663,328
160.6577057006753,329
161.09225275663903,330
161.18613405387134,331
161.2018589578271,332
161.28945286383978,333
161.83241333889467,334
162.49791715336485,335
162.6262708592745,336
162.8262826887486,337
162.8638446467079,338
163.22695601351586,339
163.62179363863413,340
163.8525220326686,341
164.1311936395196,342
164.31800510891225,343
164.84466836239264,344
164.94736386217122,345
164.98792512245268,346
164.99107425069224,347
165.00539528925995,348
165.62966882567827,349
165.76286423563226,350
166.29717752704084,351
166.64237074436105,352
167.18268290669184,353
167.2219869708296,354
167.2356720111566,355
167.72700109008028,356
168.0745294455341,355
168.0827905901301,356
168.4195943797759,357
168.4210420579929,358
168.66152949977692,359
168.99548979834884,360
169.05082120191565,361
169.0759002969021,362
169.10628393853668,363
169.142061702257,364
169.45867445558716,365
169.4878068050938,366
169.6361767197305,367
169.7609538640381,368
170.07212790514617,369
