Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
51.1569,9952
51.1869,9953
62.033724037650835,9952
63.11871842600483,9951
64.61829617178728,9950
65.14719663099795,9949
66.47073439824294,9948
69.6875137754874,9947
69.7690154266941,9946
71.18324822582893,9945
72.22132172777198,9944
72.39880644920851,9943
72.96815426514074,9942
74.44873372042304,9941
76.17932970644418,9942
76.20932970644418,9943
80.23835482345652,9942
80.4104827855648,9941
80.83770422899089,9940
83.91159028515257,9939
85.05080128434989,9938
85.28913509851043,9937
86.45340662154956,9936
87.09168778788182,9935
88.0860893011097,9934
88.49473269863995,9933
88.9468296604142,9932
89.67724996549347,9931
89.76647067696653,9930
90.65304988484029,9929
91.13128934824532,9928
91.60051577570256,9927
91.67919486111133,9926
91.77201938697605,9925
91.92004343455713,9924
92.3174566925595,9923
92.48470716571822,9922
92.51872337682191,9921
93.14950415958727,9920
93.49943726013318,9919
94.8702318078382,9918
95.02992965600777,9917
95.7629861792216,9916
95.87958385722766,9915
95.94059040928761,9914
95.95579890426131,9913
96.61171161875002,9912
97.12103712388708,9911
97.15799525491336,9910
97.23069818593044,9909
97.3007237527071,9908
97.41888256524638,9907
97.44540063751398,9906
97.55043851783644,9905
97.73778755273061,9904
97.85629251985222,9903
97.87008758936511,9902
98.071509635006,9901
98.11018840811178,9900
98.11608476600647,9899
98.21127151785852,9898
98.29249968744382,9897
98.30315682002417,9896
98.73220712699197,9895
99.26639904987316,9894
99.74681962163154,9893
99.97613855186994,9892
100.00627878109069,9891
100.25471175699793,9890
100.57030530431763,9889
100.62604472648847,9888
101.0403634550128,9887
101.31451078429333,9886
101.43407932163134,9885
101.70402967974056,9884
102.0552581721653,9883
102.79476085643778,9882
102.85892895626411,9881
103.09661418775924,9880
103.50572962681416,9879
103.56162784364116,9878
103.57236571002323,9877
104.15091599664348,9876
104.25606360896764,9875
104.37434081782101,9874
104.6040209846862,9873
104.67300365392984,9872
104.86710350025284,9871
105.11005626577388,9870
105.65162311287636,9869
107.38407462566184,9868
108.03953866727488,9867
108.13144918231473,9866
108.17702670075724,9865
108.20272967658732,9864
108.31544322699098,9863
108.43782300750071,9862
108.93474060625775,9861
109.27801572492652,9860
109.8621529109794,9859
110.12759357162606,9860
110.15759357162607,9861
110.40757491693898,9860
111.00505508327815,9859
