Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
0.03,51
1.0,51
2.0,51
3.0,51
4.0,51
5.0,51
6.0,51
7.0,51
8.0,51
9.0,51
10.0,51
11.0,51
12.0,51
13.0,51
14.0,51
15.0,51
16.0,51
17.0,51
18.0,51
19.0,51
20.0,51
21.0,51
22.0,51
23.0,51
24.0,51
25.0,51
26.0,51
27.0,51
28.0,51
29.0,51
30.0,51
31.0,51
32.0,51
33.0,51
34.0,51
35.0,51
36.0,51
37.0,51
38.0,51
39.0,51
40.0,51
41.0,51
42.0,51
43.0,51
44.0,51
45.0,51
46.0,51
47.0,51
48.0,51
49.0,51
50.0,51
50.9994,50
50.9994,49
50.9994,48
50.9994,47
50.9994,46
50.9994,45
50.9994,44
50.9994,43
50.9994,42
50.9994,41
50.9994,40
50.9994,39
50.9994,38
50.9994,37
50.9994,36
50.9994,35
50.9994,34
50.9994,33
50.9994,32
50.9994,31
50.9994,30
50.9994,29
50.9994,28
50.9994,27
50.9994,26
50.9994,25
50.9994,24
50.9994,23
50.9994,22
50.9994,21
50.9994,20
50.9994,19
50.9994,18
50.9994,17
50.9994,16
50.9994,15
50.9994,14
50.9994,13
50.9994,12
50.9994,11
50.9994,10
50.9994,9
50.9994,8
50.9994,7
50.9994,6
50.9994,5
50.9994,4
50.9994,3
50.9994,2
50.9994,1
51.0,0
51.1569,1
51.16172058798203,2
51.17160454924211,3
51.31778805558882,4
51.38076114943315,5
51.43638555793093,6
51.47182489848468,7
51.529926049183146,8
51.610611142797794,9
51.64212628060056,10
51.66096219381161,11
51.67422722816081,12
51.78016817514937,13
52.044332082767205,14
52.05255760283617,15
52.127868500594516,16
52.1569,16
52.52555292074509,17
52.657895607838846,18
53.020395067326,19
53.15207941201797,19
53.202210459419504,20
53.227341348374466,21
53.50950784257236,22
53.916632761036254,23
54.142316843405894,23
54.38756494445105,24
54.61414318795432,25
54.83107030536317,26
54.96691587850167,27
55.083826439344925,27
55.23351351535575,28
55.47760172716249,29
55.51256539793417,30
55.58940296981437,31
55.5928613931162,32
56.009592761822866,32
56.4990268018624,33
56.83657192132415,34
56.924234202601255,34
57.190176770768275,35
57.48674372611838,36
57.74076109439731,37
57.832969086620686,37
58.222393774094584,38
58.6935147600203,39
58.733403806254614,39
59.06817278336514,40
59.36420522517015,41
59.62375288918672,41
60.51060029014074,41
61.17875509145179,42
61.26453628177801,43
61.39556409977365,43
61.45414581133699,44
62.279321997193,44
63.1542514823633,44
63.32084592169938,45
64.00886066694761,45
64.82579082974934,46
