Point in Time[s],Utilization of Active Resource[]
0.0,1.0
0.015,0.0
0.015,1.0
0.03,0.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
51.0,1.0
51.0019,1.0
51.004400000000004,1.0
51.0069,1.0
51.0094,1.0
51.011900000000004,1.0
51.0144,1.0
51.0169,1.0
51.019400000000005,1.0
51.0219,1.0
51.0244,1.0
51.026900000000005,1.0
51.0294,1.0
51.0319,1.0
51.0344,1.0
51.0369,1.0
51.0394,1.0
51.0419,1.0
51.0444,1.0
51.0469,1.0
51.0494,1.0
51.0519,1.0
51.0544,1.0
51.0569,1.0
51.059400000000004,1.0
51.0619,1.0
51.0644,1.0
51.066900000000004,1.0
51.0694,1.0
51.0719,1.0
51.074400000000004,1.0
51.0769,1.0
51.0794,1.0
51.081900000000005,1.0
51.0844,1.0
51.0869,1.0
51.089400000000005,1.0
51.0919,1.0
51.0944,1.0
51.0969,1.0
51.0994,1.0
51.1019,1.0
51.1044,1.0
51.1069,1.0
51.1094,1.0
51.1119,1.0
51.1144,1.0
51.1169,1.0
51.1194,1.0
51.121900000000004,1.0
51.1244,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126912000000004,1.0
51.1419,0.0
51.1419,1.0
51.1569,0.0
63.07439046403596,1.0
63.076890464035955,0.0
64.18001327637758,1.0
64.18251327637758,0.0
64.3126999116017,1.0
64.3151999116017,0.0
65.008614132481,1.0
65.011114132481,0.0
67.77650648393814,1.0
67.77900648393813,0.0
68.09456928630995,1.0
68.09706928630995,0.0
70.05132814731766,1.0
70.05382814731766,0.0
71.42240658999931,1.0
71.42490658999931,0.0
74.35074486419191,1.0
74.35324486419191,0.0
87.28739273208194,1.0
87.28989273208194,0.0
87.28989273208194,1.0
87.30489273208194,0.0
87.30489273208194,1.0
87.31989273208194,0.0
87.31989273208194,1.0
87.33489273208194,0.0
87.33489273208194,1.0
87.34989273208194,0.0
87.53199271916556,1.0
87.53449271916556,0.0
87.77909175066755,1.0
87.78159175066754,0.0
89.96234031890336,1.0
89.96484031890336,0.0
90.21313894976561,1.0
90.2156389497656,0.0
90.98455934935862,1.0
90.98705934935862,0.0
91.28245890425272,1.0
91.28495890425272,0.0
91.47082465546951,1.0
91.47332465546951,0.0
91.51855367093735,1.0
91.52105367093735,0.0
