Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
63.076890464035955,50
64.18251327637758,51
64.3151999116017,52
65.011114132481,53
67.77900648393813,54
68.09706928630995,55
70.05382814731766,56
71.42490658999931,57
74.35324486419191,58
87.28989273208194,57
87.31989273208194,56
87.53449271916556,57
87.78159175066754,58
89.96484031890336,59
90.2156389497656,60
90.98705934935862,61
91.28495890425272,62
91.47332465546951,63
91.52105367093735,64
91.79866183860834,65
92.18046940034114,66
92.63432305192353,67
92.78839705895926,68
92.8693914857668,69
92.92003979873645,70
93.28200470094738,71
94.040767264727,72
94.1007307589719,73
94.12423224488323,74
94.32004057905493,75
94.669758849988,76
95.2710834411133,77
95.56690827108758,78
96.31653248602204,79
96.67059403904624,80
96.71582963916516,81
97.186107129495,82
97.83305977549445,83
97.9156076789442,84
98.38891841729148,85
98.3898101180623,86
98.46052286037579,87
98.52922039445545,88
98.66866695544434,89
98.84076547927245,90
99.11843218955578,91
99.14016225978983,92
99.28040191137475,93
99.5406251610191,94
99.5766215078793,95
99.7488360619607,96
99.82942715582197,97
99.86318518277395,98
99.93233899746613,99
99.93523961055799,100
100.67843477324253,101
100.96353412869279,102
101.24433797972195,103
101.46464486083917,104
101.64104581103287,105
101.86109948522824,106
101.95345619786353,107
102.23860837355541,108
102.44995392518584,109
102.60537095713346,110
102.82531044769114,111
102.93839201672323,112
103.49051723336841,113
103.52932300994455,114
103.60902182625922,115
104.2100570355669,116
104.27727595183923,117
104.37308829765489,118
104.78805438023689,119
104.88522557557901,120
104.98437771342115,121
105.02212934785145,122
105.18316042068354,123
105.19947356343887,124
105.57967459621773,125
105.70250411928241,126
106.03276351007445,127
106.06840367869901,128
106.7898059978439,129
106.83836307061166,130
106.99679156460039,131
107.07687254729656,132
107.668530396596,133
107.92634338409619,134
108.47798926625971,135
108.76957018676474,136
109.14891278801902,137
109.35358490092354,138
109.4709446619673,139
109.48427725970726,140
109.64048370621512,141
110.2651450391269,142
110.71963173185335,143
111.95003335209499,144
112.19869592362272,145
112.32843525442942,146
112.88787092719218,145
112.91787092719218,144
113.00047265632067,145
113.03861693965524,146
113.05081228330926,147
113.09068440219423,148
113.86299079568326,149
114.63131972258296,150
115.38333790188074,151
115.46593743922942,152
115.69634414193293,153
115.71170827147962,154
115.89053647712866,155
116.37021087565815,156
116.40402252925895,157
116.45749396667276,158
116.51751472851834,159
116.62338595341382,160
116.8126328809742,161
116.8746496310626,162
117.30313795327119,163
117.43923026746451,164
117.55839721940923,165
117.6049303186084,166
118.17689994553085,167
118.20136453678997,168
118.27018715760761,169
118.36481942772984,170
119.14155456849458,171
119.27405554051164,172
119.36308487721837,173
119.69283034509277,174
119.72379951313162,175
120.13924206336819,176
120.38472400216835,177
120.97983479971809,178
121.33685890608551,179
121.38745206290099,180
121.4515637731217,181
121.91970363604693,182
122.27962352641879,183
122.47936673975241,184
122.6951996646267,185
122.74671605221148,186
123.41529264678236,187
123.71341892998349,188
123.86889617198872,189
124.46484113871877,188
124.49484113871877,187
124.7353858433859,188
125.06292989935147,189
125.93280374104141,190
126.040788891055,191
126.0575358478919,192
126.5006630539179,193
126.7818817847869,194
127.37257560021308,195
127.40119879892126,196
127.9681143888454,197
128.19446457060548,198
128.20872501553956,199
128.3320751775874,200
128.3953733988693,201
128.45389536135224,202
128.56783326057203,203
128.65961102884935,204
128.9187926907502,205
129.07283314742787,206
129.29519123839216,207
129.5367810460184,208
129.60635476412762,209
129.74076992417935,210
129.95499920349198,211
130.02933186699613,212
130.4111651042601,213
130.4922548572223,214
130.4995519812792,215
130.5441343450309,216
130.60116239078044,217
130.95666480331545,218
131.41770835190127,219
131.4603998682568,220
131.57292426743803,221
131.91772239684875,222
131.94373443937474,223
132.0920517394082,224
132.54940577277804,225
132.62975511910224,226
133.5870685675863,227
134.11259159466053,226
134.1425915946605,225
134.1789211482743,226
134.27283696995585,227
134.40254898992953,228
134.7445895581297,229
134.85073740304023,230
135.44130505276976,231
135.702931834469,232
135.97364798433549,233
136.0011274170304,234
136.03598506844983,235
136.1060570145065,236
136.30744138094028,237
136.82955334222498,238
136.91909944937825,239
137.204590596722,240
137.4144423238173,241
137.5325329636734,242
137.63925729542808,243
137.71003916726735,244
138.60979299840167,245
138.98908471571056,246
139.0346100403559,247
139.42850980011835,248
139.5775977588841,249
139.64535549802162,250
139.70965566427495,251
139.79177379231754,252
139.9362566948964,253
140.4697714756258,254
140.6036598618652,255
141.030084950847,256
141.05912076616892,257
141.25978641318775,258
141.31829133834964,259
141.37017840568865,260
142.55434486040835,261
142.7366072734912,262
142.80862852121362,263
143.31748500363275,264
143.41282511973182,265
143.4466320237923,266
143.50223757438013,267
143.62542529190733,268
143.93115578136147,269
144.37604476859215,270
144.55131740170003,271
144.6857477540858,272
144.81932560014437,273
144.8343013996297,274
144.93796492778046,273
145.27841282856835,274
145.29467726584096,275
145.2962817312478,276
145.5556510053518,277
146.4811188078867,278
146.5395737788357,279
146.73291105142619,280
146.73793936645262,281
146.7531609664782,282
146.8745994566057,283
146.99472056351044,284
147.0416637790056,285
147.1339545404224,286
147.13489677401148,287
147.19504612493273,288
147.45579615587778,289
147.57781808468118,290
147.65063897971615,291
147.9851711712866,292
148.16310922096213,293
148.19820515571513,294
148.24991849241638,295
148.44442612607207,296
148.5012077110827,297
148.70908653918016,298
148.73401304097888,299
148.78233606463567,300
149.3315393058272,301
150.1226427509474,302
150.49635185276662,303
150.88599740602191,304
150.90558054105037,305
151.13103096327973,306
151.34246469470753,307
151.60971418550142,308
151.97690319846149,309
152.22168716380054,310
152.46313556067824,311
152.63174779601198,312
152.87074956267804,313
153.017131685798,314
153.0283531589069,315
153.20768928449186,314
153.3904304643837,315
153.6919744161479,316
154.06154880930407,317
154.08884825666638,318
154.16815799365378,319
154.19236583151428,320
154.28188709236977,321
154.29130214265305,322
154.34701487388267,323
154.37604509756144,324
154.77463157540365,325
154.8782463277866,326
155.0179124058726,327
155.02826340677146,328
155.10192664760595,329
155.1574388807892,330
155.54276135442404,331
155.57588613574023,332
155.77091091812673,333
156.04553480111235,334
156.15678570286605,335
156.63119826570986,336
156.71307124179154,337
157.1166100419966,338
157.2198770576982,339
157.3137098790029,340
157.40021694658648,341
157.44840554887136,342
157.5778989750934,343
159.24707408687132,344
159.34244796123792,345
159.5445982564366,344
159.67481622340304,345
159.96252075017162,346
160.15130027491486,347
160.4731564204741,348
160.61085023116487,349
160.81879354325125,350
160.97958646169693,351
161.1954405124237,352
161.30850265650838,353
161.48543957888342,354
161.8777365255072,355
161.89488555155768,356
162.01978099223473,357
162.14508394137593,358
162.23654316634352,359
162.36001303095904,360
162.5323210650815,361
162.57072670847592,362
162.8884731814168,363
162.9375799225244,364
163.03859637541217,365
163.08469137571853,366
163.17609900783896,367
163.31735732904212,368
163.72035644717,369
163.81167649217068,370
163.82560545223612,371
