Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
63.076890464035955,9950
64.18251327637758,9949
64.3151999116017,9948
65.011114132481,9947
67.77900648393813,9946
68.09706928630995,9945
70.05382814731766,9944
71.42490658999931,9943
74.35324486419191,9942
87.28989273208194,9943
87.31989273208194,9944
87.53449271916556,9943
87.78159175066754,9942
89.96484031890336,9941
90.2156389497656,9940
90.98705934935862,9939
91.28495890425272,9938
91.47332465546951,9937
91.52105367093735,9936
91.79866183860834,9935
92.18046940034114,9934
92.63432305192353,9933
92.78839705895926,9932
92.8693914857668,9931
92.92003979873645,9930
93.28200470094738,9929
94.040767264727,9928
94.1007307589719,9927
94.12423224488323,9926
94.32004057905493,9925
94.669758849988,9924
95.2710834411133,9923
95.56690827108758,9922
96.31653248602204,9921
96.67059403904624,9920
96.71582963916516,9919
97.186107129495,9918
97.83305977549445,9917
97.9156076789442,9916
98.38891841729148,9915
98.3898101180623,9914
98.46052286037579,9913
98.52922039445545,9912
98.66866695544434,9911
98.84076547927245,9910
99.11843218955578,9909
99.14016225978983,9908
99.28040191137475,9907
99.5406251610191,9906
99.5766215078793,9905
99.7488360619607,9904
99.82942715582197,9903
99.86318518277395,9902
99.93233899746613,9901
99.93523961055799,9900
100.67843477324253,9899
100.96353412869279,9898
101.24433797972195,9897
101.46464486083917,9896
101.64104581103287,9895
101.86109948522824,9894
101.95345619786353,9893
102.23860837355541,9892
102.44995392518584,9891
102.60537095713346,9890
102.82531044769114,9889
102.93839201672323,9888
103.49051723336841,9887
103.52932300994455,9886
103.60902182625922,9885
104.2100570355669,9884
104.27727595183923,9883
104.37308829765489,9882
104.78805438023689,9881
104.88522557557901,9880
104.98437771342115,9879
105.02212934785145,9878
105.18316042068354,9877
105.19947356343887,9876
105.57967459621773,9875
105.70250411928241,9874
106.03276351007445,9873
106.06840367869901,9872
106.7898059978439,9871
106.83836307061166,9870
106.99679156460039,9869
107.07687254729656,9868
107.668530396596,9867
107.92634338409619,9866
108.47798926625971,9865
108.76957018676474,9864
109.14891278801902,9863
109.35358490092354,9862
109.4709446619673,9861
109.48427725970726,9860
109.64048370621512,9859
110.2651450391269,9858
110.71963173185335,9857
111.95003335209499,9856
112.19869592362272,9855
112.32843525442942,9854
112.88787092719218,9855
112.91787092719218,9856
113.00047265632067,9855
