Point in Time[s],State of Active Resource[]
376.49307908141253,1
377.49307908141253,0
378.19743448275415,1
379.0350101183248,2
379.19743448275415,2
379.3598588471835,1
379.4149786827453,2
379.6574216428478,3
380.19743448275415,3
380.979890282763,3
381.6411246027206,2
382.0762130027029,1
382.19743448275415,0
383.88294197652834,1
384.88294197652834,0
386.4506450074741,1
386.9136203206456,2
387.4506450074741,2
387.5153391488484,3
387.6073774492316,4
387.98766969430267,4
388.2238349670298,4
388.4293208062959,3
389.5367492028491,4
389.81824674581026,4
389.9120792601306,3
390.81465750243484,2
390.876016369357,1
391.4506450074741,0
391.53873198596574,1
392.53873198596574,0
392.7371545212558,1
392.90396943284384,2
393.7371545212558,2
394.5703396096677,1
394.7371545212558,0
396.3369307353533,1
397.20865691826344,2
397.3369307353533,2
397.46520455244314,1
398.3369307353533,0
