Point in Time[s],Utilization of Active Resource[]
376.49307908141253,1.0
377.49307908141253,0.0
378.19743448275415,1.0
379.0350101183248,1.0
379.19743448275415,1.0
379.3598588471835,1.0
379.4149786827453,1.0
379.6574216428478,1.0
380.19743448275415,1.0
380.979890282763,1.0
381.6411246027206,1.0
382.0762130027029,1.0
382.19743448275415,0.0
383.88294197652834,1.0
384.88294197652834,0.0
386.4506450074741,1.0
386.9136203206456,1.0
387.4506450074741,1.0
387.5153391488484,1.0
387.6073774492316,1.0
387.98766969430267,1.0
388.2238349670298,1.0
388.4293208062959,1.0
389.5367492028491,1.0
389.81824674581026,1.0
389.9120792601306,1.0
390.81465750243484,1.0
390.876016369357,1.0
391.4506450074741,0.0
391.53873198596574,1.0
392.53873198596574,0.0
392.7371545212558,1.0
392.90396943284384,1.0
393.7371545212558,1.0
394.5703396096677,1.0
394.7371545212558,0.0
396.3369307353533,1.0
397.20865691826344,1.0
397.3369307353533,1.0
397.46520455244314,1.0
398.3369307353533,0.0
