Point in Time[s],Utilization of Active Resource[]
0.0,1.0
0.015,0.0
0.015,1.0
0.03,0.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
50.9994,1.0
51.0,1.0
51.0019,1.0
51.004400000000004,1.0
51.0069,1.0
51.0094,1.0
51.011900000000004,1.0
51.0144,1.0
51.0169,1.0
51.019400000000005,1.0
51.0219,1.0
51.0244,1.0
51.026900000000005,1.0
51.0294,1.0
51.0319,1.0
51.0344,1.0
51.0369,1.0
51.0394,1.0
51.0419,1.0
51.0444,1.0
51.0469,1.0
51.0494,1.0
51.0519,1.0
51.0544,1.0
51.0569,1.0
51.059400000000004,1.0
51.0619,1.0
51.0644,1.0
51.066900000000004,1.0
51.0694,1.0
51.0719,1.0
51.074400000000004,1.0
51.0769,1.0
51.0794,1.0
51.081900000000005,1.0
51.0844,1.0
51.0869,1.0
51.089400000000005,1.0
51.0919,1.0
51.0944,1.0
51.0969,1.0
51.0994,1.0
51.1019,1.0
51.1044,1.0
51.1069,1.0
51.1094,1.0
51.1119,1.0
51.1144,1.0
51.1169,1.0
51.1194,1.0
51.121900000000004,1.0
51.1244,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126888,1.0
51.126912000000004,1.0
51.1419,0.0
51.1419,1.0
51.1569,0.0
51.1569,1.0
51.1719,0.0
51.1719,1.0
51.1869,0.0
62.0349145311257,1.0
62.0374145311257,0.0
65.23327372256804,1.0
65.23577372256804,0.0
77.24490762851494,1.0
77.24740762851494,0.0
77.24740762851494,1.0
77.26240762851494,0.0
77.26240762851494,1.0
77.27740762851494,0.0
77.27740762851494,1.0
77.29240762851494,0.0
77.29240762851494,1.0
77.30740762851494,0.0
86.92694621183709,1.0
86.92944621183709,0.0
87.01087824516482,1.0
87.01337824516482,0.0
87.87282598277157,1.0
87.87532598277157,0.0
88.62605240984416,1.0
88.62855240984416,0.0
90.28913100891612,1.0
90.29163100891611,0.0
90.35076993056138,1.0
90.35326993056138,0.0
92.48738774729927,1.0
92.48988774729926,0.0
93.61141894034293,1.0
93.61391894034293,0.0
94.68621916336467,1.0
94.68871916336467,0.0
94.73504344639085,1.0
94.73754344639084,0.0
94.88907365384883,1.0
94.89157365384882,0.0
94.90425815517858,1.0
94.90675815517858,0.0
95.23889442336623,1.0
95.24139442336623,0.0
95.29900495654275,1.0
