Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
51.1569,48
62.0374145311257,49
65.23577372256804,50
77.24740762851494,49
77.27740762851494,48
86.92944621183709,49
87.01337824516482,50
87.87532598277157,51
88.62855240984416,52
90.29163100891611,53
90.35326993056138,54
92.48988774729926,55
93.61391894034293,56
94.68871916336467,57
94.73754344639084,58
94.89157365384882,59
94.90675815517858,60
95.24139442336623,61
95.30150495654274,62
95.58930536539303,63
95.93109170879757,64
96.20124385484826,65
96.4583468850282,66
96.7730349220135,67
96.91733022483358,68
98.08521458512197,69
98.22281892626032,70
98.73829886952181,71
98.78085596421819,72
99.38149268905362,73
99.53493530864984,74
99.80121088649504,75
100.15952647967971,76
100.44768412324026,77
100.50873198444337,78
101.19805124579096,79
101.37555733562633,80
101.39035212482008,81
101.70872400784636,82
101.80257309523357,83
101.8299745917875,84
101.84847989058899,85
102.35236811897515,86
102.52676172702455,87
102.6954931149261,88
102.80064263901254,89
103.3993471311964,90
103.41605034381394,91
103.65519146600231,92
103.77131836184256,93
103.86977245823367,94
103.95872283373802,95
104.14058101407478,96
104.1629006776938,97
104.32747841247678,98
104.60308935232868,99
104.6720768662,100
104.67693019294207,101
104.76404675662904,102
104.82045822727257,103
105.00932825747223,104
105.2066517075932,105
105.5232119195118,106
106.9932358998139,107
107.60548991913554,108
107.93512969109469,109
108.58002404476684,110
109.05014979463651,111
110.32979270689134,112
111.23696381124144,111
111.26696381124144,110
111.4232080546821,111
112.2037387702773,112
112.61808132656554,113
113.13313439603553,114
113.20193232714341,115
113.32031844690918,116
113.99648376817186,117
115.62608648110847,118
115.87808777375999,119
116.51321180287773,120
116.59609623814092,121
116.6890393122872,122
116.92188135729027,123
117.40249179360447,124
117.85386782774664,125
118.01412580543257,126
118.01420632250262,127
118.43033518517309,128
118.5749711205852,129
118.85282663627817,130
119.19849847632727,131
119.32044326615643,132
119.79624822431038,133
119.99827385253212,134
120.05055185211761,135
120.25670908610832,136
120.33626439709032,137
121.31687763682572,138
121.71553480043112,139
121.8776426240488,140
122.45256725036442,141
122.49069556293792,142
122.9705040677229,143
124.0677393019917,144
124.81439729204743,145
124.9606084166828,146
125.02148774117553,147
125.28989765241214,148
125.67063614824805,149
125.6828646952559,150
125.77189832020876,151
125.8585176145806,152
126.1676506038475,153
126.38521935940526,154
126.40390180798154,155
126.56523324287458,156
126.66239875556296,157
128.04122513361338,158
128.28703824018885,159
128.29990982356122,160
128.33646255658357,161
128.5334138986497,162
128.88849270143737,163
129.46326137151763,164
129.62660966045382,165
129.74813807592682,166
129.9130798594115,167
129.9938474760198,168
130.04367153574358,169
130.20424766980946,170
130.28995676021898,171
130.39914748836443,172
131.18747010275388,173
132.02835455804805,174
132.39893395157267,175
132.42600524030993,176
132.5250839055264,177
132.8352363017616,178
133.02025169346473,179
133.02700661863574,180
133.1150505467615,181
133.28879865223493,182
133.4282480403847,183
133.450548066461,184
133.5207081568835,185
133.73509294844666,186
133.8705012744719,187
134.01184041761576,186
134.70511038674937,187
134.9386883311628,188
135.12925207100028,189
136.1822281720342,190
136.25497783783624,191
137.21284442563646,192
137.76557333129404,193
138.37816107036122,194
138.47307193577237,195
138.9956460184166,196
139.16334525786533,197
139.38337147035952,198
139.48060689833838,199
139.5596860663672,200
139.6282030827278,201
140.21126803582112,202
140.40993399880594,203
140.7140339144268,204
140.86513654276874,205
141.33344550034266,206
141.68641944289098,207
142.0356718964716,208
142.9081171012438,209
142.94840991218516,210
142.9691062499127,211
143.2746642931661,212
144.0047194568622,213
144.26708241510144,214
144.46437333147563,215
144.4652236465958,216
144.5999486787546,217
144.69839918539506,218
145.37133197787352,219
145.8706457183389,220
145.87287552590112,221
146.07140412723035,222
146.21834923008407,223
146.75114527634008,224
147.17227490865093,225
147.42232767562393,226
147.46500822575035,227
147.55120536804066,228
147.91574096293004,229
147.94601785550222,230
147.98983777819544,231
148.93716993397277,232
149.0865441570378,233
149.09995659442936,232
149.12995659442933,231
149.1599565944293,230
149.18995659442928,229
149.26482482563156,230
149.4442347427984,231
150.32893231135498,232
150.36616220073805,233
150.89427733320156,234
150.95815288781645,235
151.03790041468363,236
151.08055763675478,237
151.13561085995616,238
151.33163169742298,239
151.55577977467402,240
151.8374653346271,241
152.37708919832318,242
152.85032119716217,243
153.22922375707046,244
153.24721686592727,245
153.26681379679223,246
153.52835023584015,247
154.07545814144748,248
154.69283323329904,249
154.83999778847803,250
155.54494234590146,251
156.17109007984482,252
156.18016859139908,253
156.55427011603288,254
157.0200178278189,255
157.1954761575955,256
157.38001020428632,257
158.51304363424018,258
158.58851201861904,259
158.79110880128212,260
158.96169540528206,261
159.2294828799486,262
159.3798404021397,263
159.65421674091937,264
159.95676014391398,265
159.98916208154165,266
160.07836628863205,267
160.56762212400463,268
160.69375276340932,269
161.0093267385971,270
161.0506026849334,271
161.36440240392244,272
161.6244590933633,273
161.96842513628934,274
162.05634201478918,275
162.50831262093263,276
162.56012201625973,277
162.63868530330598,278
162.76245741401016,279
162.8621092861582,280
163.0967078615334,281
163.25697216125195,282
163.3184968282105,283
163.34291354688682,284
163.47740654368295,285
163.63584538807888,286
163.65485336688872,285
163.6848533668887,284
163.7112984503268,285
163.82435588001465,286
163.86948886768064,287
163.8931878851039,288
164.32280962215398,289
165.601924078857,290
165.8401957489587,291
166.10735803715653,292
166.12392640022324,293
166.1290539251089,294
166.41013361252934,295
166.67956126434086,296
166.71400035785118,297
166.806042293681,298
167.16306429439578,299
167.8706871854474,300
168.06602015809136,301
168.27542311542447,302
168.31389848621444,303
168.35312905174865,304
168.86599408234326,305
169.09225831238655,306
169.56367832391697,307
169.69624287649697,308
169.75059412395257,309
169.8802249398679,310
169.997667837402,311
170.0570096060346,310
170.08700960603457,309
170.11700960603454,308
170.14700960603452,307
170.16286056250806,308
170.22474371231405,309
170.2994252666203,310
170.7380621743904,311
170.77976546622753,312
170.7939542863024,313
171.34605752136412,314
171.464105614524,315
171.5627085895528,316
172.34725537723136,317
172.64705552203702,318
173.18251453645925,319
173.4078823082956,320
173.52981566408192,321
174.05212312519242,322
174.49200978130693,323
175.04960212492685,324
175.84775320076326,325
175.91653918087624,326
175.98956913622544,327
176.18219311565974,328
176.1881841921634,329
176.19404548428972,330
176.72781881353117,331
176.86927373806674,332
177.25969041360506,333
177.29688717533833,334
177.37537581732565,335
177.37794969105818,336
177.49958821463133,337
177.55181583010986,336
178.03098395773796,337
178.85553505812643,338
179.04852050722775,339
179.30535445691874,340
179.35496905287656,341
179.82968461235222,342
180.09311272458177,343
180.32226904901552,344
180.3299266937889,345
180.61059584263228,346
180.71365631308146,347
180.75937100562373,348
180.86708758957568,349
180.98850258330899,350
181.0123698659918,351
181.01544008919427,352
181.25888217675782,353
181.6454406954511,354
182.0471420668688,355
182.2474131634905,356
182.44640207188039,357
182.66457606045768,358
182.82408184151134,359
