Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
51.1569,9952
62.0374145311257,9951
65.23577372256804,9950
77.24740762851494,9951
77.27740762851494,9952
86.92944621183709,9951
87.01337824516482,9950
87.87532598277157,9949
88.62855240984416,9948
90.29163100891611,9947
90.35326993056138,9946
92.48988774729926,9945
93.61391894034293,9944
94.68871916336467,9943
94.73754344639084,9942
94.89157365384882,9941
94.90675815517858,9940
95.24139442336623,9939
95.30150495654274,9938
95.58930536539303,9937
95.93109170879757,9936
96.20124385484826,9935
96.4583468850282,9934
96.7730349220135,9933
96.91733022483358,9932
98.08521458512197,9931
98.22281892626032,9930
98.73829886952181,9929
98.78085596421819,9928
99.38149268905362,9927
99.53493530864984,9926
99.80121088649504,9925
100.15952647967971,9924
100.44768412324026,9923
100.50873198444337,9922
101.19805124579096,9921
101.37555733562633,9920
101.39035212482008,9919
101.70872400784636,9918
101.80257309523357,9917
101.8299745917875,9916
101.84847989058899,9915
102.35236811897515,9914
102.52676172702455,9913
102.6954931149261,9912
102.80064263901254,9911
103.3993471311964,9910
103.41605034381394,9909
103.65519146600231,9908
103.77131836184256,9907
103.86977245823367,9906
103.95872283373802,9905
104.14058101407478,9904
104.1629006776938,9903
104.32747841247678,9902
104.60308935232868,9901
104.6720768662,9900
104.67693019294207,9899
104.76404675662904,9898
104.82045822727257,9897
105.00932825747223,9896
105.2066517075932,9895
105.5232119195118,9894
106.9932358998139,9893
107.60548991913554,9892
107.93512969109469,9891
108.58002404476684,9890
109.05014979463651,9889
110.32979270689134,9888
111.23696381124144,9889
111.26696381124144,9890
111.4232080546821,9889
112.2037387702773,9888
112.61808132656554,9887
113.13313439603553,9886
113.20193232714341,9885
113.32031844690918,9884
113.99648376817186,9883
115.62608648110847,9882
115.87808777375999,9881
116.51321180287773,9880
116.59609623814092,9879
116.6890393122872,9878
116.92188135729027,9877
117.40249179360447,9876
117.85386782774664,9875
118.01412580543257,9874
118.01420632250262,9873
118.43033518517309,9872
118.5749711205852,9871
118.85282663627817,9870
119.19849847632727,9869
119.32044326615643,9868
119.79624822431038,9867
119.99827385253212,9866
120.05055185211761,9865
120.25670908610832,9864
120.33626439709032,9863
121.31687763682572,9862
121.71553480043112,9861
121.8776426240488,9860
122.45256725036442,9859
122.49069556293792,9858
122.9705040677229,9857
