Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
61.12909057425327,50
63.09199186907613,51
63.25442343950536,52
64.9514103245568,53
65.20940401047324,54
65.4438546037437,55
66.66418110209507,56
67.82502598027342,57
68.08848171838619,58
69.63316723315212,59
69.94237031343853,60
70.99758998715069,61
72.47290675841064,62
73.01960922172836,63
76.16359253640636,62
76.1962538845099,63
77.44157499761194,64
77.85554495316656,65
77.98173073034287,66
78.78291512321762,67
83.21350340401614,68
83.31409534322793,69
85.33047847470195,70
85.41737004109162,71
85.59688476376226,72
86.54535002554216,73
86.58306401899937,74
86.59372049678281,75
88.55801272227816,76
89.14529565032093,77
89.18806882236697,78
89.32819802878528,79
89.35731914076278,80
90.49675573248005,81
91.26387564193269,82
91.34404251333672,83
91.36759001447737,84
91.63462333334095,85
91.98890331072383,86
92.34226368519136,87
92.36761923527862,88
92.73153819277958,89
93.20088309136261,90
93.42091933169658,91
93.49422695133286,92
93.52727226051238,93
93.8952572341417,94
94.10840760388746,95
94.12147502588675,96
94.12688876814646,97
94.60603346610847,98
94.64042710554747,99
95.00640984090968,100
95.09728454730511,101
95.62102840607714,102
95.74357714770495,103
95.81303727047217,104
96.0134996933274,105
96.01905523099889,106
96.15428461044075,107
96.38303548766058,108
96.44118746594496,109
96.67236192440194,110
96.78751874330322,111
96.82684274237123,112
96.99598681236033,113
97.1581252736762,114
97.3382501197623,115
97.34359981557189,116
97.44271578417947,117
97.62950181823523,118
97.95881755596484,119
97.9749039314861,120
98.36794180489895,121
98.4615548582427,122
98.92928534537015,123
99.18018116765595,124
99.2600035996003,125
99.80635785553011,126
100.2381986875494,127
100.43535136152883,128
101.16059479099061,129
101.37373928454848,130
101.38899725104291,131
101.46597204875843,132
101.67812200229844,133
101.91233457567145,134
102.04222755298278,135
102.12721452479332,136
102.4826952920571,137
102.71075684013651,138
102.8767412643203,139
102.90663182947567,140
103.06461383991282,141
103.495009774162,140
103.50571579705823,141
103.71529466909654,142
104.0929420020652,143
104.11564163304817,144
104.20293294247762,145
104.23723221218563,146
104.28201931794312,147
104.99306796732311,148
105.4848165973664,149
105.51802433640938,150
105.53439951105447,151
105.95160223378183,152
106.67763222802958,153
106.92428410402319,154
107.00310344395555,155
107.04691246806168,156
107.24759824976971,157
107.34818729774945,158
107.50565627420303,159
107.62338110708639,160
107.88700052219315,161
108.04856699228073,162
108.11012939137417,163
108.18492606723586,164
108.29115204779795,165
108.38678324329067,166
108.46076631163257,167
108.59654314200418,168
108.76835473385952,169
108.95420935880865,170
109.13284970554574,171
109.6048622743282,172
109.62669494016718,173
109.81586818090469,174
110.03949225888951,175
110.08760500396856,176
110.15404655983566,177
110.48092486669302,178
110.99459994437738,177
111.02459994437739,176
111.05459994437739,175
111.36210709297703,176
111.38111999993096,177
111.72825280851293,178
111.96564810376381,179
112.18382525475576,180
112.489664802134,181
113.35396779538834,182
113.37965319437114,183
113.56984598242636,184
113.6912560806002,185
113.89419712332585,186
113.90628848536565,187
113.95138174713834,188
114.11289092980041,189
114.14626365547714,190
114.46033937946828,191
114.79569842852958,192
114.95363498972644,193
115.06863483724229,194
115.08192081064895,195
115.22899755707974,196
115.47051420104563,197
115.47205535288205,198
115.74573103190272,199
115.99442071012112,200
116.09500782192929,201
116.2151517557024,200
116.2451517557024,199
116.26314061267117,200
116.2776517557024,199
116.32044101333948,200
116.37988745059792,201
116.48404670281279,202
116.6114241818679,203
116.61234079198044,204
116.88726702717577,205
116.92430458313314,206
117.12900721786328,207
117.27115629052034,208
117.40784691944931,209
117.7427157738908,210
117.81970171528987,211
117.87386389322803,212
117.88109707056061,213
117.9819022926987,214
118.05347539001284,215
118.3503253341185,216
118.37961094569762,217
118.49420656770118,218
118.60719244759387,219
118.69209583688783,220
119.00681670621475,221
119.06472130773818,222
119.24685148113078,223
119.2935410562007,224
119.30982675026257,225
119.54542181251307,226
119.70004136897062,225
120.06305461326244,226
120.08466872850573,227
120.69962293805938,228
120.84485530426753,229
120.859945492739,230
120.90828744842582,231
121.32053388500856,232
121.97479649826279,233
122.03597950756236,234
122.14901572674063,235
122.1701959877391,236
122.31272780478602,237
122.32128556252769,236
122.35128556252769,235
122.41492894833978,236
122.92286743713905,237
122.99266112396471,238
123.03219102367602,239
123.03738599427685,240
123.10371520554949,241
123.2322697744125,242
123.23264415446918,243
123.44502600089018,244
123.65277011347293,245
124.0516311935908,246
124.1594,245
124.1894,244
124.21940000000001,243
124.90533954778545,244
125.05195727581963,245
125.24203136006986,246
125.2519,245
125.28190000000001,244
125.31190000000001,243
125.34190000000001,242
125.37190000000001,241
125.40190000000001,240
125.53931235224974,241
125.60938386997229,242
126.05109073607218,243
126.06108983440697,244
126.10305326285005,245
126.23403407575468,246
126.31456487593229,247
126.51045235404595,248
126.86242571158196,249
127.09298351557275,250
127.24632754103749,251
127.27001501692284,252
127.69169079739898,253
127.7798273643504,254
127.81359808802331,255
127.90776453756536,256
127.95545210612993,257
128.04463471728718,258
128.39455919905456,259
128.4389319847873,260
128.62022933039285,259
128.6481268747681,260
128.65272933039282,259
128.6656129365786,260
128.6852293303928,259
128.71522933039276,258
128.74522933039273,257
128.7752293303927,256
128.80522933039268,255
128.8463271279155,256
128.9181716283845,257
129.01191506033865,258
129.052148235133,259
129.06423482375658,260
129.3964065899306,261
129.4869875160107,262
129.61582280046417,263
129.62224246527643,264
129.7738513066469,265
129.77811595711216,266
130.08316542989473,267
130.11934024076075,268
130.7997857522919,269
131.36103023784574,270
131.98582439340774,271
132.10044443633464,272
132.22647270056314,273
132.5924492834906,274
132.66022087618083,275
132.786621782123,276
132.83470658749363,277
133.0560946851848,278
133.44218276543242,279
133.55125557861575,280
133.95765085243954,281
134.06942923548795,282
134.42062226947007,283
134.53232538741608,284
134.5994872496545,285
134.61264650324142,286
134.73957844088028,285
134.76957844088025,284
134.82444607202166,285
134.92403356156308,286
134.99996471622825,287
135.0414205530672,288
135.16186007227225,289
135.33906204589536,290
135.56403604844667,291
135.63858910723891,292
135.79235769497808,293
135.85320219863897,294
136.24986373877954,295
136.34842739768294,296
136.51366695646047,297
136.62156431247922,298
136.7150775210418,299
136.7255780195444,300
136.855974860785,301
136.85773277109675,302
136.91980041468378,303
136.9586965432341,304
136.97694808041967,305
137.27788816114673,306
137.36916121850518,307
137.37396755146483,306
137.4039675514648,305
137.45211009372667,306
137.89168322595998,307
137.94169844612242,308
138.03657130449471,309
138.08092204822927,310
138.41572148103643,311
138.43646755146477,310
138.90099303653113,311
139.006524836047,312
139.15810049646123,313
139.30836889902272,314
139.38383875314463,315
139.4706613169765,316
139.5943350818186,317
139.69388626690966,316
139.75402548708703,317
139.79740071245047,318
139.89653659400193,319
140.10142197372937,320
140.1828586811769,321
140.27351373237525,322
140.47999144463668,323
140.52043256781758,324
140.68187569870344,325
141.01536002854772,326
141.21154883601986,327
141.43950493486113,328
