Point in Time[s],State of Passive Resource[]
51.126888,9999
51.126888,9998
51.126888,9997
51.126888,9996
51.126888,9997
51.126888,9996
51.126888,9995
51.126888,9994
51.126888,9993
51.126888,9992
51.126888,9991
51.126888,9990
51.126888,9989
51.126888,9988
51.126888,9987
51.126888,9986
51.126888,9985
51.126888,9984
51.126888,9983
51.126888,9982
51.126888,9981
51.126888,9980
51.126888,9979
51.126888,9978
51.126888,9977
51.126888,9976
51.126888,9975
51.126888,9974
51.126888,9973
51.126888,9972
51.126888,9971
51.126888,9970
51.126888,9969
51.126888,9968
51.126888,9967
51.126888,9966
51.126888,9965
51.126888,9964
51.126888,9963
51.126888,9962
51.126888,9961
51.126888,9960
51.126888,9959
51.126888,9958
51.126888,9957
51.126888,9956
51.126888,9955
51.126888,9954
51.126888,9953
51.126888,9952
51.126888,9951
61.12909057425327,9950
63.09199186907613,9949
63.25442343950536,9948
64.9514103245568,9947
65.20940401047324,9946
65.4438546037437,9945
66.66418110209507,9944
67.82502598027342,9943
68.08848171838619,9942
69.63316723315212,9941
69.94237031343853,9940
70.99758998715069,9939
72.47290675841064,9938
73.01960922172836,9937
76.16359253640636,9938
76.1962538845099,9937
77.44157499761194,9936
77.85554495316656,9935
77.98173073034287,9934
78.78291512321762,9933
83.21350340401614,9932
83.31409534322793,9931
85.33047847470195,9930
85.41737004109162,9929
85.59688476376226,9928
86.54535002554216,9927
86.58306401899937,9926
86.59372049678281,9925
88.55801272227816,9924
89.14529565032093,9923
89.18806882236697,9922
89.32819802878528,9921
89.35731914076278,9920
90.49675573248005,9919
91.26387564193269,9918
91.34404251333672,9917
91.36759001447737,9916
91.63462333334095,9915
91.98890331072383,9914
92.34226368519136,9913
92.36761923527862,9912
92.73153819277958,9911
93.20088309136261,9910
93.42091933169658,9909
93.49422695133286,9908
93.52727226051238,9907
93.8952572341417,9906
94.10840760388746,9905
94.12147502588675,9904
94.12688876814646,9903
94.60603346610847,9902
94.64042710554747,9901
95.00640984090968,9900
95.09728454730511,9899
95.62102840607714,9898
95.74357714770495,9897
95.81303727047217,9896
96.0134996933274,9895
96.01905523099889,9894
96.15428461044075,9893
96.38303548766058,9892
96.44118746594496,9891
96.67236192440194,9890
96.78751874330322,9889
96.82684274237123,9888
96.99598681236033,9887
97.1581252736762,9886
97.3382501197623,9885
97.34359981557189,9884
97.44271578417947,9883
97.62950181823523,9882
97.95881755596484,9881
97.9749039314861,9880
98.36794180489895,9879
98.4615548582427,9878
98.92928534537015,9877
99.18018116765595,9876
99.2600035996003,9875
99.80635785553011,9874
100.2381986875494,9873
100.43535136152883,9872
101.16059479099061,9871
101.37373928454848,9870
101.38899725104291,9869
101.46597204875843,9868
101.67812200229844,9867
101.91233457567145,9866
102.04222755298278,9865
102.12721452479332,9864
102.4826952920571,9863
102.71075684013651,9862
102.8767412643203,9861
102.90663182947567,9860
103.06461383991282,9859
103.495009774162,9860
103.50571579705823,9859
103.71529466909654,9858
104.0929420020652,9857
104.11564163304817,9856
104.20293294247762,9855
104.23723221218563,9854
104.28201931794312,9853
104.99306796732311,9852
