Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
1.0,50
2.0,50
3.0,50
4.0,50
5.0,50
6.0,50
7.0,50
8.0,50
9.0,50
10.0,50
11.0,50
12.0,50
13.0,50
14.0,50
15.0,50
16.0,50
17.0,50
18.0,50
19.0,50
20.0,50
21.0,50
22.0,50
23.0,50
24.0,50
25.0,50
26.0,50
27.0,50
28.0,50
29.0,50
30.0,50
31.0,50
32.0,50
33.0,50
34.0,50
35.0,50
36.0,50
37.0,50
38.0,50
39.0,50
40.0,50
41.0,50
42.0,50
43.0,50
44.0,50
45.0,50
46.0,50
47.0,50
48.0,50
49.0,50
50.0,49
50.0,48
50.0,47
50.0,46
50.0,45
50.0,44
50.0,43
50.0,42
50.0,41
50.0,40
50.0,39
50.0,38
50.0,37
50.0,36
50.0,35
50.0,34
50.0,33
50.0,32
50.0,31
50.0,30
50.0,29
50.0,28
50.0,27
50.0,26
50.0,25
50.0,24
50.0,23
50.0,22
50.0,21
50.0,20
50.0,19
50.0,18
50.0,17
50.0,16
50.0,15
50.0,14
50.0,13
50.0,12
50.0,11
50.0,10
50.0,9
50.0,8
50.0,7
50.0,6
50.0,5
50.0,4
50.0,3
50.0,2
50.0,1
50.0,0
50.14117134861348,1
50.1732995540974,2
50.2,3
50.21349443779111,4
50.32526837952926,5
50.332480711545884,6
50.722533096864304,7
50.78987844812569,8
50.902470545633996,9
51.03508268163168,10
51.07137008815605,11
51.11418300791468,12
51.1202569255888,13
51.12580025160516,14
51.14117134861348,14
51.21035060822166,15
51.26636067951425,16
51.32872442890779,17
51.37311003328487,18
51.998208214088855,19
52.10904314312957,19
52.173356650553664,20
52.18539267653243,21
52.34556673989049,22
52.50021699816392,23
52.50952636605141,24
52.65695106324351,25
52.843281436753244,26
52.91940210701719,27
53.06356471469435,27
53.13734384212628,28
53.26307328013586,29
53.54201629837614,30
53.563024213615385,31
53.82903174098973,32
54.013588140328764,32
54.23820946811533,33
54.63817758588854,34
54.93566808052864,34
55.09930142957946,35
55.13267989608743,36
55.75653916381748,37
55.78066751950725,38
55.78627924738345,39
55.85630555432519,39
56.49871286968033,40
56.71193429723534,40
57.55794227567957,40
58.38987624193527,40
58.45907629931255,41
59.20707552641345,41
59.26659075016019,42
59.36780341209522,43
60.02064607023919,43
60.830324530450504,43
61.54041025228422,44
61.63949683085565,44
62.448242721567226,44
63.25094930109191,44
64.04992187586375,44
64.54177177638684,45
64.8449967162985,45
65.63746063882871,45
66.39519688464759,45
66.39822753545329,46
66.63751091910126,47
67.14371479170516,47
