Point in Time[s],Utilization of Active Resource[]
0.0,1.0
0.015,0.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0,1.0
50.0025,1.0
50.005,1.0
50.0075,1.0
50.01,1.0
50.0125,1.0
50.015,1.0
50.015,1.0
50.0175,1.0
50.02,1.0
50.0225,1.0
50.025,1.0
50.0275,1.0
50.03,1.0
50.0325,1.0
50.035,1.0
50.0375,1.0
50.04,1.0
50.0425,1.0
50.045,1.0
50.0475,1.0
50.05,1.0
50.0525,1.0
50.055,1.0
50.0575,1.0
50.06,1.0
50.0625,1.0
50.065,1.0
50.0675,1.0
50.07,1.0
50.0725,1.0
50.075,1.0
50.0775,1.0
50.08,1.0
50.0825,1.0
50.085,1.0
50.0875,1.0
50.09,1.0
50.0925,1.0
50.095,1.0
50.0975,1.0
50.1,1.0
50.1025,1.0
50.105,1.0
50.1075,1.0
50.11,1.0
50.1125,1.0
50.115,1.0
50.1175,1.0
50.12,1.0
50.1225,1.0
50.125,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1272,1.0
50.1528,1.0
50.155,0.0
50.155,1.0
50.17,0.0
50.17,1.0
50.185,0.0
50.185,1.0
50.2,0.0
61.285354079465634,1.0
61.28785407946563,0.0
61.33478440008132,1.0
61.337284400081316,0.0
63.99250515247819,1.0
63.995005152478186,0.0
64.61438512393832,1.0
64.61688512393832,0.0
69.80727235656863,1.0
69.80977235656863,0.0
71.05260136631607,1.0
71.05510136631607,0.0
73.11377878438604,1.0
73.11627878438604,0.0
85.18225489257826,1.0
85.18475489257825,0.0
86.80185931517738,1.0
86.80435931517738,0.0
87.46937046274252,1.0
87.47187046274252,0.0
87.47187046274252,1.0
87.48687046274252,0.0
87.48687046274252,1.0
87.50187046274252,0.0
87.50187046274252,1.0
87.51687046274252,0.0
87.51687046274252,1.0
87.53187046274252,0.0
87.53187046274252,1.0
87.54687046274252,0.0
87.54687046274252,1.0
87.56187046274252,0.0
87.56187046274252,1.0
87.57687046274252,0.0
87.57687046274252,1.0
87.59187046274252,0.0
87.59187046274252,1.0
87.60687046274252,0.0
87.60687046274252,1.0
87.62187046274252,0.0
87.62187046274252,1.0
87.63687046274252,0.0
87.63687046274252,1.0
87.65187046274252,0.0
87.65187046274252,1.0
87.66687046274252,0.0
87.66687046274252,1.0
87.68187046274252,0.0
87.68187046274252,1.0
87.68977961333064,1.0
87.69477961333064,1.0
87.69687046274252,1.0
