Point in Time[s],State of Passive Resource[]
50.1272,0
50.1272,1
50.1272,2
50.1272,3
50.1272,4
50.1272,5
50.1272,6
50.1272,7
50.1272,8
50.1272,9
50.1272,10
50.1272,11
50.1272,12
50.1272,13
50.1272,14
50.1272,15
50.1272,16
50.1272,17
50.1272,18
50.1272,19
50.1272,20
50.1272,21
50.1272,22
50.1272,23
50.1272,24
50.1272,25
50.1272,26
50.1272,27
50.1272,28
50.1272,29
50.1272,30
50.1272,31
50.1272,32
50.1272,33
50.1272,34
50.1272,35
50.1272,36
50.1272,37
50.1272,38
50.1272,39
50.1272,40
50.1272,41
50.1272,42
50.1272,43
50.1272,44
50.1272,45
50.1272,46
50.1272,47
50.1272,48
50.1272,49
50.17,48
61.28785407946563,49
61.337284400081316,50
63.995005152478186,51
64.61688512393832,52
69.80977235656863,53
71.05510136631607,54
73.11627878438604,55
85.18475489257825,56
86.80435931517738,57
87.47187046274252,56
87.50187046274252,55
87.53187046274252,54
87.56187046274252,53
87.59187046274252,52
87.62187046274252,51
87.65187046274252,50
87.68187046274252,49
87.69477961333064,50
87.71437046274252,49
89.06037309026023,50
89.12961147761979,51
91.16026203056745,52
92.18502182928074,53
92.62757699471273,54
93.2648922902891,55
93.92795297027752,56
94.08761755898476,57
94.25497715440486,58
94.27623586626427,59
94.29371866370049,60
94.53529111117619,61
94.68091729653693,62
94.8290312013466,63
94.92563516381435,64
95.43234235113387,65
96.17583152542232,66
96.50438156867976,67
96.5254446141426,68
96.58024795653104,69
96.65597570437767,70
96.78477405005563,71
96.79497404214116,72
97.01674943746579,73
97.02970160148317,74
97.2259475592403,75
97.45699722239236,76
97.54482876500461,77
97.778914332344,78
97.90464377035359,79
98.16718775490476,80
98.18609487862008,81
98.40919796609533,82
98.61095788859011,83
98.73100025338685,84
99.03400640321505,85
99.18408257508928,86
99.20338358332373,87
99.27121117937807,88
99.27706378939993,89
99.37279743603763,90
99.39568552735739,91
99.63770561822864,92
99.80828954946018,93
99.82328825705112,94
99.82653715213735,95
100.21015525645106,96
100.5254211235584,97
100.81969112115834,98
100.9066354319122,99
101.05316950257112,100
101.18165950341553,101
101.20936048445269,102
101.5418789138681,103
101.61607945847119,104
101.62296544708197,105
101.67116195276532,106
102.12495882094414,107
102.63115102168604,108
102.76349784462614,109
103.05828252455345,110
103.11448468381211,111
103.60827145198397,112
103.85898073609165,113
104.21450404182421,114
104.56030846729453,115
104.64353747030252,116
104.86121523840127,117
104.88998982390763,118
104.9999332819596,119
105.05277206600553,120
105.27793670798081,121
105.37439696290781,122
105.57099070148865,123
105.83524273026998,124
105.90742548994918,125
106.32078208871845,126
106.40807778234858,127
106.55846341704276,128
106.60553538650016,129
106.77448165701692,130
106.88137082653621,131
107.21286489538187,132
107.5020560274401,133
107.51800889030069,134
107.7320967760669,135
107.92455525890452,136
108.11184253198151,137
108.23260654542528,138
108.31676830852872,139
108.35792695457891,140
108.56137230053176,141
108.78848946393094,142
108.9012999910723,143
109.01667320730131,144
109.18111763651649,145
109.39701467970417,146
109.41691660153303,147
109.60480921598128,148
109.6939905491817,149
109.73871486801112,148
109.76871486801112,147
109.79871486801112,146
109.8514985453294,147
110.07887188012243,148
110.38801376753354,149
110.7663510728809,150
110.76880977426022,151
110.78197353062038,152
110.78412514240823,153
110.86190745862537,154
110.88603729609139,155
110.95124599506245,156
111.43282999528913,157
111.55324361108889,158
111.60206533270633,159
111.67626881916873,160
111.72047470957963,161
111.75473724835793,162
111.83270749478501,163
111.84327660892308,164
111.93939412704479,165
112.01030931254363,166
112.1277891001951,167
112.25930709823001,168
112.44150056754097,169
112.54316192396635,170
112.63464592435442,171
112.64844797934425,172
112.9748513821527,173
113.0333413009818,174
113.07667132595168,175
113.14062210476193,176
113.25530748242434,177
113.65201597503359,178
114.29444600081986,179
114.2995502803975,180
114.35873783453646,181
114.41414625958691,182
114.4407363873685,183
114.46794548123916,184
114.58892246600186,185
114.60714860202778,186
114.66942635753774,187
114.79090842046303,188
115.06101665448784,189
115.1098724791249,190
115.1118574941054,189
115.1312456720721,190
115.14435749410539,189
115.22090453358186,190
115.39498363110319,191
115.58943019279107,192
115.75608070948795,193
115.75730126046726,194
115.8841446876946,195
116.0858014696663,196
116.09052233684628,197
116.6599085114268,198
116.71368376375852,199
116.81448988560535,200
116.85317137112806,201
116.8852807023755,202
117.00070821177763,203
117.4338280995453,204
117.49700803751217,205
117.61624630023846,206
117.68664598108508,207
117.9641398464262,208
118.39073411495932,209
118.41043778032254,210
118.41365631935196,211
118.72721686090384,212
118.85491907521904,211
118.86781726186665,212
118.88741907521904,211
119.00427023917808,212
119.32979816445274,213
119.36742362200792,214
119.4436669547608,215
119.54868788809148,216
119.64007699083598,217
119.81392126251649,218
119.91102070882785,219
119.94512752684166,220
119.9703880263057,221
120.00281572737387,222
120.0680247734534,223
120.07901623616769,224
120.14367134861348,223
120.17367134861348,222
120.20367134861348,221
120.23367134861348,220
120.26060847252693,221
120.26617134861348,220
120.29617134861348,219
120.57372078622389,220
120.95584723018042,221
121.087348807249,222
121.12575570124456,223
121.25993468517645,224
121.32378734499302,225
121.32867134861348,224
121.35905422522856,223
121.3632884719984,224
121.39117134861348,223
121.42117134861348,222
121.5018406126203,223
121.51039982500626,224
121.57149342249558,225
121.67106579022955,226
121.76587588056556,227
121.98502289545368,228
122.08050797577678,229
122.45367134861348,228
122.50101284441938,229
123.36404651816233,230
123.48617134861348,229
123.49239146854816,230
123.51867134861348,229
123.53958221655401,230
123.55117134861348,229
123.59206996210376,230
123.79943507299,231
123.83652838693831,232
123.85325167461991,233
124.01271486341017,234
124.03238336764322,235
124.17374836257046,236
124.44396051018909,237
124.59921176839897,238
124.63380636437445,239
124.817165176363,240
124.93790926320249,241
125.00313665413961,242
125.03375698056175,241
125.06463990265155,242
125.06625698056175,241
125.27522611020079,242
125.50357235656136,243
125.56429385696865,244
125.81014535154111,245
125.92005509549219,246
125.98015779345351,247
126.0451657693533,248
126.06897444200405,249
126.07003007933463,250
126.17116245064324,251
126.1719468088425,252
126.3543851860402,253
126.4251279416241,254
126.45989299836455,255
126.46874577855186,256
126.58367134861348,255
126.84344288988711,256
127.11030446710105,257
127.3995366757061,258
127.61617134861348,257
127.64617134861348,256
127.71143418845449,257
127.965443252157,258
128.12240293326462,259
128.47868042824123,260
128.52267642293225,261
128.67867134861348,260
128.70867134861345,259
129.35372614224138,260
129.472717271297,261
129.580077474203,262
129.74117134861342,261
129.76526103986734,262
129.7736713486134,261
129.80367134861336,260
129.83367134861334,259
129.8636713486133,258
129.89367134861328,257
129.99693535818224,258
130.03226686221072,259
130.1003871191732,260
130.1685718001501,261
130.530477039565,262
130.92617134861325,261
130.95617134861322,260
131.10453159298658,261
131.12589758550553,262
131.17347622915634,263
131.21442859966993,264
131.40595819090683,265
131.43218208608135,266
131.4530964040334,267
131.6768590752557,268
131.9886713486132,267
132.01867134861317,266
132.04867134861314,265
132.09989832442065,266
132.1001501814883,267
132.16048384011975,268
132.2006820621984,269
132.3277102104386,270
132.3676252666126,271
132.520495017796,272
132.54867523814096,273
132.60221406547214,274
132.9054206136875,275
132.93466188839918,276
133.01015132057506,277
133.0811713486131,276
133.40430225424174,277
133.7850197654139,278
133.88485138712915,279
133.92179451518962,280
133.9549753525177,281
134.11367134861308,280
134.14367134861305,279
134.23106640280702,280
134.27165618971358,281
134.37402850321422,282
134.40454640401416,283
134.63279756331832,284
134.70696060151803,285
134.90759746109813,286
135.08323333080796,287
135.17617134861302,286
135.20766712267135,287
135.208671348613,286
135.23867134861297,285
135.25957772197287,286
135.27117134861294,285
135.3011713486129,284
135.30618672159275,285
135.34061072484272,286
135.44240367744754,287
135.85042551092727,288
136.20844735701777,289
136.38970820179415,290
136.4084642150702,291
136.59065985537163,292
136.6360488332266,293
136.87762926002753,294
137.05173063569032,295
137.24532771096318,296
137.4904112136142,297
137.50190277902936,298
137.56744507958942,299
137.6180159832642,300
137.76065145514553,301
137.7645045417031,302
137.8940706932695,301
137.92407069326947,300
137.9784730792,301
138.16589292973558,302
138.17991707349228,303
138.36578575672493,304
138.47156101742308,305
138.5793669828045,306
139.1515512655928,307
139.18470111309176,308
139.33617134861288,307
139.36617134861285,306
139.58010595559156,307
139.5851858021789,308
139.68983304253325,309
139.82696182182323,310
139.8999239702699,311
139.9697281586639,312
140.51527134271845,313
140.51977944389512,314
140.53875645715604,315
140.64042012568802,316
140.72649715839424,315
140.75635476322338,316
140.86556139548514,317
140.88835875762325,318
140.93081357380376,319
141.05607443253544,320
141.29274171242065,321
141.29504097574875,322
141.4730381553352,323
141.67578498640492,324
141.7274430054381,325
141.79025025851328,326
141.86723628333968,327
141.98310766710554,328
142.03584553883144,329
142.24703084189335,330
142.32106473692326,331
142.39867134861282,330
142.4286713486128,329
142.45867134861277,328
142.51887797181854,329
142.80203137748722,330
142.9303050955532,331
142.9986044854344,332
143.04770370426516,333
143.49117134861274,332
143.5211713486127,331
143.61773572941973,332
143.66997860386024,333
144.0258748603346,334
144.2014285052719,335
144.2693554872182,336
144.55367134861268,335
144.58367134861265,334
144.61367134861263,333
144.6436713486126,332
144.67831412228304,333
145.156605172059,334
145.4197001103359,335
145.42019773100566,336
145.4476283662406,337
145.7407933514656,338
145.87994074683425,337
145.90994074683422,336
145.9399407468342,335
146.18625690677214,336
146.22584780962924,337
146.39250684483414,338
146.4552596139993,339
146.5906114569983,340
146.62142548598467,341
146.82826670557904,342
147.0816435724325,343
147.2888746619686,344
147.76106624448917,345
147.82648865551596,346
148.40758548358434,347
148.5040378688224,348
148.81092024944485,349
148.87244523453728,350
149.12748908163312,351
149.1798182104296,352
149.59266307647073,351
149.6226630764707,350
149.64067207675188,351
149.67636700138047,352
149.6906183928103,353
149.7848406784913,354
149.93440266785953,355
150.14225628974145,356
150.48447867483333,357
150.68318181954015,358
151.10152316285215,359
151.20008653733083,360
151.29104696516077,361
151.53886285159746,362
151.6607033820041,363
151.7315451806971,364
151.81498421174507,365
152.0400159473939,366
152.21681747182438,367
152.2579988516785,368
152.2982902025542,369
152.5665829616097,370
152.62735067142964,371
152.7899205954829,372
152.84446875994684,373
152.94748393118027,374
153.1648485904763,375
153.1993202936311,376
153.2527177227115,377
153.36706637756802,376
153.36873111933883,377
153.47135228986374,378
153.77565474036686,379
153.78898168651145,380
153.98326165868986,381
154.01983457248423,382
154.43582672882854,383
154.48467646725453,384
154.56846367927716,385
154.57889706626142,386
154.64561991923003,387
154.67201065991168,388
154.91447907420104,389
155.00442356822427,390
155.05577884566162,391
155.3278255106182,392
155.95162625628564,393
156.04013553107953,394
156.22447036051048,395
156.2570188420038,396
156.28776388840822,397
156.29662704085368,398
156.325601499313,399
156.65638292920556,400
156.97567182244012,399
157.0056718224401,398
157.0179454798752,399
157.02423834593773,400
157.04067182244006,399
157.07067182244003,398
157.10067182244,397
157.13067182243998,396
157.16067182243995,395
157.1913119441613,394
157.19503170071857,395
157.20836293672446,396
157.22567182243992,395
157.233782250147,396
157.2581718224399,395
157.37711533963568,396
157.57094389655862,397
157.67800526426848,398
157.6897541458726,399
157.70987312313585,400
158.07796911445223,401
158.2265670658674,402
158.33346866875146,403
158.45097924088083,404
158.68674561208292,405
158.70158007479054,406
159.36691999041656,407
159.42257167550602,408
159.42575120544123,409
159.58166414725605,410
159.64110845343808,411
159.88572595530047,412
159.93961950308355,413
159.9884447695022,414
160.0582351221817,415
160.09654613575543,416
160.12780296273795,417
160.17697009023334,416
160.2069700902333,415
160.2151587105031,416
160.322154400081,417
160.4209473802938,418
160.57980563302485,419
160.7442694027237,420
160.78492720862516,421
160.8477592692734,422
161.14024107269455,423
161.2277992929478,424
161.3738124943067,425
161.4183041863152,426
161.49078932867175,427
161.6569103308174,428
161.81970968535902,429
161.88512707200854,430
161.97684065426745,431
161.9926380355824,432
162.0614634872947,433
162.21922044202017,434
162.26899983349364,435
162.27620674832568,436
162.3194128066488,437
162.4622823513208,438
162.49706225113036,437
162.53600253458904,438
162.8227804460948,439
163.04607016826267,440
163.2789031846608,441
163.31144332495376,442
163.37932414714555,443
163.38354490993623,444
163.49487920366914,445
163.7601440998917,446
164.16068110839393,447
164.27519024700058,448
164.2896292342079,447
164.31962923420787,446
164.34962923420784,445
164.3796292342078,444
164.40962923420778,443
164.42443616980069,444
164.64549801139412,445
164.75757920356372,446
164.78819762477178,447
164.801256480448,448
164.9077134630174,449
164.95898745195572,450
165.24522678773195,451
165.31688511538974,452
165.51003817846282,453
165.57191029350048,454
165.65393712981452,455
165.67617134861257,454
165.70617134861254,453
165.73617134861252,452
165.76641325191082,451
165.77092944531418,452
165.98651297938375,453
166.52356501655535,454
166.68550313992492,455
166.6969939567492,456
166.9756679643908,455
167.00566796439077,454
167.0145494096948,455
167.02897174349306,456
167.04250885635506,457
167.17666118508316,458
167.24106293085143,459
167.44759470478613,460
167.47107950489297,461
167.70751245043436,462
167.76254851819655,463
168.06870975495252,464
168.1115528627106,465
169.13330323477527,466
169.2356172029849,467
169.25801467915844,468
169.3730017504926,469
169.39788674048566,470
169.43922496986193,471
169.54780562810873,472
169.5762119349728,473
169.8053472518181,474
169.9918444490476,475
170.1156311710778,476
170.3751927992703,477
170.53888272275668,478
170.69305557978072,479
170.70879026109972,480
