Point in Time[s],State of Passive Resource[]
50.1272,9999
50.1272,9998
50.1272,9997
50.1272,9996
50.1272,9997
50.1272,9996
50.1272,9995
50.1272,9994
50.1272,9993
50.1272,9992
50.1272,9991
50.1272,9990
50.1272,9989
50.1272,9988
50.1272,9987
50.1272,9986
50.1272,9985
50.1272,9984
50.1272,9983
50.1272,9982
50.1272,9981
50.1272,9980
50.1272,9979
50.1272,9978
50.1272,9977
50.1272,9976
50.1272,9975
50.1272,9974
50.1272,9973
50.1272,9972
50.1272,9971
50.1272,9970
50.1272,9969
50.1272,9968
50.1272,9967
50.1272,9966
50.1272,9965
50.1272,9964
50.1272,9963
50.1272,9962
50.1272,9961
50.1272,9960
50.1272,9959
50.1272,9958
50.1272,9957
50.1272,9956
50.1272,9955
50.1272,9954
50.1272,9953
50.1272,9952
50.1272,9951
50.17,9952
61.28785407946563,9951
61.337284400081316,9950
63.995005152478186,9949
64.61688512393832,9948
69.80977235656863,9947
71.05510136631607,9946
73.11627878438604,9945
85.18475489257825,9944
86.80435931517738,9943
87.47187046274252,9944
87.50187046274252,9945
87.53187046274252,9946
87.56187046274252,9947
87.59187046274252,9948
87.62187046274252,9949
87.65187046274252,9950
87.68187046274252,9951
87.69477961333064,9950
87.71437046274252,9951
89.06037309026023,9950
89.12961147761979,9949
91.16026203056745,9948
92.18502182928074,9947
92.62757699471273,9946
93.2648922902891,9945
93.92795297027752,9944
94.08761755898476,9943
94.25497715440486,9942
94.27623586626427,9941
94.29371866370049,9940
94.53529111117619,9939
94.68091729653693,9938
94.8290312013466,9937
94.92563516381435,9936
95.43234235113387,9935
96.17583152542232,9934
96.50438156867976,9933
96.5254446141426,9932
96.58024795653104,9931
96.65597570437767,9930
96.78477405005563,9929
96.79497404214116,9928
97.01674943746579,9927
97.02970160148317,9926
97.2259475592403,9925
97.45699722239236,9924
97.54482876500461,9923
97.778914332344,9922
97.90464377035359,9921
98.16718775490476,9920
98.18609487862008,9919
98.40919796609533,9918
98.61095788859011,9917
98.73100025338685,9916
99.03400640321505,9915
99.18408257508928,9914
99.20338358332373,9913
99.27121117937807,9912
99.27706378939993,9911
99.37279743603763,9910
99.39568552735739,9909
99.63770561822864,9908
99.80828954946018,9907
99.82328825705112,9906
99.82653715213735,9905
100.21015525645106,9904
100.5254211235584,9903
100.81969112115834,9902
100.9066354319122,9901
101.05316950257112,9900
101.18165950341553,9899
101.20936048445269,9898
101.5418789138681,9897
101.61607945847119,9896
101.62296544708197,9895
101.67116195276532,9894
102.12495882094414,9893
102.63115102168604,9892
102.76349784462614,9891
103.05828252455345,9890
103.11448468381211,9889
103.60827145198397,9888
103.85898073609165,9887
104.21450404182421,9886
104.56030846729453,9885
104.64353747030252,9884
104.86121523840127,9883
104.88998982390763,9882
104.9999332819596,9881
105.05277206600553,9880
105.27793670798081,9879
105.37439696290781,9878
105.57099070148865,9877
105.83524273026998,9876
105.90742548994918,9875
106.32078208871845,9874
106.40807778234858,9873
106.55846341704276,9872
106.60553538650016,9871
106.77448165701692,9870
106.88137082653621,9869
107.21286489538187,9868
107.5020560274401,9867
107.51800889030069,9866
107.7320967760669,9865
107.92455525890452,9864
108.11184253198151,9863
108.23260654542528,9862
108.31676830852872,9861
108.35792695457891,9860
108.56137230053176,9859
108.78848946393094,9858
108.9012999910723,9857
109.01667320730131,9856
109.18111763651649,9855
109.39701467970417,9854
109.41691660153303,9853
109.60480921598128,9852
109.6939905491817,9851
109.73871486801112,9852
109.76871486801112,9853
109.79871486801112,9854
109.8514985453294,9853
110.07887188012243,9852
110.38801376753354,9851
110.7663510728809,9850
110.76880977426022,9849
110.78197353062038,9848
110.78412514240823,9847
110.86190745862537,9846
110.88603729609139,9845
110.95124599506245,9844
111.43282999528913,9843
111.55324361108889,9842
111.60206533270633,9841
111.67626881916873,9840
111.72047470957963,9839
111.75473724835793,9838
111.83270749478501,9837
111.84327660892308,9836
111.93939412704479,9835
112.01030931254363,9834
112.1277891001951,9833
112.25930709823001,9832
112.44150056754097,9831
112.54316192396635,9830
112.63464592435442,9829
112.64844797934425,9828
112.9748513821527,9827
113.0333413009818,9826
113.07667132595168,9825
113.14062210476193,9824
113.25530748242434,9823
113.65201597503359,9822
114.29444600081986,9821
114.2995502803975,9820
114.35873783453646,9819
114.41414625958691,9818
114.4407363873685,9817
114.46794548123916,9816
114.58892246600186,9815
114.60714860202778,9814
114.66942635753774,9813
114.79090842046303,9812
115.06101665448784,9811
115.1098724791249,9810
115.1118574941054,9811
115.1312456720721,9810
115.14435749410539,9811
115.22090453358186,9810
115.39498363110319,9809
115.58943019279107,9808
115.75608070948795,9807
115.75730126046726,9806
115.8841446876946,9805
116.0858014696663,9804
116.09052233684628,9803
116.6599085114268,9802
116.71368376375852,9801
116.81448988560535,9800
116.85317137112806,9799
116.8852807023755,9798
117.00070821177763,9797
117.4338280995453,9796
117.49700803751217,9795
117.61624630023846,9794
117.68664598108508,9793
117.9641398464262,9792
118.39073411495932,9791
118.41043778032254,9790
