Point in Time[s],State of Active Resource[]
361.98570164598175,1
362.98570164598175,0
370.3875032771088,1
370.665122567075,2
371.3875032771088,2
372.1098839871426,1
372.3875032771088,0
373.0137004126654,1
374.0137004126654,0
379.40160828798014,1
380.1338008997016,2
380.40160828798014,2
380.66941567625867,1
381.40160828798014,0
382.0182576257984,1
383.0182576257984,0
383.22763593317814,1
384.22763593317814,0
384.7092789897546,1
385.42233294541535,2
385.7092789897546,2
385.9962250340938,1
386.1376199286048,2
386.1917680481125,3
386.7092789897546,3
387.28093805090435,3
387.82552305230024,2
388.6822049300007,1
388.7092789897546,0
390.2481131237443,1
391.2481131237443,0
394.1183868327981,1
395.1183868327981,0
396.5544901138024,1
396.99176617294364,2
397.5544901138024,2
398.11721405466113,1
398.5544901138024,0
399.50857224585405,1
399.7916938811091,2
