Point in Time[s],Utilization of Active Resource[]
361.98570164598175,1.0
362.98570164598175,0.0
370.3875032771088,1.0
370.665122567075,1.0
371.3875032771088,1.0
372.1098839871426,1.0
372.3875032771088,0.0
373.0137004126654,1.0
374.0137004126654,0.0
379.40160828798014,1.0
380.1338008997016,1.0
380.40160828798014,1.0
380.66941567625867,1.0
381.40160828798014,0.0
382.0182576257984,1.0
383.0182576257984,0.0
383.22763593317814,1.0
384.22763593317814,0.0
384.7092789897546,1.0
385.42233294541535,1.0
385.7092789897546,1.0
385.9962250340938,1.0
386.1376199286048,1.0
386.1917680481125,1.0
386.7092789897546,1.0
387.28093805090435,1.0
387.82552305230024,1.0
388.6822049300007,1.0
388.7092789897546,0.0
390.2481131237443,1.0
391.2481131237443,0.0
394.1183868327981,1.0
395.1183868327981,0.0
396.5544901138024,1.0
396.99176617294364,1.0
397.5544901138024,1.0
398.11721405466113,1.0
398.5544901138024,0.0
399.50857224585405,1.0
399.7916938811091,1.0
