Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
1.0,50
2.0,50
3.0,50
4.0,50
5.0,50
6.0,50
7.0,50
8.0,50
9.0,50
10.0,50
11.0,50
12.0,50
13.0,50
14.0,50
15.0,50
16.0,50
17.0,50
18.0,50
19.0,50
20.0,50
21.0,50
22.0,50
23.0,50
24.0,50
25.0,50
26.0,50
27.0,50
28.0,50
29.0,50
30.0,50
31.0,50
32.0,50
33.0,50
34.0,50
35.0,50
36.0,50
37.0,50
38.0,50
39.0,50
40.0,50
41.0,50
42.0,50
43.0,50
44.0,50
45.0,50
46.0,50
47.0,50
48.0,50
49.0,50
50.0,49
50.0,48
50.0,47
50.0,46
50.0,45
50.0,44
50.0,43
50.0,42
50.0,41
50.0,40
50.0,39
50.0,38
50.0,37
50.0,36
50.0,35
50.0,34
50.0,33
50.0,32
50.0,31
50.0,30
50.0,29
50.0,28
50.0,27
50.0,26
50.0,25
50.0,24
50.0,23
50.0,22
50.0,21
50.0,20
50.0,19
50.0,18
50.0,17
50.0,16
50.0,15
50.0,14
50.0,13
50.0,12
50.0,11
50.0,10
50.0,9
50.0,8
50.0,7
50.0,6
50.0,5
50.0,4
50.0,3
50.0,2
50.0,1
50.0,0
50.17,1
50.23768288754678,2
50.331424011469586,3
50.636531958158514,4
50.78801465799608,5
50.82409728398148,6
50.83921567132293,7
50.879236564266996,8
50.9091566777492,9
51.17,9
51.34125142201664,10
51.37901663899467,11
51.413957400547616,12
51.435231113204715,13
51.67606694719611,14
51.70963393308819,15
51.72571881555161,16
51.85690134309226,17
52.10231711245322,17
52.30544505332526,18
52.33401193147839,19
52.44385146313576,20
52.56409297999717,21
52.571535615084244,22
52.80359073019996,23
52.98776366294504,23
53.01423485831633,24
53.77150756454055,24
53.878449553462524,25
53.88114376109492,26
53.93930225561998,27
53.97153781847431,28
54.111171267634006,29
54.24032470169013,30
54.28508964237424,31
54.51738079117666,31
54.56017123237728,32
54.671377938343156,33
55.22850805853254,34
55.24711274749127,35
55.256037492615704,35
55.353748148831485,36
55.81109425683551,37
55.99217446283116,37
56.149786292054294,38
56.47726163852585,39
56.529445880431055,40
56.655059312474755,41
56.722594162626045,41
57.44927384823565,41
58.12794300670443,41
58.313640274029595,42
58.802835643475404,42
59.07337948982969,43
59.3263618177719,44
59.36746655201876,45
59.474551847377924,45
60.14449524189236,45
60.239012847175445,46
60.795912803022844,46
61.44493272230389,46
62.092880316087374,46
62.73262900189957,46
63.34599276358041,46
63.957769476474965,46
64.56376516138755,46
64.92608454217971,47
