Point in Time[s],State of Passive Resource[]
50.1272,9999
50.1272,9998
50.1272,9997
50.1272,9996
50.1272,9997
50.1272,9996
50.1272,9995
50.1272,9994
50.1272,9993
50.1272,9992
50.1272,9991
50.1272,9990
50.1272,9989
50.1272,9988
50.1272,9987
50.1272,9986
50.1272,9985
50.1272,9984
50.1272,9983
50.1272,9982
50.1272,9981
50.1272,9980
50.1272,9979
50.1272,9978
50.1272,9977
50.1272,9976
50.1272,9975
50.1272,9974
50.1272,9973
50.1272,9972
50.1272,9971
50.1272,9970
50.1272,9969
50.1272,9968
50.1272,9967
50.1272,9966
50.1272,9965
50.1272,9964
50.1272,9963
50.1272,9962
50.1272,9961
50.1272,9960
50.1272,9959
50.1272,9958
50.1272,9957
50.1272,9956
50.1272,9955
50.1272,9954
50.1272,9953
50.1272,9952
50.1272,9951
61.650140793629696,9950
62.37639123504364,9949
64.91407847999162,9948
66.01570827033156,9947
66.37593371298776,9946
66.94071567637968,9945
69.31494615188522,9944
69.61593027260885,9943
70.14157626913621,9942
73.7840220718651,9941
73.82133186718698,9940
74.31460800919615,9939
75.03755058375873,9938
77.86966002588244,9937
77.88474280788596,9938
81.2036190313449,9937
83.5002765674536,9936
83.89364201397187,9935
86.06435201415226,9934
86.93703057370399,9933
88.38200371447643,9932
89.91924273549192,9931
90.16192543756783,9930
90.49388559663352,9929
90.60727350169441,9928
90.68235500388752,9927
90.85883340019996,9926
91.0196540101668,9925
91.69206257114332,9924
92.54109040178069,9923
93.03609615008152,9922
93.19093353969144,9921
93.31799085442942,9920
93.387130420565,9919
94.09415092018382,9918
94.10471360916672,9917
94.19582399944522,9916
94.235500042855,9915
94.31479454228194,9914
94.53066072982146,9913
95.2805081792594,9912
95.4541330744188,9911
95.50809273315251,9910
95.53090323646056,9909
95.66590970743651,9908
95.6988666565574,9907
95.89125308353566,9906
95.90223983056896,9905
96.07268781428692,9904
96.21867862390857,9903
96.48427339414225,9902
97.49252387181282,9901
97.4954336160558,9900
97.55359211058087,9899
97.5834398539645,9898
97.70312566752996,9897
97.80555770143654,9896
97.83838532460489,9895
98.02473091783276,9894
98.09423510906143,9893
98.13544357011685,9892
98.4150069964432,9891
98.42485653765664,9890
98.47665087545045,9889
98.68440946822821,9888
98.74268305078397,9887
98.74491267180412,9886
98.83087088886336,9885
98.96850136048212,9884
98.98857222275335,9883
99.03253692396865,9882
99.55842844836408,9881
99.74353682197264,9880
99.77549679573553,9879
99.81749565355504,9878
99.84021320520912,9877
99.84955519026524,9876
100.03325970287788,9875
100.36330263363006,9874
100.47708406975866,9873
100.54324747842277,9872
101.01086598661665,9871
101.10984630613827,9870
101.12889806717261,9869
101.86218526216032,9868
102.03905470738168,9867
102.28909937094025,9866
102.48974868487547,9865
102.55996112662302,9864
102.5808616678955,9863
103.67146343483795,9862
103.70966130258138,9861
103.80813602865251,9860
103.87032373173935,9859
103.95637045429552,9858
104.16488289036336,9859
104.19488289036336,9860
104.23449580126062,9859
104.43244390232893,9858
104.79071470701042,9857
104.82775189452455,9856
104.94709967490296,9855
105.15452877768604,9854
106.30165055516514,9853
107.18558721043988,9852
107.44827317795053,9851
107.6435130225767,9850
107.7232070209512,9849
108.10036067671857,9848
108.6682897580643,9847
108.68050091330929,9846
108.7873558694279,9845
108.84563010519005,9844
108.87117142866222,9843
108.94226847239051,9842
109.2270839851894,9841
109.334855688656,9840
109.45171530341979,9839
109.51943343395452,9838
109.5218439567154,9837
109.57384369002081,9836
109.88175553205835,9835
110.04394591543905,9834
111.3556682944304,9833
111.52127785592987,9832
111.80311183538028,9831
112.16409812741998,9830
112.18916493784157,9829
112.34135240794944,9828
112.42972087669442,9827
112.48566978654786,9826
113.11688476016056,9825
113.29038336412567,9824
113.39866306177439,9823
113.52791557229922,9822
113.61467059164961,9821
113.66499410388784,9820
113.69855630360878,9819
113.79009137612373,9818
113.97425391546965,9817
114.17366976647995,9816
114.4428637050386,9815
114.52454582748581,9814
114.60321468084504,9813
114.92336429696886,9812
116.0845908528484,9811
116.13011569273496,9810
116.36811631190889,9809
116.52675291105385,9808
116.55753687990646,9807
117.60462694556547,9806
118.31853231548929,9805
118.45448042411203,9804
118.53982697723852,9803
118.8022458506294,9802
118.85093405335276,9801
118.98701754323268,9800
119.0746188700142,9799
119.09826423878812,9798
119.36917551524601,9797
119.45330996573489,9796
119.63467244854996,9795
119.76974984925695,9794
121.252755176503,9793
121.29624749494803,9792
121.57456060062043,9791
121.93879633616683,9792
121.96879633616683,9793
121.99879633616683,9794
122.02879633616683,9795
122.05879633616684,9796
122.20623091813727,9795
122.24767117070931,9794
122.44307355491732,9793
123.08411555203394,9792
123.16491159645565,9791
123.43414763159657,9790
123.5378291529175,9789
123.64182063650738,9788
123.83916105488552,9787
123.89165413356719,9786
124.66929482613602,9785
124.77237312110762,9784
124.78098146362674,9783
124.90591779701185,9782
124.97937954452748,9781
125.4041636496979,9780
125.50544191469014,9779
125.55592513212399,9778
125.74843753129257,9777
125.82742193357525,9776
