Point in Time[s],Utilization of Active Resource[]
375.99752226754117,1.0
376.4954368991791,1.0
376.99752226754117,1.0
377.49960763590326,1.0
377.99752226754117,0.0
380.11917563092567,1.0
381.11917563092567,0.0
382.57100892500176,1.0
383.57100892500176,0.0
385.8209560529812,1.0
386.14155148753076,1.0
386.8209560529812,1.0
387.50036061843167,1.0
387.8209560529812,0.0
388.3380981001774,1.0
389.3380981001774,0.0
392.72390925232526,1.0
393.72390925232526,0.0
394.5407958380454,1.0
395.5407958380454,0.0
