Point in Time[s],State of Active Resource[]
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.0,9
0.0,10
0.0,11
0.0,12
0.0,13
0.0,14
0.0,15
0.0,16
0.0,17
0.0,18
0.0,19
0.0,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30
0.0,31
0.0,32
0.0,33
0.0,34
0.0,35
0.0,36
0.0,37
0.0,38
0.0,39
0.0,40
0.0,41
0.0,42
0.0,43
0.0,44
0.0,45
0.0,46
0.0,47
0.0,48
0.0,49
0.0,50
0.03,51
1.0,51
2.0,51
3.0,51
4.0,51
5.0,51
6.0,51
7.0,51
8.0,51
9.0,51
10.0,51
11.0,51
12.0,51
13.0,51
14.0,51
15.0,51
16.0,51
17.0,51
18.0,51
19.0,51
20.0,51
21.0,51
22.0,51
23.0,51
24.0,51
25.0,51
26.0,51
27.0,51
28.0,51
29.0,51
30.0,51
31.0,51
32.0,51
33.0,51
34.0,51
35.0,51
36.0,51
37.0,51
38.0,51
39.0,51
40.0,51
41.0,51
42.0,51
43.0,51
44.0,51
45.0,51
46.0,51
47.0,51
48.0,51
49.0,51
50.0,51
50.9994,50
50.9994,49
50.9994,48
50.9994,47
50.9994,46
50.9994,45
50.9994,44
50.9994,43
50.9994,42
50.9994,41
50.9994,40
50.9994,39
50.9994,38
50.9994,37
50.9994,36
50.9994,35
50.9994,34
50.9994,33
50.9994,32
50.9994,31
50.9994,30
50.9994,29
50.9994,28
50.9994,27
50.9994,26
50.9994,25
50.9994,24
50.9994,23
50.9994,22
50.9994,21
50.9994,20
50.9994,19
50.9994,18
50.9994,17
50.9994,16
50.9994,15
50.9994,14
50.9994,13
50.9994,12
50.9994,11
50.9994,10
50.9994,9
50.9994,8
50.9994,7
50.9994,6
50.9994,5
50.9994,4
50.9994,3
50.9994,2
50.9994,1
51.0,0
51.133469228688,1
51.1869,2
51.2177081887116,3
51.40204894518323,4
51.42820163358436,5
51.63103448387623,6
52.01896575865206,7
52.05452248376202,8
52.117700828248914,9
52.133469228688,9
52.146912411768255,10
52.155901173890214,11
52.16147469211233,12
52.2624785301456,13
52.49653447710022,14
52.634834180468815,15
52.74979016050686,16
52.841946146953035,17
53.080038457376,17
53.118900869090055,18
53.356415273715754,19
53.38672179041729,20
53.67482612003622,21
53.85594521934946,22
53.858237576417885,23
54.011203591708195,23
54.30194123340931,24
54.56405985329478,25
54.880921807216524,25
54.976573953094544,26
55.0602052491881,27
55.561463382416626,28
55.74410185062456,28
56.0408942448695,29
56.3201048485224,30
56.42906417769818,31
56.56671532397423,31
57.12065921975717,32
57.32467358486126,32
58.07755231358972,32
58.172228773732456,33
58.42539505216821,34
58.44685513799555,35
58.61929978065393,36
58.69179447980004,37
58.81133658585881,38
58.82253374925732,38
59.01038395200794,39
59.48433210274037,40
59.564269453422774,40
59.918375637251614,41
60.30510628137603,41
60.75752126508508,42
61.04543642585455,42
61.77734958383029,42
62.491258438194144,42
62.63141519366657,43
62.723740861127865,44
63.19528874231738,44
63.89165531443808,44
