Point in Time[s],Number of Resource Containers[]
60.30510628137603,4
70.30818308101719,7
81.38862973368848,10
91.41935753994201,13
101.42330322159376,16
112.07331937262232,19
122.32189317012941,22
142.78610102654721,25
174.00169588956496,28
194.8608506361498,31
205.29546136926166,34
215.753350636149,37
225.99722015162632,40
236.2978847532604,43
246.5471669852352,46
256.60764953154353,49
267.0492017562576,52
277.11913630229435,55
287.36151472821655,58
297.9375079740401,61
308.59180971191813,64
350.2745415858907,67
360.77902180827135,70
371.6009953652752,73
