Point in Time[s],State of Passive Resource[]
51.126888,0
51.126888,1
51.126888,2
51.126888,3
51.126888,4
51.126888,5
51.126888,6
51.126888,7
51.126888,8
51.126888,9
51.126888,10
51.126888,11
51.126888,12
51.126888,13
51.126888,14
51.126888,15
51.126888,16
51.126888,17
51.126888,18
51.126888,19
51.126888,20
51.126888,21
51.126888,22
51.126888,23
51.126888,24
51.126888,25
51.126888,26
51.126888,27
51.126888,28
51.126888,29
51.126888,30
51.126888,31
51.126888,32
51.126888,33
51.126888,34
51.126888,35
51.126888,36
51.126888,37
51.126888,38
51.126888,39
51.126888,40
51.126888,41
51.126888,42
51.126888,43
51.126888,44
51.126888,45
51.126888,46
51.126888,47
51.126888,48
51.126888,49
51.1569,48
61.929692521974474,49
62.353811227559575,50
63.379308234298705,51
63.85132012050986,52
64.79006124352844,53
67.93721220948217,54
68.13384986980199,55
68.54518875255904,56
68.64113580098274,57
70.00683173644472,58
70.58855401041745,59
70.67279683447671,60
71.51537798063171,61
73.71160363515119,62
76.17418567331913,63
76.3595014356566,64
77.00115729799282,65
78.31007238695813,66
79.04017579596041,67
80.72206128253603,68
81.39112973368847,67
81.42112973368847,66
81.85187542567381,67
82.0674563969715,68
83.51748105336429,69
84.051184951103,70
84.13982181395279,71
84.70967390639825,72
84.98427713461008,73
86.59758743004018,74
86.64750650700341,75
86.83907257191107,76
87.06572068896668,77
87.41343880272369,78
88.86325137251823,79
89.0312290983434,80
89.25787256977944,81
89.26644653409663,82
89.46105385612209,83
89.76904828549569,84
89.89238608257735,85
89.9256445024286,86
89.93322336713914,87
89.94388510751915,88
90.23847963511619,89
90.85062595792058,90
90.88264492139452,91
91.17661811586085,92
91.42185753994201,93
91.60040976368147,94
91.76583386130069,95
91.89197795138921,96
91.95432348381053,97
92.00680151566682,98
92.08915339098209,99
92.4718154873235,100
92.51647772246261,101
92.54823069042853,102
92.90541856744817,103
93.04626590130987,104
93.12966126183598,105
93.1322662130501,106
93.24491202364206,107
93.28596707193384,108
93.60610024776776,109
93.75019454221291,110
93.78581049475903,111
93.86821886765323,112
93.90316324558079,113
94.02277418329348,114
94.24773183946901,115
94.30035919095357,116
94.31496245813992,117
94.3184967823174,118
94.70836421927292,119
94.9680576940656,120
95.05523200803573,121
95.25741899688784,122
95.33005854967169,123
95.39865961585227,124
95.49009193000666,125
95.75393938190139,126
95.89916270618416,127
96.34544725601249,128
96.47586624793394,129
96.48596511185269,130
96.55986995870629,131
96.58806234170754,132
96.63006362221468,133
96.69292068520915,134
96.74210848413165,135
96.82659836874906,136
96.93510925237688,137
97.00040890389818,138
97.11931195116958,139
97.47624412804224,140
97.49127388786152,141
97.5229400915263,142
97.69580474226365,143
97.71475507281501,144
97.7297488296612,145
98.43444403655337,146
98.44572923678844,147
98.5015836331287,148
98.64098154240486,149
98.93438156263183,150
98.93666891574985,151
99.0029348199401,152
99.07438692790348,153
99.08496799529901,154
99.09732316390001,155
99.37953040427952,156
99.60623329670844,157
99.75312617747284,158
99.82837978566073,159
99.91995851525988,158
99.94995851525988,157
99.97995851525988,156
100.02643908080614,157
100.13259311932732,158
100.67958460245897,159
100.72005109322049,160
100.81408078046505,161
100.87945800621016,162
100.95255852446647,163
101.10529566800851,164
101.39972990536262,165
101.49747033930672,166
101.6567037382934,167
101.70016902474102,168
101.70694808924095,169
101.80232011607988,170
102.24120454966304,171
102.25929785697929,172
102.31083069990454,173
102.46164062852553,174
102.67390661150918,175
102.8400795273618,176
102.85235790400108,177
102.88377504979691,178
103.06539731139365,179
103.14608391305094,180
103.17282802834902,181
103.22316675641918,182
103.40961749757935,183
103.43113186425174,184
103.45631864965064,185
103.46704287534183,186
103.47489169913085,187
103.48880803838047,188
103.54488763699948,189
103.63723268823698,190
104.00964029373226,191
104.1753921687133,192
104.23680411310008,193
104.43356757083338,194
104.54110466778262,195
104.5538053811098,196
104.8312362427635,197
105.06402044513669,198
105.12406355625495,199
105.1467033969731,200
105.18377985659302,201
105.25258621210847,202
105.2902833542468,203
105.39937862589518,204
105.45599868037829,205
105.46528364730379,204
105.4952836473038,203
105.6478493203642,204
105.72115319393868,205
106.08201763154726,206
106.23644887522282,207
106.26140612416896,208
106.33277897084915,209
106.33349187089263,210
107.01121428453564,211
107.19000090576854,212
107.4375270346932,213
107.4610473678254,214
107.47136124906532,215
107.86958658727808,216
108.10658291205206,217
108.11648223777001,218
108.58587575720914,219
109.02977164089684,220
109.24111269376529,221
109.53327928604827,222
109.55651857525096,223
109.6755494380468,224
109.6922359639483,225
109.7271516324323,226
109.87889534542757,227
110.03707364691167,226
110.11987290794617,227
110.19879575865508,228
110.20236481046435,229
110.3621097044269,230
110.43001145898123,231
110.57490503485685,232
110.58043314632,233
110.67268565899946,234
110.96184959298957,235
111.08747155413441,236
111.135969228688,235
111.19307546709449,236
111.24441518854182,237
111.32070394616255,238
111.4083352191711,239
111.50950480621117,240
111.57110353159014,241
111.57337757853068,242
111.72840154245232,243
111.99742730779482,244
112.16670380289337,245
112.1779914816797,246
112.26111908475367,245
112.48341349482023,246
112.56876589759291,247
112.83773940019933,248
112.99607995112687,249
113.16085348390558,250
113.25538244064941,251
113.33242694023514,252
113.52339766714213,253
113.87408008803347,254
113.88304658184171,255
113.95325704271103,256
114.04331937262232,257
114.11156299518419,258
114.168469228688,257
114.198469228688,256
114.208614518337,257
114.22985755599503,258
114.233469228688,257
114.263469228688,256
114.293469228688,255
114.323469228688,254
114.353469228688,253
114.383469228688,252
114.43059847092925,253
114.44310659105659,254
114.58970901892911,255
114.61011770601395,256
114.68863869136693,257
114.88399330184492,258
114.95217826899085,259
115.16600810587035,260
115.20411914145674,261
115.23880977242572,262
115.2942844252117,263
115.33139230765265,264
115.44721529180218,265
115.56653908428481,266
115.69266889606659,267
115.74626969969867,268
115.7572627867305,267
115.96148710940965,268
116.02446659101959,269
116.1169309738835,270
116.16001546589813,271
116.2773713799431,272
116.41237627208042,273
116.79103032425898,274
116.85866625689798,275
117.05711771676637,276
117.14461912963758,277
117.35099696890325,278
117.37716007184575,279
117.43299647414527,280
117.55265869572335,281
117.69039903452723,282
117.81114462822234,283
118.00087671340417,284
118.0270332283348,285
118.37397356911421,286
118.42604111564137,287
118.49439557762715,288
118.75443904359494,289
118.76921941835718,290
118.7739666353922,291
118.8086745390229,292
119.16880970094904,293
119.22361264254079,294
119.32632785544266,295
119.51773607146625,296
119.58590787126342,297
119.63876836491029,298
119.65978596763188,299
119.71197200104562,300
119.7335533901457,301
120.14984058465419,302
120.24505628170346,303
120.24739847683037,304
120.4533971608983,305
120.48857524342958,306
120.52604010314963,307
120.55122705433033,306
120.69880058077781,307
120.7798993590103,308
120.85095995054708,309
121.1563409673462,310
121.18391622152357,311
121.1939387495359,312
121.2141435686236,313
121.56865929601543,314
121.59124582879778,315
121.74962298491008,316
121.75477354928974,317
122.08298303598735,318
122.19129696207888,319
122.32439317012941,320
122.36966335447171,321
122.40371188228417,322
122.58189834646808,323
122.61409188241505,324
122.75972462907045,325
123.21255809918776,326
123.22701968685719,327
123.37198533718488,328
123.37861506020252,329
123.38797736597796,330
123.43418660497498,331
123.58873202586916,332
123.5969313496873,333
123.66408051829188,334
123.72561585992105,335
123.92151144293098,336
123.9980552572932,335
124.36634034221713,336
124.39188796618933,337
124.66504775956244,338
124.68569934021684,339
124.82239048690208,340
124.86476514451391,341
125.06612712313934,342
125.1201074592727,343
125.41991469663958,344
125.50487126096408,345
125.6527772163029,346
125.6605034771684,347
125.66287408651026,348
125.7819676882569,349
125.96183684676735,350
